"","","Player Details","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"284","Braelon Allen","RB","NYJ","13","46.5","14","3.32","14","56","174.1","0","0","0","0.0","0","60","258","1.7","7","6","39","0.2"
"285","Malachi Fields","WR","NYG","8","46.1","15","3.08","16","97","242.4","0","0","0","0.0","0","0","0","0.0","25","16","220","1.3"
"286","Tutu Atwell","WR","MIA","6","46.0","14","3.28","16","236","999.0","0","0","0","0.0","0","0","0","0.0","25","15","237","1.2"
"287","Kevin Coleman Jr.","WR","MIA","6","45.7","14","3.27","16","346","999.0","0","0","0","0.0","0","0","0","0.0","28","18","200","1.3"
"288","Kimani Vidal","RB","LAC","7","45.6","14","3.26","14","59","181.1","0","0","0","0.0","0","41","133","0.9","18","14","97","0.5"
"289","Jordan James","RB","SF","8","44.1","13","3.39","14","184","999.0","0","0","0","0.0","0","51","219","1.3","8","7","66","0.3"
"290","Eli Raridon","TE","NE","11","43.6","15","2.90","9","212","999.0","0","0","0","0.0","0","0","0","0.0","25","19","161","1.5"
"291","Jalen Tolbert","WR","MIA","6","43.3","14","3.09","16","292","999.0","0","0","0","0.0","0","0","0","0.0","23","15","210","1.3"
"292","Luke Musgrave","TE","GB","11","43.2","13","3.32","9","127","999.0","0","0","0","0.0","0","0","0","0.0","28","21","168","0.9"
"293","Kaelon Black","RB","SF","8","43.0","15","2.87","14","209","999.0","0","0","0","0.0","0","50","211","1.1","9","7","72","0.3"
"294","Elijah Sarratt","WR","BLT","13","42.5","10","4.25","16","88","229.2","0","0","0","0.0","0","0","0","0.0","21","14","218","1.2"
"295","Tommy Tremble","TE","CAR","5","42.3","14","3.02","9","138","999.0","0","0","0","0.0","0","0","0","0.0","24","18","166","1.2"
"296","Kyle Juszczyk","RB","SF","8","41.2","15","2.75","14","","1675.0","0","0","0","0.0","0","4","12","0.1","21","17","168","0.9"
"297","Josh Oliver","TE","MIN","6","41.1","15","2.74","9","80","999.0","0","0","0","0.0","0","0","0","0.0","24","18","157","1.3"
"298","Shedeur Sanders","QB","CLV","11","41.1","3","13.70","14","30","225.8","93","55","617","3.4","4","9","58","0.2","0","0","0","0.0"
"299","Jalen Royals","WR","KC","5","40.9","15","2.73","17","119","999.0","0","0","0","0.0","0","0","0","0.0","23","15","180","1.3"
"300","Jordan Whittington","WR","LA","11","40.8","15","2.72","17","187","999.0","0","0","0","0.0","0","3","13","0.1","20","15","185","1.0"
"301","Jameis Winston","QB","NYG","8","40.3","2.5","16.13","14","116","999.0","86","53","617","3.8","3","8","29","0.1","0","0","0","0.0"
"302","Nicholas Singleton","RB","TEN","9","40.3","15","2.69","14","57","176.4","0","0","0","0.0","0","38","155","0.8","12","9","85","0.4"
"303","Skyler Bell","WR","BUF","7","40.3","15","2.68","17","351","999.0","0","0","0","0.0","0","0","0","0.0","22","13","202","1.1"
"304","Tahj Brooks","RB","CIN","6","40.2","15","2.68","14","174","999.0","0","0","0","0.0","0","47","190","1.3","7","6","60","0.3"
