"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","season_year","week"
"447","Martavis Bryant","OAK","WR","11688","weighted",NA,NA,NA,NA,NA,NA,2.92610321615557,4.42575677428646,0,0,0,0,0,0,0,0,123.927374719521,252.173272163265,0.566342557965595,0.856598085345767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR","Knee",2018,0
"448","Jordan Lasley","BAL","WR","13658","weighted",NA,NA,NA,NA,NA,NA,1.67447218259629,2.86567101405829,0.0140798858773181,0.0293950576788844,0.082132667617689,0.121347687472265,0.0379743223965763,0.0332620761820284,0.137656918687589,0.120575026159853,203.908744650499,215.009754724441,1.00400142653352,0.90907225997715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Jeremy Kerley","BUF","WR","10392","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0.678230452674897,0.603286205702537,0.033977366255144,0.0206880707135627,0.378604938271605,0.230524216522556,342.352736625514,94.1132389282595,1.47575720164609,0.620403857318267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Jarius Wright","CAR","WR","10734","weighted",NA,NA,NA,NA,NA,NA,0.450014278914802,0.748108497516675,0,0,0.0408852927177535,0.0378361611843825,0,0,0,0,166.825968586387,160.917046305739,0.816087577344122,0.854475893046213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Cody Latimer","NYG","WR","11758","weighted",NA,NA,NA,NA,NA,NA,-0.843423868312757,1.99646527586489,0.00135390946502058,0.00369755659279665,0.175740740740741,0.148245544004362,0.111639917695473,0.0679750894874202,0,0,313.769386831276,108.775413086575,1.69839917695473,0.679229539785176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Cordarrelle Patterson","NE","WR","11225","weighted",NA,NA,NA,NA,NA,NA,83.9605760869565,40.0777199560753,0.887134057971014,0.6318223923339,0.521920289855072,0.381254225000895,0.0389710144927536,0.0219587990334877,0.24356884057971,0.137242493959298,270.415797101449,91.13789835619,1.29333695652174,0.632434263921604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Tajae Sharpe","TEN","WR","12657","weighted",NA,NA,NA,NA,NA,NA,0.875205761316872,1.44182879831857,0.0054156378600823,0.0147902263711866,0.107839506172839,0.103128531206285,0.0436851851851852,0.0265989480602949,0,0,165.936905349794,132.78135422022,0.888037037037037,0.732642708662156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Leg",2018,0
"454","Johnny Holton","OAK","WR","12916","weighted",NA,NA,NA,NA,NA,NA,3.14928129462161,6.74289077136501,0,0,1.29968269078217,0.947872698398455,0,0,0,0,105.888805330795,146.376367092947,0.820104712041885,1.56410271305243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Josh Bellamy","CHI","WR","11104","weighted",NA,NA,NA,NA,NA,NA,4.07034979423868,7.0690128189685,0,0,0.143065843621399,0.121616293961265,0.0291234567901235,0.0177326320401966,0,0,166.62033744856,112.250215021601,0.619329218106996,0.636295952522369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Chris Moore","BAL","WR","12773","weighted",NA,NA,NA,NA,NA,NA,5.97585596707819,9.93941311684533,0.0189547325102881,0.0376120996515636,0.165699588477366,0.156412705709177,0.0242695473251029,0.0147771933668305,0,0,210.010374485597,88.3434857889841,1.54252674897119,0.960262686193482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Kendrick Bourne","SF","WR","13418","weighted",NA,NA,NA,NA,NA,NA,0.144368600682594,0.36203489530291,0.0048122866894198,0.0120678298434303,0.0940282788883472,0.0959413485884971,0.0337883959044369,0.0228336158353413,0,0,130.540204778157,112.222058334577,0.47008288639688,0.694940404981447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Josh Reynolds","LAR","WR","13168","weighted",NA,NA,NA,NA,NA,NA,11.4935514403292,20.1582992498809,0.0324938271604938,0.0731093307018616,0.419506172839506,0.341703926023455,0.033977366255144,0.0206880707135627,0,0,155.13650617284,86.9687207996663,0.959308641975309,0.626468431167858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
