study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_strict,temporal_2023_2025,played_crps,252,3,-0.0010989211582485778,-0.002022931620428322,-0.0005330835879057587,1.0,0.00038153113815737736
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w050,production,core_strict,temporal_2023_2025,ppg_crps,252,3,-0.00039156705793241776,-0.0009622708956891821,0.00037330121663513755,0.8488,0.0003254062627118065
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w050,production,core_strict,temporal_2023_2025,contribution_crps,252,3,-0.0071828400618000636,-0.02210261633111829,0.0026620366729255378,0.8624,0.006179845566721662
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w050,production,core_strict,temporal_2023_2025,played_crps,252,3,-0.0004771265398031613,-0.0016566923559492826,0.0010699687469939024,0.7422,0.0006583781498991756
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_yac_w025,production,core_strict,temporal_2023_2025,ppg_crps,252,3,-0.00022319906061320867,-0.0009470414370769306,0.00025892474443925,0.7134,0.00030055556355725234
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_yac_w025,production,core_strict,temporal_2023_2025,contribution_crps,252,3,0.0038838720684458193,-0.0005814139598802852,0.007301057773058995,0.0324,0.001891822594263723
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_yac_w025,production,core_strict,temporal_2023_2025,played_crps,252,3,-0.0013358864745964406,-0.003941250294254924,0.0014854352561872546,0.8518,0.0012680933896425403
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_main,development_2017_2022,ppg_crps,720,6,3.741934665215362e-05,-0.00014934697884324503,0.00018427187147835496,0.3234,8.628568324212491e-05
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_main,development_2017_2022,contribution_crps,720,6,0.0009065766577280791,-0.002359487300658408,0.004253063084694203,0.292,0.0017141442524819133
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_main,development_2017_2022,played_crps,720,6,-0.0007676038572444602,-0.0015648094078030224,-7.581263383030794e-05,0.9848,0.000382689065206615
