comparison,lower_chance_level,higher_chance_level,year,trial,roster_changed,both_actual_cap_feasible,joint_feasible_actual_points_effect,managed_forecast_season_points_effect,heldout_cap_probability_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,point_salary_spend_effect
70_minus_60,0.6,0.7,2022,172,True,False,,24.9141845703125,0.07500000000000007,0.0,15.0,15.0,-3.978207588195801
70_minus_60,0.6,0.7,2022,173,True,False,,4.59423828125,0.17499999999999993,-1.0,1.0,5.0,-6.236698627471924
70_minus_60,0.6,0.7,2022,174,True,True,-98.9998779296875,0.1307373046875,0.22999999999999998,0.0,0.0,-4.0,-8.996659517288208
70_minus_60,0.6,0.7,2022,175,True,True,0.0,-0.2918701171875,0.10499999999999998,0.0,0.0,-1.0,-3.532073974609375
70_minus_60,0.6,0.7,2022,176,True,False,,4.9891357421875,0.10499999999999998,0.0,-19.0,-19.0,-5.832268238067627
70_minus_60,0.6,0.7,2022,177,True,False,,4.356201171875,0.265,0.0,-27.0,-27.0,-3.9334774017333984
70_minus_60,0.6,0.7,2022,178,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,179,True,False,,4.4954833984375,0.24500000000000005,0.0,-14.0,-14.0,-8.609527826309204
70_minus_60,0.6,0.7,2022,180,True,False,,18.7017822265625,0.12,0.0,-10.0,-10.0,1.4043769836425781
70_minus_60,0.6,0.7,2022,181,True,False,,19.9273681640625,0.015000000000000013,0.0,1.0,1.0,4.247328281402588
70_minus_60,0.6,0.7,2022,182,True,False,,-1.09326171875,0.16999999999999993,0.0,-12.0,-12.0,-5.381660461425781
70_minus_60,0.6,0.7,2022,183,True,False,,7.4222412109375,-0.07500000000000007,0.0,8.0,8.0,6.068512916564941
70_minus_60,0.6,0.7,2022,184,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,185,True,True,11.0,-14.154541015625,0.125,0.0,0.0,-3.0,-5.86793851852417
70_minus_60,0.6,0.7,2022,186,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,187,True,False,,9.7886962890625,0.07999999999999996,0.0,16.0,16.0,1.8245611190795898
70_minus_60,0.6,0.7,2022,188,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,189,True,False,,11.09326171875,0.10499999999999998,0.0,19.0,19.0,-3.379744052886963
70_minus_60,0.6,0.7,2022,190,True,False,,0.2034912109375,0.09999999999999998,1.0,-2.0,-4.0,-6.857964754104614
70_minus_60,0.6,0.7,2022,191,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,192,True,False,,14.560302734375,0.235,0.0,4.0,4.0,-2.5468626022338867
70_minus_60,0.6,0.7,2022,193,True,False,,-3.602783203125,0.15000000000000002,0.0,-5.0,-5.0,-3.31191349029541
70_minus_60,0.6,0.7,2022,194,True,False,,16.8626708984375,0.15000000000000002,-1.0,1.0,4.0,-5.956321716308594
70_minus_60,0.6,0.7,2022,195,True,False,,-7.82470703125,0.14500000000000002,1.0,-13.0,-26.0,-0.7223167419433594
70_minus_60,0.6,0.7,2022,196,True,False,,-47.1961669921875,0.385,0.0,15.0,15.0,-12.179930210113525
70_minus_60,0.6,0.7,2022,197,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,198,True,False,,1.112060546875,0.18999999999999995,-1.0,14.0,17.0,-6.911951065063477
70_minus_60,0.6,0.7,2022,199,True,False,,16.6904296875,0.18000000000000005,0.0,-19.0,-19.0,-2.5907766819000244
70_minus_60,0.6,0.7,2022,200,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,201,True,False,,-14.1619873046875,0.05500000000000005,0.0,-4.0,-4.0,-2.810847759246826
70_minus_60,0.6,0.7,2022,202,True,False,,-2.0899658203125,0.31000000000000005,1.0,-1.0,-16.0,-6.626891136169434
70_minus_60,0.6,0.7,2022,203,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,204,True,False,,0.64111328125,0.26,0.0,-4.0,-4.0,-6.476703643798828
70_minus_60,0.6,0.7,2022,205,True,False,,3.37255859375,0.0050000000000000044,1.0,-1.0,-3.0,0.5445146560668945
70_minus_60,0.6,0.7,2022,206,True,False,,16.72412109375,0.030000000000000027,0.0,-8.0,-8.0,-0.26734161376953125
70_minus_60,0.6,0.7,2022,207,True,True,-52.5,29.677001953125,0.1499999999999999,0.0,0.0,9.0,-5.924827575683594
70_minus_60,0.6,0.7,2022,208,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,209,True,False,,-22.6488037109375,0.25,0.0,-16.0,-16.0,-9.820716857910156
70_minus_60,0.6,0.7,2022,210,True,True,30.239990234375,1.7744140625,0.06999999999999995,0.0,0.0,9.0,0.3684377670288086
70_minus_60,0.6,0.7,2022,211,True,False,,-2.233642578125,0.22500000000000003,0.0,-17.0,-17.0,-1.505354881286621
70_minus_60,0.6,0.7,2022,212,True,False,,-12.8704833984375,0.39,0.0,-14.0,-14.0,-10.437311172485352
70_minus_60,0.6,0.7,2022,213,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,214,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,215,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,216,True,False,,-11.1246337890625,0.3400000000000001,1.0,-2.0,-7.0,-10.020708084106445
70_minus_60,0.6,0.7,2022,217,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,218,True,False,,3.493896484375,0.06500000000000006,0.0,-2.0,-2.0,-0.03554046154022217
70_minus_60,0.6,0.7,2022,219,True,True,-20.5,-4.9361572265625,0.04500000000000004,0.0,0.0,0.0,-4.539205551147461
70_minus_60,0.6,0.7,2022,220,True,False,,30.814697265625,0.025000000000000022,0.0,-6.0,-6.0,-2.4212865829467773
70_minus_60,0.6,0.7,2022,221,True,False,,-1.9771728515625,-0.07999999999999996,1.0,-22.0,-26.0,1.3080801963806152
70_minus_60,0.6,0.7,2022,222,True,False,,-13.236572265625,0.10999999999999993,0.0,-6.0,-6.0,0.23002386093139648
70_minus_60,0.6,0.7,2022,223,True,False,,27.3238525390625,0.20999999999999996,0.0,6.0,6.0,-5.960014343261719
70_minus_60,0.6,0.7,2022,224,True,False,,6.7734375,-0.020000000000000018,0.0,1.0,1.0,0.4040517807006836
70_minus_60,0.6,0.7,2022,225,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
