player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Antone Smith,5440,HB,4,ATL,1,0,0,0,0,0,0,0.0,,
Darrel Young,5438,FB,1,WAS,1,0,0,0,0,0,0,0.0,,
Seneca Wallace,1422,QB,1,CLV,1,0,0,0,0,0,0,0.0,,
Sam Aiken,1439,WR,2,CLV,1,0,0,0,0,0,0,0.0,,
Ryan Purvis,5403,TE,9,TB,6,0,0,0,0,0,0,0.0,,
Arian Foster,5398,HB,16,HST,77,0,0,0,0,0,0,0.0,,
Will Heller,1623,TE,13,DET,5,0,0,0,0,0,0,0.0,,
Chris Pressley,5347,FB,4,CIN,1,0,0,0,0,0,0,0.0,,
Quan Cosby,5342,WR,7,CIN,2,0,0,0,0,0,0,0.0,,
David Johnson,5165,FB,12,PIT,6,0,0,0,0,0,0,0.0,,
LaRod Stephens-Howling,5164,HB,13,ARZ,22,0,0,0,0,0,0,0.0,,
Greg Jones II,1776,FB,16,JAX,11,0,0,0,0,0,0,0.0,,
Ben Hartsock,1789,TE,15,NYJ,2,0,0,0,0,0,0,0.0,,
Ernest Wilford,1841,TE,2,JAX,2,0,0,0,0,0,0,0.0,,
Michael Turner,1873,HB,16,ATL,15,0,0,0,0,0,0,0.0,,
Mike Karney,1875,FB,12,STR,5,0,0,0,0,0,0,0.0,,
Jake O'Connell,5161,TE,9,KC,4,0,0,0,0,0,0,0.0,,
Jeff Dugan,1936,TE,16,MIN,5,0,0,0,0,0,0,0.0,,
Derrick Ward,1949,HB,11,HST,9,0,0,0,0,0,0,0.0,,
