method,slice_type,slice_value,metric,n_rows,value
qb_style_lasso,season,2018,mae,405,2.6442961666112565
qb_style_lasso,season,2018,bias,405,-0.7810789023908268
qb_style_lasso,season,2018,spearman,405,0.7905587585408103
qb_style_lightgbm,season,2018,rmse,405,3.32870391536243
qb_style_lightgbm,season,2018,mae,405,2.5544142581813314
qb_style_lightgbm,season,2018,bias,405,-0.38940931425582953
qb_style_lightgbm,season,2018,spearman,405,0.7890040622796681
qb_style_random_forest,season,2018,rmse,405,3.3884840848000968
qb_style_random_forest,season,2018,mae,405,2.617362053996194
qb_style_random_forest,season,2018,bias,405,-0.4075816158761681
qb_style_random_forest,season,2018,spearman,405,0.7857218855856786
qb_tds_lasso,season,2018,rmse,405,3.4891218980429546
qb_tds_lasso,season,2018,mae,405,2.645178995177836
qb_tds_lasso,season,2018,bias,405,-0.805266961447948
qb_tds_lasso,season,2018,spearman,405,0.7887660663087095
qb_tds_lightgbm,season,2018,rmse,405,3.358423689620952
qb_tds_lightgbm,season,2018,mae,405,2.595211405091041
qb_tds_lightgbm,season,2018,bias,405,-0.3567325816050422
qb_tds_lightgbm,season,2018,spearman,405,0.7864480120358618
qb_tds_random_forest,season,2018,rmse,405,3.382197312866153
qb_tds_random_forest,season,2018,mae,405,2.6037704156626136
qb_tds_random_forest,season,2018,bias,405,-0.4109008299839092
qb_tds_random_forest,season,2018,spearman,405,0.7890565388106461
qb_yardage_lasso,season,2018,rmse,405,3.4763609193316336
qb_yardage_lasso,season,2018,mae,405,2.6454070460060017
qb_yardage_lasso,season,2018,bias,405,-0.777847623777068
qb_yardage_lasso,season,2018,spearman,405,0.7898042164757674
qb_yardage_lightgbm,season,2018,rmse,405,3.358018150506642
qb_yardage_lightgbm,season,2018,mae,405,2.5904671712161886
qb_yardage_lightgbm,season,2018,bias,405,-0.3584804857412609
qb_yardage_lightgbm,season,2018,spearman,405,0.7902665677410144
qb_yardage_random_forest,season,2018,rmse,405,3.394198906505443
qb_yardage_random_forest,season,2018,mae,405,2.6150227107321764
qb_yardage_random_forest,season,2018,bias,405,-0.41886728699291303
qb_yardage_random_forest,season,2018,spearman,405,0.7857928779322338
team_rush_scoring_lasso,season,2018,rmse,405,3.4966680733479074
team_rush_scoring_lasso,season,2018,mae,405,2.6613650353457885
team_rush_scoring_lasso,season,2018,bias,405,-0.769604550628286
team_rush_scoring_lasso,season,2018,spearman,405,0.7880900132375048
team_rush_scoring_lightgbm,season,2018,rmse,405,3.3603396946470268
team_rush_scoring_lightgbm,season,2018,mae,405,2.5891739430644924
