league,domain,position,candidate,rows,seasons,production_rmse,opportunity_control_rmse,candidate_rmse,candidate_delta_vs_production,candidate_delta_vs_opportunity_control,mean_season_delta_vs_control,season_wins_vs_control,season_bootstrap_low,season_bootstrap_high,development_2018_2022_delta_vs_control,temporal_2023_2025_delta_vs_control,q90_rows,q90_rmse_delta_vs_control
beta,rushing,RB,rush_elusive_rating,901,8,3.287746510328968,3.305702416422828,3.316136458821953,0.028389948492985262,0.010434042399125154,0.01010917157867891,1,-0.0017725616865332805,0.025332854243535485,0.013431248393825701,0.005258173657940457,93,-0.08723426328785955
beta,receiving,RB,rec_route_rate,901,8,3.287746510328968,3.307627322444346,3.31848863347855,0.030742123149582135,0.010861311034203958,0.015013602148709004,3,-0.025826695852289593,0.06278355111437461,0.013535844536559871,0.006273208162339561,93,-0.1929807245076427
beta,rushing,RB,rush_run_grade,901,8,3.287746510328968,3.305702416422828,3.3203429864215455,0.03259647609257765,0.014640569998717545,0.014506013192403522,0,0.007678884844228849,0.02090349857499087,0.01810946209068831,0.008649112996074404,93,-0.11110933426169023
beta,receiving,TE,rec_mtf_per_reception,715,8,2.025664304485978,2.014252697528351,2.0009857356415166,-0.024678568844461513,-0.013266961886834405,-0.012559882810316475,6,-0.029747187757757143,0.001690783119007353,-0.015338425033246228,-0.009741696794336008,75,-0.1256281175191205
beta,receiving,TE,rec_yac_per_route,715,8,2.025664304485978,2.0148676273324813,2.004978729786978,-0.02068557469900023,-0.009888897545503372,-0.008956575271917455,5,-0.020551075889448506,0.002890955701042197,-0.008680608694561887,-0.011953916982774038,75,-0.11947201080869663
beta,receiving,TE,rec_yards_per_target,715,8,2.025664304485978,2.013484719142508,2.0048816554180795,-0.020782649067898618,-0.008603063724428317,-0.00779202378372601,6,-0.018903305517585955,0.003194267728472977,-0.014486016770014931,0.0013921076253367026,75,-0.0686866829677899
beta,receiving,TE,rec_yprr,715,8,2.025664304485978,2.0148676273324813,2.009421098266284,-0.016243206219693995,-0.005446529066197137,-0.0052789980603551445,6,-0.009985213057750797,-0.000535165257894793,-0.008758592192031234,0.00018810433994076448,75,-0.07830969682971967
beta,receiving,TE,rec_route_grade,715,8,2.025664304485978,2.0148676273324813,2.0109699838600252,-0.014694320625952884,-0.003897643472456025,-0.003989867699811578,4,-0.00941234465208815,0.0004021322749763679,-0.00693015372436534,0.0012625454777501766,75,-0.04682363251267141
beta,receiving,TE,rec_slot_rate,715,8,2.025664304485978,2.0148676273324813,2.0150308296314665,-0.010633474854511604,0.0001632022989852544,0.00020406239052123132,4,-0.001022774075847388,0.00150187050587125,0.00035899782040216266,-0.00017069953103843183,75,-0.021295180134983216
beta,receiving,TE,rec_targets_per_route,715,8,2.025664304485978,2.0148676273324813,2.0150571583740815,-0.010607146111896615,0.0001895310416002438,3.304747002630393e-05,5,-0.0020140323740778223,0.002347965532999957,-9.819884569406412e-05,0.0006801607378905672,75,-0.016262492505078274
beta,receiving,TE,rec_first_downs_per_route,715,8,2.025664304485978,2.0148676273324813,2.015129880952659,-0.010534423533318904,0.0002622536201779546,0.0004001638030951826,3,-0.003449832411931692,0.0039696744789865495,-0.001612010552531018,0.0034545320546413016,75,-0.021669648460911795
beta,receiving,TE,rec_targeted_qb_rating,715,8,2.025664304485978,2.013484719142508,2.014357274814946,-0.011307029671032254,0.0008725556724380468,0.0008927791755684866,3,-7.212181633478587e-05,0.0021148789873792484,0.0008194850304223955,0.0009633114412337385,75,-0.0020480618281228935
beta,receiving,TE,rec_route_rate,715,8,2.025664304485978,2.0148676273324813,2.0160889477696995,-0.009575356716278627,0.0012213204372182318,0.0012366396154861181,3,-0.0013170921410991846,0.0046778403764138055,0.0017175085397442835,0.00037518367393296614,75,-0.01721362094828205
beta,receiving,TE,rec_touchdowns_per_route,715,8,2.025664304485978,2.0148676273324813,2.0172409650526966,-0.008423339433281551,0.002373337720215307,0.0028629286924014286,4,-0.003148866974841185,0.009771357371774122,0.0025927788507726923,0.0019996641763755374,75,0.01580211838746859
beta,receiving,TE,rec_adot,715,8,2.025664304485978,2.013484719142508,2.0169292884562355,-0.008735016029742582,0.003444569313727719,0.002834021448318319,3,-0.008207798332754035,0.01338533172035783,-0.005748516690423422,0.01903105862923704,75,0.021368550029700284
beta,receiving,TE,rec_wide_rate,715,8,2.025664304485978,2.0148676273324813,2.025252846334506,-0.0004114581514720328,0.010385219002024826,0.01037962540329937,2,-0.001967416567977054,0.02503000446511278,0.015834626704115617,0.0010618058396250074,75,0.027467855913980266
beta,receiving,WR,rec_route_rate,1335,8,2.7120961681560374,2.7341564501148126,2.7323245031688703,0.020228335012832943,-0.0018319469459422422,-0.0019077553078801768,5,-0.00979582181441708,0.0057703164931038,-0.004846338875875045,0.00315465469233267,138,0.008921729552131552
beta,receiving,WR,rec_first_downs_per_route,1335,8,2.7120961681560374,2.7341564501148126,2.7333758349015294,0.021279666745491976,-0.0007806152132832089,-0.0006472825096594526,4,-0.006975845790875956,0.004410544088351152,0.0007061402872721168,-0.003245720356423565,138,-0.01707711708940618
beta,receiving,WR,rec_targets_per_route,1335,8,2.7120961681560374,2.7341564501148126,2.734067840475354,0.021971672319316404,-8.860963945878098e-05,4.009219585049406e-05,5,-0.008068099623336544,0.009301402611024079,-0.0014250005621248008,0.0021240135906288593,138,-0.03454659858181053
beta,receiving,WR,rec_route_grade,1335,8,2.7120961681560374,2.7341564501148126,2.7349493304922174,0.022853162336180066,0.0007928803774048809,0.0009895022668696685,3,-0.003815760829146475,0.00482286360340356,0.0013566894452932132,-0.00014136075373416546,138,0.013689009893762538
beta,receiving,WR,rec_yprr,1335,8,2.7120961681560374,2.7341564501148126,2.7357786321378565,0.02368246398181917,0.0016221820230439832,0.0017682528969359401,1,-0.00451939859557926,0.0074431454783794315,0.00180309044619964,0.0013226545889986063,138,-0.005863366136519943
beta,receiving,WR,rec_targeted_qb_rating,1335,8,2.7120961681560374,2.732515617745943,2.7343826075949513,0.022286439438913952,0.0018669898490082382,0.0018163559289316455,4,-0.003772905352941891,0.007711114141251141,0.002484938136662951,0.0008440478947253638,138,-0.023299347017158745
beta,receiving,WR,rec_yac_per_route,1335,8,2.7120961681560374,2.7341564501148126,2.736181249818498,0.024085081662460706,0.0020247997036855203,0.002284004990692534,5,-0.008231011349217165,0.012517985940964926,-0.002610681419384253,0.00968750274605501,138,-0.09981101035166873
beta,receiving,WR,rec_slot_rate,1335,8,2.7120961681560374,2.7341564501148126,2.7368047960744515,0.024708627918414106,0.0026483459596389203,0.002499168255816142,3,3.615506517917755e-05,0.0064215475166296,0.003440000358488682,0.001336639307411236,138,-0.005058181325244604
beta,receiving,WR,rec_wide_rate,1335,8,2.7120961681560374,2.7341564501148126,2.736987818534431,0.02489165037839358,0.0028313684196183964,0.00267192540613731,2,-1.0163505609894763e-06,0.007023267584842293,0.003748526180536782,0.0013115902977292038,138,-0.004912732346141979
beta,receiving,WR,rec_touchdowns_per_route,1335,8,2.7120961681560374,2.7341564501148126,2.737203799045508,0.025107630889470656,0.0030473489306954704,0.0032598960963922674,1,1.4391447799300128e-05,0.007549111875510495,0.0021396080139610696,0.0045509634825080525,138,0.030183027952707775
beta,receiving,WR,rec_adot,1335,8,2.7120961681560374,2.732515617745943,2.7356107221377814,0.02351455398174407,0.0030951043918383547,0.0034002181217502314,4,-0.003357097410189025,0.010880092849986676,0.0038254294146224943,0.001886189025516849,138,-0.0015660469931342291
beta,receiving,WR,rec_yards_per_target,1335,8,2.7120961681560374,2.732515617745943,2.7364965899215963,0.0244004217655589,0.003980972175653186,0.004145250140951073,3,5.796111649508662e-05,0.009576459823592343,0.006302524455051639,0.00013440194735592215,138,0.02577044294521258
beta,receiving,WR,rec_mtf_per_reception,1335,8,2.7120961681560374,2.7329263955051455,2.7388993206062717,0.026803152450234347,0.005972925101126236,0.0059186360836324114,4,-0.0011889121821648252,0.014238549230020991,0.010409493982275642,-0.0013867666366622622,138,-0.017378301415244657
dk,rushing,QB,rush_first_downs_per_attempt,338,8,3.493443730938272,3.533380472472779,3.5068533166479563,0.013409585709684091,-0.026527155824822568,-0.028417450612858275,7,-0.08215313367106523,0.034728745439589,-0.043905943574968465,0.003266078444116527,38,0.21751764645662774
dk,rushing,QB,rush_run_grade,338,8,3.493443730938272,3.533380472472779,3.534480503925473,0.04103677298720099,0.0011000314526943278,0.0002570431584161814,5,-0.019389383369153912,0.019057534424721134,0.007299828239700545,-0.00964847777378619,38,0.1192134848674069
dk,rushing,QB,rush_ypa,338,8,3.493443730938272,3.533380472472779,3.5404332889892935,0.04698955805102134,0.007052816516514682,0.007182794058383013,2,0.0010522546704336154,0.013605449816279036,0.007166940343554806,0.006879111526652881,38,0.01170114805853828
