domain,position,left,right,rows,spearman
rushing,QB,rush_explosive_per_attempt,rush_designed_yards_per_attempt,98,0.088246734246128
rushing,QB,rush_explosive_per_attempt,rush_scramble_share,98,0.3608409143672191
rushing,QB,rush_breakaway_percent,rush_breakaway_yards_per_attempt,98,0.9881065385002145
rushing,QB,rush_breakaway_percent,rush_gap_share,98,0.5807992155025979
rushing,QB,rush_breakaway_percent,rush_zone_share,98,0.4837211595371673
rushing,QB,rush_breakaway_percent,rush_run_grade,98,0.05379547653501442
rushing,QB,rush_breakaway_percent,rush_designed_yards_per_attempt,98,0.8142200298886777
rushing,QB,rush_breakaway_percent,rush_scramble_share,98,-0.6111299068250987
rushing,QB,rush_breakaway_yards_per_attempt,rush_gap_share,98,0.6018349662956057
rushing,QB,rush_breakaway_yards_per_attempt,rush_zone_share,98,0.49493615507067884
rushing,QB,rush_breakaway_yards_per_attempt,rush_run_grade,98,0.09287295625740305
rushing,QB,rush_breakaway_yards_per_attempt,rush_designed_yards_per_attempt,98,0.8279875050495792
rushing,QB,rush_breakaway_yards_per_attempt,rush_scramble_share,98,-0.5753226041435129
rushing,QB,rush_gap_share,rush_zone_share,98,0.11328382574657053
rushing,QB,rush_gap_share,rush_run_grade,98,0.25882142006757375
rushing,QB,rush_gap_share,rush_designed_yards_per_attempt,98,0.7529177726799954
rushing,QB,rush_gap_share,rush_scramble_share,98,-0.6787525064567795
rushing,QB,rush_zone_share,rush_run_grade,98,-0.10053721460304225
rushing,QB,rush_zone_share,rush_designed_yards_per_attempt,98,0.5444418964672105
rushing,QB,rush_zone_share,rush_scramble_share,98,-0.322348013529975
rushing,QB,rush_run_grade,rush_designed_yards_per_attempt,98,0.2282799625786815
rushing,QB,rush_run_grade,rush_scramble_share,98,-0.054689841184712686
rushing,QB,rush_designed_yards_per_attempt,rush_scramble_share,98,-0.7629036219068592
rushing,RB,rush_ypa,rush_first_downs_per_attempt,511,0.5508367577673889
rushing,RB,rush_ypa,rush_mtf_per_attempt,511,0.3795639987054993
rushing,RB,rush_ypa,rush_yco_per_attempt,511,0.668510367187255
rushing,RB,rush_ypa,rush_explosive_per_attempt,511,0.7615068187925704
rushing,RB,rush_ypa,rush_breakaway_percent,511,0.6474556804203989
rushing,RB,rush_ypa,rush_breakaway_yards_per_attempt,511,0.7856830241469017
rushing,RB,rush_ypa,rush_gap_share,511,-0.0153867374683089
rushing,RB,rush_ypa,rush_zone_share,511,0.0024412917032768035
rushing,RB,rush_ypa,rush_run_grade,511,0.6104904999278473
rushing,RB,rush_ypa,rush_elusive_rating,511,0.5053211291569748
rushing,RB,rush_first_downs_per_attempt,rush_mtf_per_attempt,511,0.20979447980478977
rushing,RB,rush_first_downs_per_attempt,rush_yco_per_attempt,511,0.3856711342755465
rushing,RB,rush_first_downs_per_attempt,rush_explosive_per_attempt,511,0.4937289741678925
rushing,RB,rush_first_downs_per_attempt,rush_breakaway_percent,511,0.20488952776471903
rushing,RB,rush_first_downs_per_attempt,rush_breakaway_yards_per_attempt,511,0.3111376473395194
rushing,RB,rush_first_downs_per_attempt,rush_gap_share,511,0.005508891552391885
rushing,RB,rush_first_downs_per_attempt,rush_zone_share,511,-0.017673159165388
rushing,RB,rush_first_downs_per_attempt,rush_run_grade,511,0.5205529141394549
rushing,RB,rush_first_downs_per_attempt,rush_elusive_rating,511,0.27608079717327694
rushing,RB,rush_mtf_per_attempt,rush_yco_per_attempt,511,0.6062759705941531
rushing,RB,rush_mtf_per_attempt,rush_explosive_per_attempt,511,0.363548892241975
rushing,RB,rush_mtf_per_attempt,rush_breakaway_percent,511,0.2548136952760698
rushing,RB,rush_mtf_per_attempt,rush_breakaway_yards_per_attempt,511,0.3079084985733307
rushing,RB,rush_mtf_per_attempt,rush_gap_share,511,-0.05726025928144964
rushing,RB,rush_mtf_per_attempt,rush_zone_share,511,0.052012530760492046
rushing,RB,rush_mtf_per_attempt,rush_run_grade,511,0.5307453662569244
rushing,RB,rush_mtf_per_attempt,rush_elusive_rating,511,0.899644308686383
rushing,RB,rush_yco_per_attempt,rush_explosive_per_attempt,511,0.5315649295019617
rushing,RB,rush_yco_per_attempt,rush_breakaway_percent,511,0.4635090585783728
rushing,RB,rush_yco_per_attempt,rush_breakaway_yards_per_attempt,511,0.552345615301576
rushing,RB,rush_yco_per_attempt,rush_gap_share,511,0.0015846507260607867
rushing,RB,rush_yco_per_attempt,rush_zone_share,511,0.015114310229603668
rushing,RB,rush_yco_per_attempt,rush_run_grade,511,0.6406008702092052
rushing,RB,rush_yco_per_attempt,rush_elusive_rating,511,0.7886846636274217
rushing,RB,rush_explosive_per_attempt,rush_breakaway_percent,511,0.5872246057544005
rushing,RB,rush_explosive_per_attempt,rush_breakaway_yards_per_attempt,511,0.673772780529968
rushing,RB,rush_explosive_per_attempt,rush_gap_share,511,-0.10361955325710581
rushing,RB,rush_explosive_per_attempt,rush_zone_share,511,0.06252012140231268
rushing,RB,rush_explosive_per_attempt,rush_run_grade,511,0.4240893061840314
rushing,RB,rush_explosive_per_attempt,rush_elusive_rating,511,0.46535348276129834
rushing,RB,rush_breakaway_percent,rush_breakaway_yards_per_attempt,511,0.9763524252509368
rushing,RB,rush_breakaway_percent,rush_gap_share,511,-0.02004017167422853
rushing,RB,rush_breakaway_percent,rush_zone_share,511,-0.005540603984681191
rushing,RB,rush_breakaway_percent,rush_run_grade,511,0.3357506596364998
rushing,RB,rush_breakaway_percent,rush_elusive_rating,511,0.3440055837355775
rushing,RB,rush_breakaway_yards_per_attempt,rush_gap_share,511,-0.01649255705527912
rushing,RB,rush_breakaway_yards_per_attempt,rush_zone_share,511,-0.007059745669559673
rushing,RB,rush_breakaway_yards_per_attempt,rush_run_grade,511,0.43963502219434303
rushing,RB,rush_breakaway_yards_per_attempt,rush_elusive_rating,511,0.41443099245960696
rushing,RB,rush_gap_share,rush_zone_share,511,-0.9692935834572398
rushing,RB,rush_gap_share,rush_run_grade,511,-0.011761175156347059
rushing,RB,rush_gap_share,rush_elusive_rating,511,-0.037870095293606174
rushing,RB,rush_zone_share,rush_run_grade,511,0.0383762898651016
rushing,RB,rush_zone_share,rush_elusive_rating,511,0.03652059364525312
rushing,RB,rush_run_grade,rush_elusive_rating,511,0.6062130313217631
