player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Alec Ingold,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,4.69,19.36,0.16,2.19,2.93,15.29,0.15,6.42,122,404,
Chris Blair,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.19,5.46,34.62,0.22,6.38,168,405,
Steven Sims,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.47,5.89,35.88,0.23,6.36,169,406,
James Mitchell,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.65,5.34,34.88,0.17,6.33,82,407,
Miles Boykin,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.13,5.51,35.85,0.17,6.17,170,408,
Zach Pascal,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,2.93,5.45,35.48,0.17,6.03,171,409,
Jonathan Mingo,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.21,5.96,32.79,0.18,5.96,172,410,
Brycen Tremayne,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3,5.34,33.02,0.17,5.82,173,411,
Ainias Smith,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,2.96,5.01,32.5,0.17,5.75,174,412,
Johnny Wilson,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,2.89,5.01,32.1,0.17,5.68,175,413,
Trey Palmer,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,1.78,2.94,19.62,0.17,3.87,176,416,
Brevyn Spann-Ford,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,2.04,2.96,18.05,0.17,3.85,83,417,
Hunter Luepke,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,2.24,9.52,0,2.1,2.96,14.56,0.05,3.76,123,418,
Trayveon Williams,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,2.4,10.25,0,1.94,2.67,14.09,0.05,3.7,124,419,
Ashton Dulin,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,1.32,2.66,18.47,0.17,3.53,177,420,
Will Mallory,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,1.53,2.66,17.26,0.17,3.51,84,421,
Michael Burton,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Chris Moore,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Chris Manhertz,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Trent Taylor,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
C.J. Ham,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Jeremy McNichols,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Dante Pettis,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Trent Sherfield,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Robert Tonyan,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Johnny Mundt,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Braxton Berrios,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Andrew Beck,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Lil'Jordan Humphrey,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Jakob Johnson,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Brandon Aiyuk,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Jalen Reagor,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Collin Johnson,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Josiah Deguara,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
James Proche,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Harrison Bryant,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Reggie Gilliam,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Malik Taylor,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Lawrence Cager,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Donovan Peoples-Jones,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Dan Chisena,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Albert Okwuegbunam,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Colby Parkinson,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Sean McKeon,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Terrace Marshall Jr.,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Demetric Felton,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Ihmir Smith-Marsette,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Mike Strachan,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Tom Kennedy,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Jack Stoll,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Feleipe Franks,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Brandon Smith,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
John Bates,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Mason Kinsey,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Brock Wright,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
David Sills V,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Shane Zylstra,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Tarik Black,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Christian Watson,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Britain Covey,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Dennis Houston,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Montrell Washington,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Danny Gray,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Ko Kieft,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Hassan Haskins,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Jake Tonges,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Tyquan Thornton,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Isaiah Hodgins,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Teagan Quitoriano,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Stone Smartt,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Brandon Johnson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Lance McCutcheon,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Austin Trammell,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Tyler Badie,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Zach Evans,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Tank Dell,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Derius Davis,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Xavier Smith,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Evan Hull,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Rakim Jarrett,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Xavier Gipson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Ronnie Bell,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Chris Brooks,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Julian Hill,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
John FitzPatrick,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Nate Adkins,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Brady Russell,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Brayden Willis,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Colton Dowell,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Parker Washington,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Ben Sims,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Cephus Johnson,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Malik Cunningham,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Zack Kuntz,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Shedrick Jackson,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Lucas Krull,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Jason Brownlee,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Tyler Goodson,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Elijah Cooks,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Cole Fotheringham,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Anthony Gould,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Dylan Laube,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Javon Baker,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Devaughn Vele,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
British Brooks,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Mason Tipton,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Kameron Johnson,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Jacob Cowing,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Jared Wiley,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Sione Vaki,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Bryce Ford-Wheaton,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Tip Reiman,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Blake Whiteheart,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Chris Collier,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Blake Watson,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
D.J. Williams,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Dante Miller,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Ryan Flournoy,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Ryan Miller,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Casey Washington,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Bryce Oliver,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Kevin Austin Jr.,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Princeton Fant,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Justin Shorter,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Rasheen Ali,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Nikko Remigio,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
George Holani,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
David Martin-Robinson,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Cody Schrader,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,125,422,
Kaden Davis,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
Brenden Bates,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
Jared Wayne,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,178,422,
