Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1426,Robert Windsor,IND,DT,17,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.1,0.8,13.03
1427,Jaquan Johnson,BUF,S,17,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.8,12.97
1428,T.J. Smith,LAC,DT,17,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0.1,0.8,12.96
1429,Kellen Mond,MIN,QB,17,212.6,1.3,0.6,4.5,0.1,0,0,0,0,0,0,0,0.8,12.95
1430,Daniel Ross,JAX,DT,17,0,0,0,0,0,0,0,0,0.3,0.1,0.1,0.1,0.8,12.91
1431,Niko Lalos,NYG,DE,17,0,0,0,0,0,0,0,0,0.5,0.3,0.2,0.1,0.8,12.9
1432,Jeremiah Valoaga,NYJ,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.8,12.89
1433,Pat Jones II,MIN,OLB,17,0,0,0,0,0,0,0,0,0.8,0.1,0.2,0.1,0.8,12.86
1433,Aaron Patrick,JAX,OLB,17,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0.1,0.8,12.86
1435,Dazz Newsome,CHI,WR,17,0,0,0,0,0,7.4,91,0,0,0,0,0,0.8,12.8
1436,Will Grier,DAL,QB,17,204.1,1.4,0.8,4.3,0.1,0,0,0,0,0,0,0,0.8,12.79
1436,Simi Fehoko,DAL,WR,17,0,0,0,0,0,6.4,77.9,0.3,0,0,0,0,0.8,12.79
1438,Tanzel Smart,NYJ,DL,17,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.1,0.7,12.71
1439,John Reid,SEA,CB,17,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.7,12.65
1440,Joshua Kaindoh,KC,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,12.59
1441,Jonathan Marshall,NYJ,DT,17,0,0,0,0,0,0,0,0,0.5,0.1,0.2,0.1,0.7,12.55
1442,Raequan Williams,PHI,DE,17,0,0,0,0,0,0,0,0,0.6,0.1,0.1,0.1,0.7,12.52
1443,Nick Thurman,NE,DT,17,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0.1,0.7,12.5
1444,Kenny Willekes,MIN,DE,17,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0.1,0.7,12.46
1445,Brandon Wilson,CIN,S,17,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.7,12.45
1445,K'Von Wallace,PHI,S,17,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.7,12.45
1447,K.J. Sails,LAC,DB,17,0,0,0,0,0,0,0,0,1,0.4,0.5,0.3,0.7,12.4
1448,Bradlee Anae,DAL,OLB,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,12.39
1448,Shaka Toney,WAS,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,12.39
1448,David Bada,WAS,DT,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,12.39
1451,Payton Turner,NO,DE,17,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0.1,0.7,12.36
