rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
473,Ihmir Smith-Marsette,CAR,WR,17,0.0,0.0,0.0,8.2,0.1,4.1,38.2,0.1,0.0,0.0,0.0,0.0,0.5,854.1
474,Jeremy McNichols,WAS,RB,17,0.0,0.0,0.0,73.1,0.0,10.0,82.3,0.7,0.0,0.0,0.0,0.0,1.5,854.0
475,Ben Sims,GB,TE,17,0.0,0.0,0.0,0.0,0.0,8.4,71.7,1.5,0.0,0.0,0.0,0.0,1.2,854.0
476,Cole Turner,WAS,TE,17,0.0,0.0,0.0,0.0,0.0,9.6,107.0,0.8,0.0,0.0,0.0,0.0,1.2,853.9
477,Collin Johnson,CHI,WR,17,0.0,0.0,0.0,0.0,0.0,3.6,41.0,0.3,0.0,0.0,0.0,0.0,0.5,853.9
478,C.J. Uzomah,PHI,TE,17,0.0,0.0,0.0,0.0,0.0,10.1,97.5,0.9,0.0,0.0,0.0,0.0,1.2,853.8
479,Tanner McLachlan,CIN,TE,17,0.0,0.0,0.0,0.0,0.0,9.8,102.0,0.8,0.0,0.0,0.0,0.0,1.2,853.5
480,Pierre Strong Jr.,CLE,RB,17,0.0,0.0,0.0,129.9,0.9,4.2,31.5,0.1,0.0,0.0,0.0,0.0,1.4,853.5
481,River Cracraft,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,3.6,40.9,0.2,0.0,0.0,0.0,0.0,0.4,853.3
482,Payne Durham,TB,TE,17,0.0,0.0,0.0,0.0,0.0,9.5,101.2,0.8,0.0,0.0,0.0,0.0,1.2,853.3
483,Drew Ogletree,IND,TE,17,0.0,0.0,0.0,0.0,0.0,7.1,101.1,1.0,0.0,0.0,0.0,0.0,1.2,853.3
484,Josh Ali,ATL,WR,17,0.0,0.0,0.0,0.0,0.0,3.0,37.7,0.3,0.0,0.0,0.0,0.0,0.4,853.2
485,Isaiah Spiller,LAC,RB,17,0.0,0.0,0.0,128.4,0.8,5.0,31.2,0.1,0.0,0.0,0.0,0.0,1.4,853.1
