player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Eben Britton,4962,T,JAX,15,99.8,0,15,72.6,62.3,79.4,8,39,534,99.6,99.6,94.5,1,53,6,929,0,0,0,931,557,559,0,929,372,2
Marcus McNeill,2995,T,SD,16,99.9,0,27,72.4,76.4,64.4,8,22,521,99.8,99.8,96.0,6,36,6,928,0,0,914,929,547,548,0,11,381,4
Uche Nwaneri,3765,G,JAX,15,99.9,0,15,71.8,76.4,64.8,4,15,520,99.8,99.8,98.0,0,20,1,921,13,13,0,922,545,546,894,0,376,1
David Baas,2250,G,SF,16,100.0,0,28,72.8,71.9,69.6,4,13,546,100.0,100.0,97.7,3,21,4,921,0,921,0,921,573,573,0,0,348,0
Adam Goldberg,1612,T,SL,16,99.9,0,26,76.1,68.6,82.6,8,18,528,99.8,99.8,96.0,6,34,8,915,0,38,3,916,554,555,197,677,361,1
Donald Thomas,4509,G,MIA,16,100.0,0,17,73.1,68.0,72.9,8,10,460,100.0,100.0,97.0,3,23,5,914,0,0,0,914,485,485,914,0,429,0
Jamaal Jackson,1635,C,PHI,15,100.0,0,24,82.5,82.6,79.6,0,8,535,100.0,100.0,98.9,1,10,2,904,904,0,0,904,567,567,0,0,337,0
Jermon Bushrod,3741,T,NO,15,100.0,1,20,66.3,67.2,61.6,9,22,485,100.0,100.0,95.2,5,39,8,895,0,0,895,895,511,511,0,0,384,0
Branden Albert,4329,T,KC,14,100.0,1,16,69.2,73.5,71.9,9,16,512,100.0,100.0,96.2,12,32,7,893,0,0,893,893,549,549,0,0,344,0
Justin Smiley,1767,G,MIA,15,100.0,0,17,77.0,77.3,72.5,5,8,465,100.0,100.0,98.0,1,16,3,885,0,885,0,885,487,487,0,0,398,0
Eugene Monroe,4931,T,JAX,15,100.0,1,15,70.5,61.8,73.9,8,27,491,100.0,100.0,94.6,4,44,9,878,0,0,876,878,511,511,0,0,367,2
Rob Sims,3073,G,SEA,14,100.0,1,29,83.4,83.4,77.2,1,10,543,100.0,100.0,98.8,2,12,1,877,0,877,0,877,563,563,0,0,314,0
Rich Seubert,986,G,NYG,14,100.0,0,21,81.1,75.8,80.4,1,16,463,100.0,100.0,97.7,5,19,2,852,0,852,0,852,495,495,0,0,357,0
Chris Spencer,2243,C,SEA,14,100.0,0,29,73.8,82.2,70.8,1,7,532,100.0,100.0,98.9,4,10,2,851,732,0,0,851,553,553,119,0,298,0
Jeff Otah,4333,T,CAR,13,100.0,0,5,74.7,68.3,81.3,4,18,416,100.0,100.0,96.2,7,27,5,839,0,0,0,839,439,439,0,839,400,0
Scott Mruczkowski,2459,C,SD,14,100.0,0,27,81.9,84.6,79.1,1,9,461,100.0,100.0,98.7,3,11,1,838,828,0,0,838,483,483,10,0,355,0
Sam Baker,4335,T,ATL,14,99.8,0,2,72.0,68.6,71.4,3,28,456,99.6,99.6,95.5,5,36,5,833,0,0,822,835,486,488,3,1,347,9
Louis Vasquez,5001,G,SD,14,100.0,0,27,80.1,67.0,79.5,1,17,446,100.0,100.0,97.3,1,21,3,832,0,0,0,832,466,466,832,0,366,0
Jacob Bell,1859,G,SL,13,100.0,0,26,75.2,76.2,70.9,3,11,474,100.0,100.0,98.1,4,16,2,821,0,821,0,821,501,501,0,0,320,0
Adam Snyder,2311,T,SF,16,100.0,0,28,69.3,59.4,80.2,8,30,487,100.0,100.0,94.0,4,48,10,819,0,0,1,819,509,509,33,785,310,0
Jason Peters,2148,T,PHI,15,100.0,0,24,74.6,82.2,69.2,4,12,475,100.0,100.0,97.1,10,22,6,819,0,0,818,819,503,503,0,0,316,1
