player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Brian Thomas Jr.,146760,WR,JAX,14,14.8,4,54.5,34.5,10,29,0,14.3,8,0.12,33,15,0,37.3,79.8,65.5,,66.7,0.0,0,1,46,0.0,0,500,2,47.3,48,94.2,471,24.6,123,83.9,88,2,75.4,377,707,170,3.5,14.7,1.5
Rome Odunze,73774,WR,CHI,12,14.5,4,50.6,38.9,7,18,0,8.3,4,0.01,37,6,0,62.0,34.1,70.8,67.6,72.0,0.0,0,3,37,0.5,2,442,2,43.2,44,92.8,410,40.5,179,84.5,87,6,59.3,262,661,211,4.8,15.0,1.61
Elic Ayomanor,157263,WR,TEN,16,12.8,4,47.7,56.5,13,23,0,8.9,4,-0.25,30,31,0,58.3,78.1,61.0,,63.4,0.2,1,3,39,0.0,0,533,2,36.0,41,94.7,505,18.6,99,67.7,86,4,81.2,433,515,121,3.0,12.6,1.02
Chase Brown,77787,HB,CIN,17,0.6,17,80.2,62.5,5,8,0,5.5,4,-0.12,18,7,1,74.7,74.9,75.1,27.7,71.9,0.4,2,2,23,11.8,56,476,1,46.7,69,84.0,400,9.7,46,97.5,86,5,4.0,19,437,452,6.6,6.3,1.09
De'Von Achane,124305,HB,MIA,16,0.6,23,78.8,28.6,2,7,0,5.6,4,-0.06,23,17,0,74.3,84.8,88.9,34.5,75.0,0.0,0,2,29,7.9,34,429,1,42.8,67,87.9,377,24.7,106,96.5,85,4,9.8,42,488,551,8.2,7.3,1.29
Josh Downs,122832,WR,IND,16,8.4,7,69.0,35.7,5,14,0,4.9,3,-0.03,36,14,0,76.6,83.5,77.1,,77.4,0.0,0,3,34,0.0,0,405,1,45.1,58,93.6,379,78.8,319,88.7,84,4,20.2,82,566,144,2.5,9.8,1.49
Romeo Doubs,84329,WR,GB,16,13.2,4,66.3,42.9,12,28,0,5.2,3,0.17,41,12,1,68.3,56.1,71.0,,73.7,0.0,0,1,48,0.0,0,448,1,52.0,55,93.5,419,17.4,78,112.7,83,6,82.6,370,724,165,3.0,13.2,1.73
Hunter Henry,10669,TE,NE,17,8.2,3,72.3,59.1,13,22,0,6.3,4,0.28,42,19,0,72.3,80.8,76.4,62.5,80.4,40.4,220,2,36,10.5,57,545,3,55.6,60,84.6,461,41.8,228,119.0,83,7,13.9,76,768,337,5.6,12.8,1.67
Alec Pierce,78038,WR,IND,15,20.0,2,56.6,43.8,14,32,0,2.1,1,0.03,41,14,0,86.2,79.2,79.3,,81.0,0.0,0,2,66,0.0,0,506,4,47.0,47,94.3,477,13.4,68,113.7,83,6,86.6,438,1003,188,4.0,21.3,2.1
Brock Bowers,146715,TE,LV,12,7.5,4,77.1,65.2,15,23,0,4.5,3,-0.17,36,23,0,72.5,81.1,78.8,79.2,82.2,32.7,143,3,38,3.2,14,437,0,42.5,64,91.5,400,47.6,208,113.5,83,7,18.8,82,680,296,4.6,10.6,1.7
Kenneth Gainwell,77737,HB,PIT,17,-0.3,12,90.1,100.0,4,4,0,2.7,2,-0.02,23,25,1,88.3,65.4,73.7,68.7,73.1,17.0,64,0,45,6.9,26,377,2,42.9,73,87.8,331,14.3,54,104.0,81,3,7.2,27,486,533,7.3,6.7,1.47
Colston Loveland,158540,TE,CHI,16,9.5,6,71.6,50.0,9,18,0,1.7,1,0.05,35,6,0,89.5,80.4,81.1,46.0,83.3,42.3,183,0,58,6.2,27,433,5,45.4,58,88.7,384,31.2,135,123.1,81,6,24.2,105,713,263,4.5,12.3,1.86
DJ Moore,48267,WR,CHI,17,12.5,4,62.5,61.5,8,13,0,3.8,2,0.02,32,6,1,78.7,81.5,65.8,74.7,65.5,0.0,0,1,46,0.3,2,599,8,43.7,50,93.2,558,31.7,190,109.5,80,6,65.6,393,682,224,4.5,13.6,1.22
Cade Otton,61071,TE,TB,16,5.1,7,73.8,35.0,7,20,0,3.3,2,-0.02,25,30,0,82.9,80.3,57.4,71.3,58.1,34.1,213,2,27,9.4,59,625,5,44.2,59,84.5,528,48.6,304,87.1,80,1,16.6,104,572,307,5.2,9.7,1.08
Quentin Johnston,123085,WR,LAC,14,13.0,12,65.4,52.4,11,21,0,7.3,4,0.01,26,27,1,65.7,39.0,67.6,,67.8,0.0,0,2,60,0.0,0,512,1,47.1,51,95.3,488,14.5,74,119.3,78,8,85.5,438,735,223,4.4,14.4,1.51
Dallas Goedert,47272,TE,PHI,15,7.2,6,76.9,0.0,0,8,0,4.8,3,0.09,34,24,0,77.0,80.9,66.8,64.2,69.7,37.4,179,0,36,4.4,21,478,0,45.3,60,90.0,430,48.5,232,137.3,78,11,13.6,65,591,244,4.1,9.9,1.37
