player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Cedric Benson,2221,HB,CIN,13,0.4,4,81.0,,0,0,0,15.0,3,5,7,0,46.6,87.7,58.1,62.7,45.0,0.0,0,0,19,23.0,57,248,1,17,71.8,178,0.4,1,88.7,21,0,0.4,1,111,105,6.2,6.5,0.62
Derrick Ward,1949,HB,TB,14,0.6,1,95.2,,0,0,1,0.0,0,7,30,0,83.6,70.1,58.0,71.4,64.6,0.0,0,0,38,33.6,71,211,3,20,64.0,135,0.0,0,128.2,21,2,2.4,5,150,141,7.1,7.5,1.11
Gary Barnidge,4455,TE,CAR,13,15.3,2,60.0,,0,0,0,0.0,0,8,5,1,79.4,24.5,82.9,73.9,71.2,53.1,51,2,55,6.3,6,96,0,12,90.6,87,35.4,34,62.9,20,0,8.3,8,242,105,8.8,20.2,2.78
Joey Galloway,117,WR,PIT,3,12.8,0,35.0,,0,0,0,22.2,2,3,25,0,31.8,69.5,49.7,,49.4,0.0,0,0,19,0.0,0,120,1,7,95.0,114,13.3,16,45.2,20,0,86.7,104,67,10,1.4,9.6,0.59
Ladell Betts,1063,HB,WAS,10,-1.1,4,85.0,,0,0,0,5.6,1,9,32,0,69.6,84.5,64.0,65.0,69.0,0.0,0,0,25,31.9,52,163,0,17,66.3,108,4.9,8,102.1,20,0,4.9,8,170,189,11.1,10.0,1.57
Willis McGahee,1339,HB,BLT,15,-0.9,3,75.0,,0,0,0,6.3,1,5,3,0,67.0,68.9,65.2,70.3,70.6,0.0,0,0,14,23.1,18,78,1,15,74.4,58,3.8,3,115.6,20,2,2.6,2,85,114,7.6,5.7,1.47
Earnest Graham,1613,FB,TB,13,5.9,1,70.0,,0,0,0,12.5,2,3,30,0,49.6,77.7,70.8,73.0,48.2,0.9,1,0,16,22.2,26,117,0,14,74.4,87,0.9,1,83.1,20,0,0.9,1,109,83,5.9,7.8,1.25
Reggie Brown,2252,WR,PHI,14,17.2,4,45.0,,0,0,0,10.0,1,7,24,0,58.5,71.7,59.4,,58.8,0.0,0,1,43,0.0,0,188,0,9,93.1,175,7.4,14,51.0,20,0,92.6,174,155,36,4.0,17.2,0.89
David Clowney,3773,WR,NYJ,13,12.6,1,70.0,,0,0,0,6.7,1,7,22,1,64.4,27.0,53.4,,52.9,0.0,0,0,53,0.0,0,174,0,14,95.4,166,22.4,39,116.9,20,1,77.6,135,191,49,3.5,13.6,1.15
Lex Hilliard,4518,HB,MIA,7,1.9,1,100.0,,0,0,0,0.0,0,5,17,0,84.1,80.5,69.8,43.1,76.0,0.0,0,0,18,31.5,39,124,0,20,67.7,84,8.9,11,132.9,20,2,6.5,8,158,121,6.1,7.9,1.88
