player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Antrel Rolle,2225,S,ARZ,2,1,1,0,0.0,0,0,0,0,0,0,,100.0,0,0,1,0,0,63.6,90.6,66.9,77.9,,,65.9,,9,2,0,0,0,0,9,1,0,0,0,9,20,20.0,9.0,,0
Yamon Figurs,3690,WR,TB,5,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,30,0,0,64.6,51.5,74.1,,,54.7,56.7,60.1,-2,0,7,1,11,7,0,0,2,2,0,-2,0,0.0,-2.0,0.64,0
Roddy White,2244,WR,ATL,16,1,0,0,0.0,0,1,2,6,5,0,0,0.0,0,0,2,1,0,62.9,75.1,12.0,,,75.4,56.7,79.5,2,7,1153,85,591,340,0,0,153,86,0,2,0,0.0,2.0,1.95,0
Oren O'Neal,3791,FB,OAK,4,1,1,0,,0,0,0,0,0,1,2,200.0,0,0,23,0,0,61.9,62.1,75.1,,81.1,55.6,59.9,58.3,0,0,0,0,5,39,0,0,0,1,0,0,2,2.0,0.0,0.0,0
Eddie Royal,4356,WR,DEN,14,1,0,0,0.0,0,0,1,1,5,0,2,26.3,0,0,10,0,0,78.0,64.8,70.4,,,65.4,60.0,53.9,1,1,345,37,351,203,0,0,69,38,0,1,2,2.0,1.0,0.98,0
Reggie Brown,2252,WR,PHI,14,1,0,0,0.0,0,0,-3,1,4,0,0,0.0,0,0,24,0,0,71.7,59.4,85.2,,,58.8,56.7,64.5,-3,0,155,9,175,98,0,0,20,10,0,-3,0,0.0,-3.0,0.89,0
Julian Edelman,5156,WR,NE,11,1,0,0,0.0,0,0,5,3,10,0,1,26.3,0,0,19,1,0,78.0,68.8,81.8,,,68.2,63.2,58.4,5,0,359,37,221,82,0,0,50,38,0,5,1,1.0,5.0,1.62,0
Dustin Keller,4344,TE,NYJ,16,1,0,0,0.0,0,0,7,5,4,0,3,26.1,0,0,22,1,0,35.8,62.8,63.5,,67.9,62.9,63.1,60.0,7,4,522,45,360,386,0,0,78,46,0,7,3,3.0,7.0,1.45,0
Kevin Boss,3769,TE,NYG,15,1,0,1,100.0,16,0,16,1,6,0,2,27.9,1,1,21,0,0,78.7,82.5,83.3,,59.1,70.9,59.4,88.5,16,2,567,42,427,389,0,0,65,43,0,16,2,2.0,16.0,1.33,0
Kellen Winslow,1727,TE,TB,16,1,0,0,0.0,0,0,7,5,4,0,2,10.3,0,0,30,0,0,82.1,73.1,57.1,,70.3,75.1,57.8,62.4,7,4,902,77,509,291,0,0,117,78,0,7,2,2.0,7.0,1.77,0
Mohamed Massaquoi,4973,WR,CLV,16,1,0,0,0.0,0,0,-3,5,3,0,1,8.6,0,0,8,1,0,28.7,66.9,75.9,,,64.4,57.8,79.1,-3,1,624,34,394,358,0,0,87,35,0,-3,1,1.0,-3.0,1.58,0
Donald Driver,533,WR,GB,16,1,0,0,0.0,0,0,13,8,11,0,1,15.5,1,1,12,1,0,49.0,68.3,61.8,,,68.2,56.7,65.0,13,2,1061,70,572,256,0,0,109,71,0,13,1,1.0,13.0,1.85,0
Derrick Mason,271,WR,BLT,16,1,0,0,0.0,0,0,2,6,8,0,1,10.8,0,0,3,0,0,81.8,76.9,49.8,,,77.2,56.7,69.7,2,3,1028,73,528,379,0,0,128,74,0,2,1,1.0,2.0,1.95,0
B.J. Askew,1400,FB,TB,5,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,30,0,0,66.2,57.8,0.0,,79.0,55.4,56.7,63.1,0,1,3,2,24,52,0,0,2,3,0,0,0,0.0,0.0,0.13,0
Derrick Williams,5005,WR,DET,10,1,0,0,0.0,0,1,4,1,0,0,2,0.0,0,0,11,0,0,69.8,51.6,0.0,,,54.8,56.5,57.4,4,2,52,6,98,31,0,0,13,7,0,4,2,2.0,4.0,0.53,0
