player,season,pos,next_pred_ppg,recorded_next_y_act,validation_rows,raw_year_exp,pred_ppg,input_current_y_act,input_next_y_act,true_current_games,true_current_ppg,true_current_points,next_season,true_next_games,true_next_ppg,true_next_points,true_no_appearance,true_no_useful,recorded_no_useful,recorded_minus_true_ppg,carried_forward_current_ppg,threshold,above_threshold,experience_cohort,exp_below,excess_exp,further_excess_exp
Alshon Jeffery,2020,WR,5.10390194153506,3.2142857142857144,2,8.0,5.428644576576728,3.357142857142857,3.357142857142857,7.0,3.357142857142857,23.5,2021,0.0,0.0,0.0,True,True,True,3.2142857142857144,True,9.0,False,threshold_or_below,8.0,0.0,0.0
Alvin Kamara,2017,RB,8.447593621115093,21.953333333333333,3,0.0,7.405219160000962,19.253333333333334,23.253333333333334,15.0,19.253333333333334,288.8,2018,15.0,23.253333333333334,348.8,False,False,False,-1.3000000000000007,False,7.0,False,threshold_or_below,0.0,0.0,0.0
Alvin Kamara,2018,RB,15.454654730952049,14.83076923076923,3,1.0,16.721985755918436,23.253333333333334,17.638461538461538,15.0,23.253333333333334,348.8,2019,13.0,17.638461538461538,229.3,False,False,False,-2.8076923076923084,False,7.0,False,threshold_or_below,1.0,0.0,0.0
Alvin Kamara,2019,RB,16.249787994938558,23.953333333333333,2,2.0,18.268880380111614,17.638461538461538,25.186666666666667,13.0,17.638461538461538,229.3,2020,15.0,25.186666666666667,377.8,False,False,False,-1.2333333333333343,False,7.0,False,threshold_or_below,2.0,0.0,0.0
Alvin Kamara,2020,RB,15.71686225743482,17.166666666666668,2,3.0,16.694432623152025,25.186666666666667,18.041666666666668,15.0,25.186666666666667,377.8,2021,12.0,18.041666666666668,216.5,False,False,False,-0.875,False,7.0,False,threshold_or_below,3.0,0.0,0.0
Alvin Kamara,2021,RB,14.908750741611758,12.62142857142857,2,4.0,16.607287980448902,18.041666666666668,14.549999999999999,12.0,18.041666666666668,216.5,2022,14.0,14.549999999999999,203.7,False,False,False,-1.9285714285714288,False,7.0,False,threshold_or_below,4.0,0.0,0.0
Alvin Kamara,2022,RB,14.101448187434958,15.084615384615384,2,5.0,15.092406439362748,14.549999999999999,17.507692307692306,14.0,14.549999999999999,203.7,2023,13.0,17.507692307692306,227.6,False,False,False,-2.4230769230769216,False,7.0,False,threshold_or_below,5.0,0.0,0.0
Alvin Kamara,2023,RB,9.162008768767471,17.307142857142857,2,6.0,10.075827471746267,17.507692307692306,18.95,13.0,17.507692307692306,227.6,2024,14.0,18.95,265.3,False,False,False,-1.6428571428571423,False,7.0,False,threshold_or_below,6.0,0.0,0.0
Alvin Kamara,2024,RB,10.364650074073655,7.745454545454546,2,7.0,11.399744496562093,18.95,9.336363636363636,14.0,18.95,265.3,2025,11.0,9.336363636363636,102.7,False,False,False,-1.59090909090909,False,7.0,False,threshold_or_below,7.0,0.0,0.0
Amari Cooper,2017,WR,13.77137351821068,13.385714285714286,2,2.0,13.58903191192909,10.453846153846154,15.028571428571428,13.0,10.453846153846154,135.9,2018,14.0,15.028571428571428,210.4,False,False,False,-1.6428571428571423,False,9.0,False,threshold_or_below,2.0,0.0,0.0
Amari Cooper,2018,WR,11.626141697540183,13.946666666666667,2,3.0,11.642268526272296,15.028571428571428,15.513333333333334,14.0,15.028571428571428,210.4,2019,15.0,15.513333333333334,232.70000000000002,False,False,False,-1.5666666666666664,False,9.0,False,threshold_or_below,3.0,0.0,0.0
Amari Cooper,2019,WR,13.49753013569309,13.86,2,4.0,12.849503835093103,15.513333333333334,14.993333333333334,15.0,15.513333333333334,232.70000000000002,2020,15.0,14.993333333333334,224.9,False,False,False,-1.1333333333333346,False,9.0,False,threshold_or_below,4.0,0.0,0.0
Amari Cooper,2020,WR,13.29939041038265,12.774999999999999,2,5.0,12.51171859564862,14.993333333333334,13.542857142857143,15.0,14.993333333333334,224.9,2021,14.0,13.542857142857143,189.6,False,False,False,-0.7678571428571441,False,9.0,False,threshold_or_below,5.0,0.0,0.0
