pos,raw_year_exp,outcome,events,n,rate,ci95_low,ci95_high,avg_pred_ppg,avg_raw_year_exp
TE,4.0,current_ppg_cliff_30,21,77,0.2727272727272727,0.1858435554011884,0.3812110303566392,7.530904578052967,4.0
TE,4.0,current_ppg_cliff_50,5,77,0.06493506493506493,0.02805266679607036,0.1431661116546283,7.530904578052967,4.0
TE,4.0,extended_absence_8,13,90,0.14444444444444443,0.08639907001192244,0.23160062308793938,7.354875227307957,4.0
TE,4.0,current_any_bust,34,90,0.37777777777777777,0.2845581232563842,0.4810042712466932,7.354875227307957,4.0
TE,4.0,next_no_appearance,7,85,0.08235294117647059,0.04046320889853023,0.16036162991571895,7.471205857709721,4.0
TE,4.0,next_ppg_cliff_30,16,85,0.18823529411764706,0.11932042110303412,0.2841122050540815,7.471205857709721,4.0
TE,4.0,next_no_useful,30,85,0.35294117647058826,0.2597233193313943,0.4588769760257358,7.471205857709721,4.0
TE,5.0,current_ppg_cliff_30,16,68,0.23529411764705882,0.1503436437092872,0.34855393095497417,7.274899894232197,5.0
TE,5.0,current_ppg_cliff_50,5,68,0.07352941176470588,0.03181437515487155,0.160853939581994,7.274899894232197,5.0
TE,5.0,extended_absence_8,15,83,0.18072289156626506,0.11269266892236789,0.27700074989994766,7.037978517842327,5.0
TE,5.0,current_any_bust,31,83,0.37349397590361444,0.27719527504576813,0.4809851361857155,7.037978517842327,5.0
TE,5.0,next_no_appearance,9,82,0.10975609756097561,0.05882647906650991,0.19561425829160084,7.0636549353373566,5.0
TE,5.0,next_ppg_cliff_30,9,82,0.10975609756097561,0.05882647906650991,0.19561425829160084,7.0636549353373566,5.0
TE,5.0,next_no_useful,26,82,0.3170731707317073,0.22647919829889346,0.4240398973377209,7.0636549353373566,5.0
TE,6.0,current_ppg_cliff_30,8,56,0.14285714285714285,0.0742070004258528,0.25736167420851525,7.248805874933828,6.0
TE,6.0,current_ppg_cliff_50,1,56,0.017857142857142856,0.003159128964463985,0.0944585817919329,7.248805874933828,6.0
TE,6.0,extended_absence_8,9,65,0.13846153846153847,0.07459006187684232,0.24268321474659466,7.191740115366764,6.0
TE,6.0,current_any_bust,17,65,0.26153846153846155,0.17018055060319132,0.3795103339782245,7.191740115366764,6.0
TE,6.0,next_no_appearance,5,61,0.08196721311475409,0.035519042911066306,0.177948854241379,7.346190987404768,6.0
TE,6.0,next_ppg_cliff_30,12,61,0.19672131147540983,0.11627688559536849,0.3131017848877781,7.346190987404768,6.0
TE,6.0,next_no_useful,21,61,0.3442622950819672,0.23747339039863208,0.4695048457954161,7.346190987404768,6.0
TE,7.0,current_ppg_cliff_30,12,51,0.23529411764705882,0.14004812598862518,0.36762488136345783,7.260456654343248,7.0
TE,7.0,current_ppg_cliff_50,3,51,0.058823529411764705,0.020206272864052077,0.15924873938941972,7.260456654343248,7.0
TE,7.0,extended_absence_8,10,61,0.16393442622950818,0.0915591348574295,0.27613074324551673,7.127431832834915,7.0
TE,7.0,current_any_bust,22,61,0.36065573770491804,0.25173936505814554,0.48608326732600293,7.127431832834915,7.0
TE,7.0,next_no_appearance,9,55,0.16363636363636364,0.08855320558522452,0.28263996387311785,7.243834982095019,7.0
TE,7.0,next_ppg_cliff_30,10,55,0.18181818181818182,0.10187561448030712,0.3033071133856924,7.243834982095019,7.0
TE,7.0,next_no_useful,24,55,0.43636363636363634,0.31373238636001305,0.5673041592131869,7.243834982095019,7.0
TE,8.0,current_ppg_cliff_30,9,33,0.2727272727272727,0.15067272656322814,0.44217883254386814,7.761132197350902,8.0
TE,8.0,current_ppg_cliff_50,2,33,0.06060606060606061,0.016780530429070947,0.19606581717798194,7.761132197350902,8.0
TE,8.0,extended_absence_8,5,38,0.13157894736842105,0.05753782875731436,0.2732717005149887,7.436951173480552,8.0
TE,8.0,current_any_bust,14,38,0.3684210526315789,0.23384013155413794,0.5271632717573987,7.436951173480552,8.0
TE,8.0,next_no_appearance,10,34,0.29411764705882354,0.16834452609931952,0.4616922588146376,7.3556153313742865,8.0
TE,8.0,next_ppg_cliff_30,7,34,0.20588235294117646,0.1034939602235132,0.3679871610821398,7.3556153313742865,8.0
TE,8.0,next_no_useful,18,34,0.5294117647058824,0.3673644042005483,0.6854874836688863,7.3556153313742865,8.0
TE,9.0,current_ppg_cliff_30,5,22,0.22727272727272727,0.10122890794820358,0.4344035606295935,7.637728970353225,9.0
TE,9.0,current_ppg_cliff_50,1,22,0.045454545454545456,0.008069219301147859,0.21798489499518053,7.637728970353225,9.0
TE,9.0,extended_absence_8,2,24,0.08333333333333333,0.023158327842973503,0.258492152014506,7.456176447138475,9.0
TE,9.0,current_any_bust,7,24,0.2916666666666667,0.14914460334164278,0.49168063658709704,7.456176447138475,9.0
TE,9.0,next_no_appearance,4,20,0.2,0.0806563532712,0.41602172202575993,7.881966895447126,9.0
TE,9.0,next_ppg_cliff_30,3,20,0.15,0.05236779195949584,0.36042329588695743,7.881966895447126,9.0
TE,9.0,next_no_useful,7,20,0.35,0.18118954786794464,0.5671494897805354,7.881966895447126,9.0
TE,10.0,current_ppg_cliff_30,2,12,0.16666666666666666,0.04696414761482223,0.44803635738467273,7.964439156188309,10.0
TE,10.0,current_ppg_cliff_50,0,12,0.0,0.0,0.2425007574992425,7.964439156188309,10.0
TE,10.0,extended_absence_8,4,16,0.25,0.10181901984237346,0.49498768929398645,7.842535297216569,10.0
TE,10.0,current_any_bust,6,16,0.375,0.18480982554752806,0.613593529020652,7.842535297216569,10.0
TE,10.0,next_no_appearance,3,16,0.1875,0.06591478773586765,0.4300935986845823,7.842535297216569,10.0
TE,10.0,next_ppg_cliff_30,1,16,0.0625,0.01111905730833121,0.2832926836802987,7.842535297216569,10.0
TE,10.0,next_no_useful,6,16,0.375,0.18480982554752806,0.613593529020652,7.842535297216569,10.0
TE,11.0,current_ppg_cliff_30,1,12,0.08333333333333333,0.014864709450773478,0.35388592179859524,7.846848316421892,11.0
TE,11.0,current_ppg_cliff_50,0,12,0.0,0.0,0.2425007574992425,7.846848316421892,11.0
TE,11.0,extended_absence_8,1,13,0.07692307692307693,0.013710066379696323,0.3331453392824736,7.590524643518451,11.0
TE,11.0,current_any_bust,2,13,0.15384615384615385,0.04325726318273798,0.4223517050863101,7.590524643518451,11.0
TE,11.0,next_no_appearance,3,13,0.23076923076923078,0.08179379092465713,0.5025687399512693,7.590524643518451,11.0
TE,11.0,next_ppg_cliff_30,0,13,0.0,0.0,0.22810184305529166,7.590524643518451,11.0
TE,11.0,next_no_useful,5,13,0.38461538461538464,0.17709446581236818,0.6447751902773146,7.590524643518451,11.0
TE,12.0,current_ppg_cliff_30,1,8,0.125,0.02241690886329617,0.4708948057698615,8.120824124046313,12.0
TE,12.0,current_ppg_cliff_50,0,8,0.0,0.0,0.3244156195108769,8.120824124046313,12.0
TE,12.0,extended_absence_8,1,9,0.1111111111111111,0.019890371327130535,0.4350062147680601,7.598088674653163,12.0
TE,12.0,current_any_bust,2,9,0.2222222222222222,0.06322376231222723,0.5474166563271946,7.598088674653163,12.0
TE,12.0,next_no_appearance,2,7,0.2857142857142857,0.0822171657090155,0.6410709098517873,7.53181203699467,12.0
TE,12.0,next_ppg_cliff_30,1,7,0.14285714285714285,0.02567895594897479,0.51313450331903,7.53181203699467,12.0
TE,12.0,next_no_useful,4,7,0.5714285714285714,0.2504542304090258,0.8417830777373732,7.53181203699467,12.0
TE,13.0,current_ppg_cliff_30,2,3,0.6666666666666666,0.2076549551264879,0.9385096847238394,9.906004725191517,13.0
TE,13.0,current_ppg_cliff_50,0,3,0.0,0.0,0.5615060804490177,9.906004725191517,13.0
TE,13.0,extended_absence_8,2,5,0.4,0.1176182311592533,0.769280067791163,8.27419316242936,13.0
TE,13.0,current_any_bust,4,5,0.8,0.3755282641185388,0.9637768390302125,8.27419316242936,13.0
TE,13.0,next_no_appearance,3,5,0.6,0.23071993220883708,0.8823817688407467,8.27419316242936,13.0
TE,13.0,next_ppg_cliff_30,0,5,0.0,0.0,0.43449149475208104,8.27419316242936,13.0
TE,13.0,next_no_useful,3,5,0.6,0.23071993220883708,0.8823817688407467,8.27419316242936,13.0
TE,14.0,current_ppg_cliff_30,0,2,0.0,0.0,0.6576280471103807,8.211511223077427,14.0
TE,14.0,current_ppg_cliff_50,0,2,0.0,0.0,0.6576280471103807,8.211511223077427,14.0
TE,14.0,extended_absence_8,0,2,0.0,0.0,0.6576280471103807,8.211511223077427,14.0
TE,14.0,current_any_bust,0,2,0.0,0.0,0.6576280471103807,8.211511223077427,14.0
TE,14.0,next_no_appearance,1,2,0.5,0.09452865480086614,0.9054713451991339,8.211511223077427,14.0
