player,pos,template_pool_key,target_capped_year_exp,template_count,weighted_played_games,template_extended_absence_prob,raw_template_perf_cliff_prob,weighted_template_raw_exp,min_template_raw_exp,max_template_raw_exp
Tet Mcmillan,WR,2026|beta|final_ensemble|WR|tet_mcmillan,1.0,80,12.7967384893153,0.12311549412139258,0.16439211939445197,2.4090594121074385,0.0,14.0
Emeka Egbuka,WR,2026|beta|final_ensemble|WR|emeka_egbuka,1.0,80,12.858332765914945,0.14350926337345676,0.1455543651166445,2.163843117860331,0.0,14.0
Tee Higgins,WR,2026|beta|final_ensemble|WR|tee_higgins,6.0,80,12.855775289455737,0.10098068921623352,0.15315387887546894,5.836380475186076,5.0,9.0
Malik Nabers,WR,2026|beta|final_ensemble|WR|malik_nabers,2.0,80,13.05440758156449,0.08587814289526775,0.19084050448981413,2.883239392183765,1.0,14.0
Luther Burden,WR,2026|beta|final_ensemble|WR|luther_burden,1.0,80,12.437123362067704,0.19803807880311522,0.12462767623221577,1.9129088708834001,0.0,14.0
Davante Adams,WR,2026|beta|final_ensemble|WR|davante_adams,9.0,80,12.538127583660632,0.15988710510600837,0.18029364644859178,9.626798745299745,4.0,15.0
Carnell Tate,WR,2026|beta|final_ensemble|WR|carnell_tate,0.0,80,13.186243892059922,0.047492412341220105,0.2925921042818396,0.7347975479202645,0.0,14.0
Rome Odunze,WR,2026|beta|final_ensemble|WR|rome_odunze,2.0,80,13.007484853408648,0.09273853953789567,0.24211951464749798,2.4531505561940476,0.0,12.0
Jaylen Waddle,WR,2026|beta|final_ensemble|WR|jaylen_waddle,5.0,80,13.195364405245256,0.06272188284588799,0.15863393699483125,5.1039786583140465,3.0,11.0
Jameson Williams,WR,2026|beta|final_ensemble|WR|jameson_williams,4.0,80,12.91470962926638,0.08429472819286282,0.14371015938348797,4.41539421303689,2.0,13.0
Brian Thomas,WR,2026|beta|final_ensemble|WR|brian_thomas,2.0,80,13.021267166434868,0.10730333640705497,0.22602305972327796,2.2221195167114316,1.0,8.0
Terry Mclaurin,WR,2026|beta|final_ensemble|WR|terry_mclaurin,7.0,80,12.42847720380491,0.1369263101855931,0.14076534165902943,7.016244528525074,5.0,15.0
Jordyn Tyson,WR,2026|beta|final_ensemble|WR|jordyn_tyson,0.0,80,12.737507775252544,0.06479577691050044,0.2445819104438317,0.30438130434499866,0.0,6.0
Christian Watson,WR,2026|beta|final_ensemble|WR|christian_watson,4.0,80,12.692465049299418,0.08357139990052775,0.16499266657214748,4.2314804872637115,3.0,11.0
Mike Evans,WR,2026|beta|final_ensemble|WR|mike_evans,9.0,80,12.52353509280759,0.15908524897732698,0.12256746220918528,9.542190712364407,7.0,15.0
Marvin Harrison,WR,2026|beta|final_ensemble|WR|marvin_harrison,2.0,80,13.005810740382124,0.08087595755220782,0.34288961125771045,2.507995924848723,1.0,15.0
Dj Moore,WR,2026|beta|final_ensemble|WR|dj_moore,8.0,80,12.267717418232477,0.15455377963889882,0.11914687726119245,8.449362405957405,5.0,15.0
Makai Lemon,WR,2026|beta|final_ensemble|WR|makai_lemon,0.0,80,12.105649871640216,0.137486905673758,0.2527502327541508,0.15896912670944924,0.0,3.0
Alec Pierce,WR,2026|beta|final_ensemble|WR|alec_pierce,4.0,80,12.33064616265911,0.11582629127028232,0.16177334020716516,4.143791462569704,2.0,9.0
Dk Metcalf,WR,2026|beta|final_ensemble|WR|dk_metcalf,7.0,80,11.817014246782673,0.16203236818499694,0.13090653900017038,6.992736478452417,4.0,12.0
Parker Washington,WR,2026|beta|final_ensemble|WR|parker_washington,3.0,80,12.721323210284876,0.09183832782110078,0.21094150791909644,3.334333771478951,1.0,9.0
Courtland Sutton,WR,2026|beta|final_ensemble|WR|courtland_sutton,8.0,80,12.186441134046401,0.13791373842515564,0.0956848452437687,8.57315682025409,6.0,16.0
Michael Wilson,WR,2026|beta|final_ensemble|WR|michael_wilson,3.0,80,12.630887492710427,0.10718657495012009,0.21596405379279776,3.2099780384685275,1.0,9.0
