Full Name,Position,20-Yard Shuttle,Athleticism Score,SPARQ-x,3-Cone Drill,Bench Press,Speed Score,40-Yard Dash,Broad Jump,Vertical Jump,Burst Score,Agility Score,Hand Size,Age,Arm Length,Height (Inches),Weight,Draft Pick,BMI,Breakout Age,College YPC,Breakout Year,College Dominator Rating,College Target Share
LeGarrette Blount,RB,4.49,102.5,102.9,6.85,18,98.8,4.7,117,35,118,11.34,10,31.7,33.38,72,241 lbs,Undrafted,32.7,21.8,7.3,2008,0.21,0.01
LeSean McCoy,RB,4.18,96.7,104.3,6.82,17,97.1,4.55,107,29,102.8,11,8.88,30.1,31.75,70,208 lbs,2.21,29.8,19.2,4.8,2007,0.47,0.13
LeShun Daniels,RB,4.17,102.6,122,6.94,21,103.6,4.55,114,36,118.2,11.11,9.5,23.2,30.63,71,222 lbs,Undrafted,31,20.3,5,2015,0.26,0.01
Lenard Tillery,RB,4.41,97.9,108.8,7.21,16,86.2,4.63,113,44,131.3,11.62,8.88,24.7,29.25,70,198 lbs,Undrafted,28.4,19.7,6.7,2013,0.33,-
Leonard Fournette,RB,-,-,-,-,-,116,4.51,-,28.5,-,-,9.25,23.6,31.63,72,240 lbs,1.04,32.5,19.6,6.5,2014,0.39,0.12
Lorenzo Taliaferro,RB,4.22,101,111.3,6.88,18,104.1,4.58,118,33,115.1,11.1,8.38,26.6,32,72,229 lbs,4.38,31.1,21.7,5.5,2013,0.31,-
Mack Brown,RB,4.15,95.5,106,7.05,18,87.4,4.66,115,32,111.9,11.2,9.5,26.9,31.25,71,206 lbs,Undrafted,28.7,22,4,2013,0.09,0.05
Malcolm Agnew,RB,3.9,102.5,124,6.75,19,88.7,4.62,129,37,127.4,10.65,8.88,25.2,30.38,69,202 lbs,Undrafted,29.8,20.3,6,2013,0.24,0.01
Malcolm Brown,RB,4.15,101.8,114.9,6.86,19,98.3,4.62,117,34.5,117.2,11.01,10.25,25.6,32.75,71,224 lbs,Undrafted,31.2,20.7,4.1,2013,0.22,0.07
Malcolm Johnson,RB,4.43,96.5,99.1,7.14,19,90,4.76,112,32,110.4,11.57,9.13,26,31.5,73,231 lbs,6.19,30.5,-,-,-,0.06,0.11
Malik Williams,RB,4.58,87.5,76.2,7.4,11,82,4.7,111,28.5,104,11.98,9.63,22.1,32.25,72,200 lbs,Undrafted,27.1,-,7.9,-,0.09,0.04
Marcel Reece,RB,4.26,103,124.2,7.2,-,120.2,4.47,114,36.5,119.1,11.46,-,33.1,-,74,240 lbs,Undrafted,30.8,22.2,6.3,2007,0.22,0.22
Marcus Cox,RB,4.58,94.4,83.1,7.5,13,86.5,4.7,120,30.5,111.9,12.08,9,23.9,30,70,211 lbs,Undrafted,30.3,19,5.8,2013,0.4,0.06
Marcus Lattimore,RB,-,-,-,-,-,101.3,4.57,-,-,-,-,9.88,26.8,32.5,71,221 lbs,4.34,30.8,18.9,4.7,2010,0.27,0.11
Marcus Murphy,RB,4.4,92.9,84,7.13,11,85.5,4.61,109,29,103.8,11.53,8.63,26.9,31,68,193 lbs,7.13,29.3,-,5.2,-,0.17,0.11
Marion Grice,RB,4.41,92.5,89.8,7.06,14,83.8,4.72,115,32,111.9,11.47,9.25,26.3,32,72,208 lbs,6.25,28.2,20.4,5.2,2012,0.27,0.13
Mark Ingram,RB,4.62,99.9,99.6,7.13,21,94.4,4.62,113,31.5,110.1,11.75,9.38,28.6,30.63,69,215 lbs,1.28,31.7,18.7,5.9,2008,0.31,0.11
Mark Thompson,RB,4.55,98.1,101.7,7.14,16,106.4,4.57,119,35,119,11.69,9.63,23.7,32.75,74,232 lbs,Undrafted,29.8,-,5.1,-,0.11,0.06
Mark Walton,RB,4.45,96.1,97.5,7,18,90.2,4.6,118,31.5,112.6,11.45,9.25,21.4,30,70,202 lbs,4.12,29,18.4,6.8,2015,0.18,0.09
Marlon Mack,RB,-,-,-,-,15,103.9,4.5,125,35.5,122.9,-,9,22.4,32,71,213 lbs,4.37,29.7,18.5,6,2014,0.3,0.11
Marquez Williams,RB,4.64,105.9,117.7,7.6,28,99.6,4.78,104,34.5,110.7,12.24,9.5,24.1,30,71,260 lbs,7.22,36.3,-,1,-,0.01,-
Marshaun Coprich,RB,4.58,100.6,101.6,7.26,17,103.7,4.47,112,34,113.8,11.84,9,24,29.63,68,207 lbs,Undrafted,31.5,19.1,6.1,2013,0.4,-
Marshawn Lynch,RB,4.58,101.3,110.1,7.09,20,108.7,4.46,125,35.5,122.9,11.67,9.63,32.3,32.5,71,215 lbs,1.12,30,19.4,6.1,2005,0.32,0.11
Martez Carter,RB,4.5,101.6,96.4,7.52,14,93,4.61,118,36,120.2,12.02,8.63,25.4,31,67,210 lbs,Undrafted,32.9,22.5,5.1,2015,0.27,-
Matt Asiata,RB,4.37,98.7,102.9,7.09,22,87.4,4.81,104,30,103,11.46,9.38,31,30.13,71,234 lbs,Undrafted,32.6,21.1,4.7,2008,0.19,0.11
Matt Breida,RB,4.34,104.5,127.7,6.85,23,100.4,4.44,134,42,138.4,11.19,9.63,23.4,32.13,69,195 lbs,Undrafted,28.8,19.5,5.9,2014,0.22,0.07
Matt Forte,RB,4.23,99.7,123,6.84,23,110.2,4.46,118,33,115.1,11.07,9.63,32.7,31.13,73,218 lbs,2.13,28.8,19.7,5.9,2005,0.57,0.14
Matt Jones,RB,4.2,-,112.7,-,20,102.3,4.61,112,31.5,109.6,-,8.63,25.4,32,74,231 lbs,3.31,29.7,21.5,4.9,2014,0.21,0.07
Matthew Dayes,RB,4.44,94.4,90.2,7.26,18,83.3,4.71,109,28,102.1,11.7,10.5,23.9,30,69,205 lbs,7.34,30.3,20,5.6,2014,0.29,0.12
Matthew Tucker,RB,4.44,100.5,106.7,7.13,17,105.9,4.55,118,35.5,119.4,11.57,9.25,27.2,30.25,72,227 lbs,Undrafted,30.8,20.3,5.1,2011,0.16,0.05
Maurice Jones-Drew,RB,4.41,105.4,114.2,7.08,18,112,4.39,116,36,119.2,11.49,-,33.4,-,67,208 lbs,2.28,32.6,20.5,5.6,2005,0.29,0.1
Melvin Gordon,RB,4.07,98.9,121,7.04,19,103,4.52,126,35,122.5,11.11,9.75,25.3,32.38,73,215 lbs,1.15,28.4,20.4,7.5,2013,0.47,0.09
Michael Bush,RB,-,-,-,-,-,107.6,4.62,-,30,-,-,9,34.2,32,73,245 lbs,4.01,32.3,21.2,5.6,2005,0.31,0.07
Michael Cox,RB,4.08,101.3,132.1,6.87,24,93.1,4.63,127,41,133.2,10.95,-,29.7,-,73,214 lbs,7.47,28.2,23.8,3.6,2012,0.26,0.04
Michael Dyer,RB,-,-,-,-,26,99.1,4.58,120,34,117.8,-,9.5,27.8,30.63,68,218 lbs,Undrafted,33.1,20.9,4.9,2011,0.21,0.02
Michael Ford,RB,4.25,108.3,130.9,6.87,25,105.3,4.5,130,38.5,130.5,11.12,9,28.2,30.38,69,216 lbs,Undrafted,31.9,-,6,-,0.11,0.03
Michael Hill,RB,4.08,102.9,124.7,6.78,23,89.8,4.65,124,37.5,125.8,10.86,10,29,29.88,70,210 lbs,Undrafted,30.1,20.1,7,2009,0.32,-
Michael Smith,RB,4.35,104.9,130,7.51,23,111.4,4.38,126,40.5,131.9,11.86,-,30,-,69,205 lbs,7.05,30.3,20.1,7.6,2008,0.19,0.07
Mike Boone,RB,4.38,106.1,129.8,6.95,25,101.4,4.49,139,42,140.9,11.33,9.5,23,30.38,70,206 lbs,Undrafted,29.6,19.1,5.3,2014,0.2,0.08
Mike Burton,RB,4.34,102.3,116,7.2,25,95.1,4.74,115,33,113.6,11.54,9.5,26.5,29.25,72,240 lbs,5.32,32.5,-,4.4,-,0.03,0.06
Mike Davis,RB,4.18,102,109.2,7,17,96.1,4.61,116,34,115.8,11.18,9.38,26.2,30.25,69,217 lbs,4.27,32,21.3,5.4,2013,0.23,0.11
Mike Gillislee,RB,4.4,98,97.8,7.12,15,102.2,4.55,119,30.5,111.4,11.52,9.38,27.8,31.13,71,219 lbs,5.31,30.5,21.8,4.7,2012,0.31,0.07
Mike Goodson,RB,4.22,98.9,112,6.89,14,99.8,4.54,118,39.5,126.2,11.11,9.88,31.2,32.25,72,212 lbs,4.11,28.7,20.3,4.5,2007,0.21,0.11
Mike James,RB,4.34,105.7,129.9,6.93,28,105.9,4.53,115,35,117,11.27,9.75,27.3,31.63,70,223 lbs,6.21,32,21.4,4.2,2012,0.2,0.08
Mike Tolbert,RB,-,-,-,-,-,93.1,4.78,-,-,-,-,-,32.7,-,69,243 lbs,Undrafted,35.9,21.8,6.7,2007,0.22,-
Mikel Leshoure,RB,4.4,104.6,117.1,6.82,21,105,4.59,122,38,125.6,11.22,9.38,28.4,32.5,72,233 lbs,2.25,31.6,19.4,6,2009,0.4,0.14
Montee Ball,RB,4.4,98.6,96.5,6.88,15,94.8,4.61,118,32,113.4,11.28,9,27.7,32.63,70,214 lbs,2.26,30.7,19.8,5.1,2010,0.39,0.1
Nick Bawden,RB,4.37,-,-,7.16,-,94.7,4.77,109,-,-,11.53,9.25,22.1,30.5,74,245 lbs,7.19,31.5,-,-,-,0.02,0.08
Nick Chubb,RB,4.25,108,140.1,7.09,29,108.8,4.52,128,38.5,129.5,11.34,9.63,22.6,32,71,227 lbs,2.03,31.7,18.7,6.7,2014,0.25,0.07
Nick Holley,RB,4.2,-,-,6.95,17,79.7,4.71,-,-,-,11.15,9.25,23.7,29.88,70,196 lbs,Undrafted,28.1,19.8,5.3,2014,0.22,0.09
Nick Wilson,RB,4.26,92.5,92.9,7.22,14,85.9,4.64,111,29.5,105.7,11.48,9.75,22.3,29.88,70,199 lbs,Undrafted,28.6,18.4,5.3,2014,0.2,0.03
Nyheim Hines,RB,4.35,99.7,104,7.18,11,107.6,4.38,119,35.5,119.9,11.53,8.88,21.7,30.75,68,198 lbs,4.04,30.1,20.8,5.8,2017,0.23,0.14
Orleans Darkwa,RB,4.29,99.9,110.5,6.9,15,103.9,4.51,124,37.5,125.8,11.19,8.13,26.4,30.75,72,215 lbs,Undrafted,29.2,18.5,4.5,2010,0.32,0.1
Patrick DiMarco,RB,4.46,94.1,91.9,7.09,20,77.3,4.96,108,29.5,104.2,11.55,-,29.3,-,73,234 lbs,Undrafted,30.9,-,-,-,0.04,0.06
Paul Perkins,RB,-,-,-,-,19,97.9,4.54,124,32,116.4,-,9,23.7,31.63,70,208 lbs,5.1,29.8,19.8,5.7,2014,0.28,0.08
Peyton Barber,RB,4.21,102.4,112.1,7,20,98.4,4.64,111,32.5,110.8,11.21,9.38,24.1,30.25,70,228 lbs,Undrafted,32.7,21.2,4.3,2015,0.31,0.05
Peyton Hillis,RB,4.24,103.9,123.3,7.15,26,107.9,4.64,117,30.5,110.4,11.39,8,32.6,31.13,73,250 lbs,7.2,33,19.6,5.6,2005,0.17,0.23
Phillip Lindsay,RB,4.31,98.5,104.5,7.12,14,94.7,4.44,124,35.5,122.4,11.43,8.63,24,30.88,67,184 lbs,Undrafted,28.8,21.1,5,2015,0.38,0.15
Phillip Tanner,RB,4.4,98.4,106.2,7.18,-,91.3,4.62,123,36,122.7,11.58,-,30,-,70,208 lbs,Undrafted,29.8,20.1,5.8,2008,0.31,0.06
Pierre Thomas,RB,4.31,99.1,110,7.12,21,88.1,4.7,119,35.5,119.9,11.43,-,33.6,-,71,215 lbs,Undrafted,30,20.7,5.8,2005,0.24,0.1
Quinton Flowers,RB,4.57,-,-,6.81,-,93.1,4.63,112,-,-,11.38,9.75,23.7,30.88,70,214 lbs,Undrafted,30.7,20.8,6.6,2015,0.21,0
Raheem Mostert,RB,4.3,97.8,120.8,6.9,20,97.5,4.42,132,40,134,11.2,9.75,26.3,30.88,71,186 lbs,Undrafted,25.9,-,5.7,-,0.12,0.05
Rajion Neal,RB,4.34,101.5,114.2,7.19,-,96.6,4.62,119,38,124.1,11.53,9.13,26.4,30.75,71,220 lbs,Undrafted,30.7,20.4,5.2,2012,0.35,0.11
Ralph Webb,RB,4.15,102.8,131.6,7.13,27,95.1,4.54,122,36,122.2,11.28,9.25,23.7,30.25,69,202 lbs,Undrafted,29.8,19.8,4.2,2014,0.3,0.11
Rashaad Penny,RB,-,-,-,-,13,111.2,4.46,120,32.5,115.3,-,9.25,22.5,31.25,71,220 lbs,1.27,30.7,20.6,7.8,2016,0.5,0.1
Rashad Jennings,RB,4.2,103.5,131.8,6.86,29,98.8,4.67,120,34,117.8,11.06,10.38,33.4,32,73,235 lbs,7.41,31,21.4,5.8,2006,0.36,0.02
Rasheed Williams,RB,-,-,-,-,-,103.9,4.51,-,-,-,-,-,-,-,73,215 lbs,Undrafted,28.4,-,6.7,2013,0.59,-
Ray Graham,RB,4.21,94.7,98.8,7.17,18,75,4.8,112,32.5,111.3,11.38,9.63,27.9,30.75,69,199 lbs,Undrafted,29.4,20,4.7,2010,0.3,0.13
Ray Lawry,RB,4.5,98.4,96.1,7,15,94.8,4.56,117,33.5,115.5,11.5,9.13,21.9,29.25,69,205 lbs,Undrafted,30.3,18,5.6,2014,0.38,0.06
Ray Rice,RB,4.2,106,123.3,6.65,23,111.1,4.42,119,31.5,113.1,10.85,-,31.5,-,68,212 lbs,2.24,32.2,18.6,5.3,2005,0.45,0.09
Raymond Maples,RB,-,-,-,-,-,90.9,4.68,-,-,-,-,-,-,-,72,218 lbs,Undrafted,29.6,-,6.2,2011,0.13,0.12
Reggie Bonnafon,RB,4.25,98.8,117.1,6.97,20,96.4,4.58,127,38,128.1,11.22,9.75,22.6,32.75,73,212 lbs,Undrafted,28,-,4.9,-,0.11,0.07
Reggie Bush,RB,-,-,-,-,24,106.4,4.42,128,40.5,132.9,-,9.38,33.4,32.25,71,203 lbs,1.02,28.3,20.5,8.7,2005,0.26,0.1
Rex Burkhead,RB,4.09,103,120.5,6.85,21,85.5,4.73,125,39,128.8,10.94,9.75,28.1,30.88,70,214 lbs,6.22,30.7,20.2,5.3,2010,0.24,0.09
Ricky Ortiz,RB,4.46,99.1,108,7.19,26,77.6,4.95,118,33.5,116,11.65,10.25,24.3,30.5,72,233 lbs,Undrafted,31.6,-,-,-,-,-
Rob Kelley,RB,4.63,96,86.5,7.19,16,90.3,4.73,110,29.5,105.2,11.82,9.5,25.8,30,71,226 lbs,Undrafted,31.5,19.9,3.6,2012,0.11,0.11
Robert Hughes,RB,4.66,99.2,101.7,7.26,26,78.9,4.94,112,32,110.4,11.92,10.25,29.1,32,71,235 lbs,Undrafted,32.8,-,4.7,-,0.1,0.05
Robert Turbin,RB,4.31,106.4,133.2,7.16,28,108.3,4.5,122,36,122.2,11.47,9.75,28.7,31,70,222 lbs,4.11,31.9,18.8,6.1,2008,0.35,0.09
Roc Thomas,RB,4.45,97,100.3,7.07,16,91.6,4.56,125,35.5,122.9,11.52,9.25,22.9,31.63,70,198 lbs,Undrafted,28.4,21,6,2016,0.31,0.05
Rod Smith,RB,-,-,-,-,-,93.4,4.69,-,-,-,-,-,26.6,-,75,226 lbs,Undrafted,28.2,-,4.8,-,0.04,0.01
Ronald Jones,RB,-,-,-,-,-,97.4,4.53,114,36.5,119.1,-,8.75,21,31,71,205 lbs,2.06,28.6,18.1,5.9,2015,0.33,0.04
Ronnie Brown,RB,4.14,102.7,121.9,7.12,18,119.4,4.43,117,34,116.3,11.26,9.63,36.7,31.63,72,230 lbs,1.02,31.2,20.7,5.9,2002,0.23,-
Ronnie Hillman,RB,-,101.5,-,-,17,102,4.45,124,37,124.9,-,8.5,26.9,30,69,200 lbs,3.04,29.5,19,5.5,2010,0.37,0.09
Ronnie Wingo,RB,4.53,95.9,104.7,7.47,18,110.7,4.52,117,33,114.6,12,9.5,27.5,32.38,75,231 lbs,Undrafted,28.9,-,5.7,-,0.11,0.07
Roosevelt Nix,RB,4.39,101.5,101.2,6.97,22,90.4,4.84,110,28,102.6,11.36,9.75,26.4,30,71,248 lbs,Undrafted,34.6,-,-,-,-,-
Ross Scheuerman,RB,4.11,94.4,105.2,7.08,15,89.6,4.62,121,33,116.6,11.19,8.75,25.4,30,72,204 lbs,Undrafted,27.7,18.5,5.1,2011,0.49,-
Roy Finch,RB,4.25,97.5,111.4,7.07,22,82.6,4.55,114,33.5,114,11.32,8.25,26.9,27.88,66,177 lbs,Undrafted,28.6,-,5.5,-,0.08,0.08
Roy Helu,RB,4.01,102.3,118.2,6.67,11,114.8,4.42,119,36.5,121.6,10.68,10.25,29.7,31.25,71,219 lbs,4.08,30.5,19.7,6.6,2008,0.26,0.08
Royce Freeman,RB,4.16,101.6,114.5,6.9,17,107.8,4.54,118,34,116.8,11.06,9.5,22.5,32,72,229 lbs,3.07,31.1,18.5,6,2014,0.3,0.08
Rushel Shell,RB,4.2,-,110.6,7.09,21,89.9,4.74,-,32.5,-,11.29,9.63,24.9,30,70,227 lbs,Undrafted,32.6,21,4.5,2014,0.15,0.05
Russell Hansbrough,RB,4.56,93.5,87.3,7.43,17,80,4.68,114,30.5,108.9,11.99,9,24.7,28.88,68,192 lbs,Undrafted,29.2,20.8,4.6,2014,0.17,0.06
Ryan Green,RB,4.11,-,-,6.9,-,97,4.46,122,38,125.6,11.01,8.75,24.3,31.5,70,192 lbs,Undrafted,27.5,-,9.7,-,0.05,0.01
Ryan Hewitt,RB,4.35,-,-,7.04,-,90.7,4.87,109,33,110.6,11.39,9.25,27.5,32,76,255 lbs,Undrafted,31,-,2.6,-,0.03,0.09
Ryan Mathews,RB,4.33,101.4,117.2,7,19,112.2,4.45,121,36,121.7,11.33,9.25,30.8,31,72,220 lbs,1.12,29.8,19.9,6.6,2007,0.36,0.06
Ryan Williams,RB,4.18,103.2,118.2,6.96,19,91.7,4.61,123,40,129.5,11.14,9,28.3,30.63,69,207 lbs,2.06,30.6,19.4,5.3,2009,0.28,0.08
Sam Rogers,RB,4.34,99.8,97.6,7.27,19,79.6,4.93,114,32,111.4,11.61,9.75,23.3,30.25,70,235 lbs,6.22,33.7,-,4.2,-,0.1,0.07
Samaje Perine,RB,4.37,104.3,127.5,7.26,30,99.7,4.65,116,33,114.1,11.63,10,22.9,30.38,71,233 lbs,4.07,32.5,19,6,2014,0.28,0.04
Saquon Barkley,RB,4.24,-,149.8,-,29,124.3,4.4,130,41,134.7,-,9.5,21.5,31.38,72,233 lbs,1.02,31.6,18.6,5.7,2015,0.32,0.15
Senorise Perry,RB,4.43,94.3,109.5,6.89,18,97.1,4.43,126,37,125.9,11.32,9.5,26.9,31.5,72,187 lbs,Undrafted,25.4,21,5,2012,0.17,0.05
Shad Thornton,RB,4.21,94.4,92.4,6.85,12,85.3,4.75,116,31,110.7,11.06,9.75,25.1,30,72,217 lbs,Undrafted,29.4,19.2,6.1,2012,0.12,0.09
Shane Vereen,RB,4.28,101.6,135.2,6.95,31,99,4.5,115,34,115.3,11.23,9.25,29.3,30.25,70,203 lbs,2.24,29.1,20.3,5.1,2009,0.4,0.12
Shaun Draughn,RB,4.2,94.7,109.3,7.15,21,81.9,4.73,118,34,116.8,11.35,10,30.7,31,72,205 lbs,Undrafted,27.8,22.8,4.9,2010,0.15,0.08
Shaun Wilson,RB,4.15,98.2,113,6.9,17,89.4,4.51,119,37,122.4,11.05,8.75,22.7,30.5,68,185 lbs,Undrafted,28.1,21.8,5,2017,0.24,0.1
Shock Linwood,RB,4.4,92.4,82,7.42,11,77.7,4.77,114,31,109.7,11.82,9.25,24.8,29.25,69,201 lbs,Undrafted,29.7,20.9,5.2,2014,0.14,0.02
Shonn Greene,RB,4.4,102.2,109,7.1,19,96.7,4.65,121,37,123.4,11.5,8.5,33,31.75,71,226 lbs,3.01,31.5,23,6,2008,0.42,0.05
Silas Redd,RB,-,100,-,-,18,86.9,4.7,122,37,123.9,-,9,26.4,30.25,70,212 lbs,Undrafted,30.4,19.5,5.2,2011,0.27,0.04
Sony Michel,RB,4.21,-,-,-,22,100.7,4.54,-,-,-,-,9.13,23.5,31.25,71,214 lbs,1.31,29.8,20.6,6.7,2015,0.28,0.1
Spencer Ware,RB,4.27,103.2,107.6,7.07,17,96.3,4.67,119,35.5,119.9,11.34,9.63,26.7,30.13,70,229 lbs,6.26,32.9,19.8,4,2011,0.12,0.07
Stepfan Taylor,RB,4.5,96.6,88.9,7.13,17,83.4,4.76,110,30,106,11.63,8.63,27.2,30.13,69,214 lbs,5.07,31.6,19.2,4.8,2010,0.35,0.12
Stephen Houston,RB,4.23,106.8,129.7,7.07,24,103.2,4.57,132,40,134,11.3,9,26.8,30.75,71,225 lbs,Undrafted,31.4,19.9,5.5,2011,0.2,0.1
Stevan Ridley,RB,4.21,102.1,111.6,6.78,18,95.4,4.66,118,36,120.2,10.99,9.25,29.5,31.75,71,225 lbs,3.09,31.4,21.6,4.6,2010,0.33,0.05
Steven Jackson,RB,4.09,103.1,122.6,7.03,16,115.1,4.5,118,37.5,122.8,11.12,-,35.1,-,73,236 lbs,1.24,31.1,19.1,4.8,2002,0.39,-
Steven Miller,RB,4.19,97.9,111.4,6.94,15,78.9,4.57,129,43,137.6,11.13,-,27.4,-,67,172 lbs,Undrafted,26.9,21.5,5.7,2012,0.32,-
Storm Barrs-Woods,RB,4.38,97.2,100.1,7.15,17,82.2,4.76,122,37,123.9,11.53,9.38,25.4,31.25,71,211 lbs,Undrafted,29.4,19.5,4.9,2012,0.18,0.1
Storm Johnson,RB,-,96.4,-,-,16,93.4,4.6,118,35.5,119.4,-,9.5,27.1,32,72,209 lbs,7.07,28.3,22.2,5.4,2013,0.28,0.09
Synjyn Days,RB,4.31,98.6,108.8,6.99,22,94.3,4.71,116,31,110.7,11.3,9.38,26.8,31.38,73,232 lbs,Undrafted,30.6,22.9,5.9,2014,0.15,0.05
T.J. Logan,RB,4.29,100.3,112.3,6.59,17,107.5,4.37,121,33.5,117.5,10.88,9,23.9,32,69,196 lbs,5.36,28.9,22,5.4,2016,0.18,0.07
T.J. Yeldon,RB,4.22,100,120.3,7.19,22,100.1,4.61,117,36,119.7,11.41,9,24.9,31.63,73,226 lbs,2.04,29.8,18.9,5.5,2012,0.21,0.09
Taiwan Jones,RB,4.08,97.7,120.1,6.9,13,106,4.38,132,39.5,133.2,10.98,8.75,30,29.5,72,195 lbs,4.28,26.4,21.1,7.9,2009,0.33,-
Taquan Mizzell,RB,4.25,96.5,101.3,7,15,88,4.6,114,34,114.8,11.25,9,24.8,31,69,197 lbs,Undrafted,29.1,21.9,4.6,2015,0.26,0.24
Tarean Folston,RB,4.24,96.2,102.1,6.93,20,74.4,4.81,115,33.5,114.5,11.17,9.5,23.6,30.38,69,199 lbs,Undrafted,29.4,19.7,4.7,2014,0.12,0.05
Tarik Cohen,RB,-,-,-,-,11,93.8,4.42,118,31.5,112.6,-,10.13,23,29.75,66,179 lbs,4.13,28.9,18.1,7.2,2013,0.41,-
Tauren Poole,RB,4.19,100.5,122.7,7.36,24,98.4,4.54,118,34,116.8,11.55,8,28.8,29.63,70,209 lbs,Undrafted,30,20.9,5.4,2010,0.24,0.07
Tavon Austin,RB,-,-,-,-,14,98.1,4.34,120,32,114.4,-,9.13,27.4,30,68,174 lbs,1.08,26.5,19.5,8.9,2010,0.26,0.26
Teriyon Gipson,RB,4.28,96.2,102.5,7.45,13,90.4,4.51,120,36.5,122.1,11.73,8.75,23.6,29.38,68,187 lbs,Undrafted,28.4,19.6,8.8,2014,0.27,0.12
Terrance Cobb,RB,-,-,-,-,19,104.5,4.53,-,-,-,-,-,27.9,-,70,220 lbs,Undrafted,31.6,20,5.8,2010,0.38,-
Terrance West,RB,4.44,103.4,103.2,7.28,16,105.9,4.54,120,33.5,117,11.72,9.13,27.5,31,69,225 lbs,3.3,33.2,20.6,6.4,2011,0.47,-
Terrell Watson,RB,4.49,103.2,116,7.48,22,111.9,4.56,123,35.5,121.9,11.97,9.13,25,31.25,73,242 lbs,Undrafted,31.9,19,6.7,2012,0.53,-
Terrence Magee,RB,4.37,102.6,112.6,7.52,22,89.6,4.67,115,37,120.4,11.89,9,25.4,30,68,213 lbs,Undrafted,32.4,-,5.1,-,0.11,0.08
Terris Jones-Grigsby,RB,4.46,99.9,103.5,7.04,21,80.6,4.69,117,36,119.7,11.5,8.5,25.7,27.75,67,195 lbs,Undrafted,30.5,-,4.7,-,0.12,0.03
Terron Ward,RB,4.29,98.6,102.9,7.2,20,89,4.61,107,29.5,103.7,11.49,8.88,26.5,28,67,201 lbs,Undrafted,31.5,22.6,5.7,2014,0.25,0.1
Terry Swanson,RB,4.59,100.4,107,7.16,24,96.2,4.56,120,31.5,113.6,11.75,8.63,22,29.63,69,208 lbs,Undrafted,30.7,19.1,5.6,2015,0.25,0.05
Tevin Coleman,RB,-,-,-,-,22,106,4.44,-,-,-,-,8.63,25.3,32,71,206 lbs,3.09,28.7,20.4,7.5,2013,0.43,0.11
Theo Riddick,RB,4.32,94.3,91.8,6.99,14,81.7,4.71,118,32,113.4,11.31,8.75,27.3,30,70,201 lbs,6.31,28.8,21.3,4.8,2012,0.22,0.14
Thomas Rawls,RB,4.37,101.2,102.9,7.1,15,97.7,4.58,116,35.5,118.4,11.47,9.5,25,30.75,69,215 lbs,Undrafted,31.7,21.1,5.3,2014,0.32,0.04
Tim Cook,RB,4.38,105.2,119.5,7.07,24,100,4.69,120,37,122.9,11.45,9.5,24.3,30.63,72,242 lbs,Undrafted,32.8,-,4.6,-,0.05,0.01
Tim Cornett,RB,4.26,97.6,108.3,7.01,15,103.8,4.48,125,34.5,121.2,11.27,9.25,26.3,31,72,209 lbs,Undrafted,28.3,18.4,4.9,2010,0.28,0.08
Tim Flanders,RB,4.31,97.5,101.2,7.07,20,81.3,4.75,113,32,110.9,11.38,9.25,26.9,30.25,69,207 lbs,Undrafted,30.6,18.9,5.9,2010,0.24,-
Tim Hightower,RB,4.46,96.9,103.1,7.29,20,97.4,4.61,115,31.5,111.1,11.75,9,32.2,32,72,220 lbs,5.14,29.8,20.3,5.9,2006,0.4,-
Tion Green,RB,4.58,94.5,88.9,7.38,18,80.5,4.84,108,31.5,107.6,11.96,9,24.7,31,71,221 lbs,Undrafted,30.8,-,4.7,-,0.14,0.08
Toby Gerhart,RB,4.25,104.9,127,6.94,22,112.7,4.5,118,38,123.6,11.19,9.63,31.4,32,72,231 lbs,2.19,31.3,21.4,5.5,2008,0.45,0.07
Todd Gurley,RB,-,-,-,-,17,110.7,4.5,-,-,-,-,10,24,32.5,73,227 lbs,1.1,29.9,18.1,6.7,2012,0.34,0.11
Tommy Bohanon,RB,4.42,104.4,137.1,7.27,36,86.8,4.88,119,35,119,11.69,10.13,27.9,30,73,246 lbs,7.09,32.5,-,0.5,-,0.14,0.08
Tra Carson,RB,4.27,101.7,111.7,7.1,19,93.8,4.69,115,37,120.4,11.37,9.25,25.8,31.5,71,227 lbs,Undrafted,31.7,22.9,4.8,2015,0.23,0.07
Travaris Cadet,RB,4.21,93.9,101.6,6.97,16,86.8,4.69,120,33,116.1,11.18,-,29.5,-,73,210 lbs,Undrafted,27.7,21.6,5.1,2010,0.19,-
Tre Madden,RB,4.38,100.5,115.4,7.09,24,98.7,4.61,120,33.5,117,11.47,9.38,25,29.75,72,223 lbs,Undrafted,30.2,20.1,5.2,2013,0.17,0.05
Tre Mason,RB,4.15,104.1,124,6.7,-,101,4.5,126,38.5,128.5,10.85,9,23.2,30,69,207 lbs,3.11,30.6,19.1,5.7,2012,0.32,0.05
Trent Richardson,RB,-,-,-,-,25,109.2,4.53,-,-,-,-,9.5,27.1,30.25,69,230 lbs,1.03,34,18.2,5.9,2009,0.42,0.11
Trenton Cannon,RB,4.04,97.4,121.4,7.02,17,94.4,4.45,129,38.5,130,11.06,8.38,24,30.25,70,185 lbs,6.3,26.5,21.1,7.2,2015,0.36,-
