year,policy,player,selections
2025,bench0,Jordan Addison,19
2025,bench0,Kaleb Johnson,19
2025,bench0,Austin Ekeler,16
2025,bench0,Dylan Sampson,15
2025,bench0,Bhayshul Tuten,11
2025,bench0,Zach Charbonnet,10
2025,bench0,Quinshon Judkins,8
2025,bench0,Rashid Shaheed,8
2025,bench0,Jaylen Waddle,5
2025,bench0,Rashee Rice,5
2025,bench0,Josh Downs,4
2025,bench0,Javonte Williams,3
2025,bench0,Jerome Ford,3
2025,bench0,Keon Coleman,3
2025,bench0,Rhamondre Stevenson,3
2025,bench0,Tank Bigsby,3
2025,bench0,Travis Etienne,3
2025,bench0,Zay Flowers,3
2025,bench0,Jayden Reed,2
2025,bench0,Joe Mixon,2
2025,bench0,Khalil Shakir,2
2025,bench0,Luther Burden,2
2025,bench0,Tyjae Spears,2
2025,bench0,Braelon Allen,1
2025,bench0,Chris Olave,1
2025,bench0,Jakobi Meyers,1
2025,bench0,Jordan Mason,1
2025,bench0,Nick Chubb,1
2025,bench0,Ray Davis,1
2025,bench0,Rico Dowdle,1
2025,current_bench025,Jacory Croskey Merritt,80
2025,current_bench025,Matthew Golden,61
2025,current_bench025,Cam Skattebo,40
2025,current_bench025,Ricky Pearsall,39
2025,current_bench025,Jaydon Blue,37
2025,current_bench025,Tyrone Tracy,34
2025,current_bench025,Rome Odunze,27
2025,current_bench025,Kaleb Johnson,22
2025,current_bench025,Dylan Sampson,19
2025,current_bench025,Jordan Addison,18
2025,current_bench025,Austin Ekeler,14
2025,current_bench025,Quinshon Judkins,11
2025,current_bench025,Rashid Shaheed,10
2025,current_bench025,Jayden Reed,9
2025,current_bench025,Zay Flowers,9
2025,current_bench025,Jaylen Waddle,8
2025,current_bench025,Rashee Rice,7
2025,current_bench025,Zach Charbonnet,7
2025,current_bench025,Bhayshul Tuten,6
2025,current_bench025,Josh Downs,6
2025,current_bench025,Tank Bigsby,6
2025,current_bench025,Keon Coleman,5
2025,current_bench025,Javonte Williams,4
2025,current_bench025,Chris Olave,3
2025,current_bench025,Joe Mixon,3
2025,current_bench025,Rhamondre Stevenson,3
2025,current_bench025,Travis Etienne,2
2025,current_bench025,Tyjae Spears,2
2025,current_bench025,Darnell Mooney,1
2025,current_bench025,Isiah Pacheco,1
2025,current_bench025,Jakobi Meyers,1
2025,current_bench025,Jayden Higgins,1
2025,current_bench025,Jaylen Warren,1
2025,current_bench025,Jerome Ford,1
2025,current_bench025,Khalil Shakir,1
2025,current_bench025,Ray Davis,1
2025,keeper_0p01,Jaydon Blue,249
2025,keeper_0p01,Cam Skattebo,232
2025,keeper_0p01,Matthew Golden,17
2025,keeper_0p01,Bhayshul Tuten,2
2025,keeper_10p0,Jaydon Blue,249
2025,keeper_10p0,Cam Skattebo,234
2025,keeper_10p0,Matthew Golden,17
2025,keeper_1p0,Jaydon Blue,250
2025,keeper_1p0,Cam Skattebo,236
2025,keeper_1p0,Matthew Golden,14
2025,keeper_engine0,Jacory Croskey Merritt,90
2025,keeper_engine0,Matthew Golden,80
2025,keeper_engine0,Cam Skattebo,39
2025,keeper_engine0,Jaydon Blue,38
2025,keeper_engine0,Ricky Pearsall,37
2025,keeper_engine0,Tyrone Tracy,31
2025,keeper_engine0,Rome Odunze,27
2025,keeper_engine0,Jordan Addison,19
2025,keeper_engine0,Kaleb Johnson,19
2025,keeper_engine0,Dylan Sampson,16
2025,keeper_engine0,Austin Ekeler,15
2025,keeper_engine0,Bhayshul Tuten,11
2025,keeper_engine0,Zach Charbonnet,10
2025,keeper_engine0,Quinshon Judkins,8
2025,keeper_engine0,Rashid Shaheed,8
2025,keeper_engine0,Jaylen Waddle,5
2025,keeper_engine0,Rashee Rice,5
2025,keeper_engine0,Josh Downs,4
2025,keeper_engine0,Tank Bigsby,4
2025,keeper_engine0,Javonte Williams,3
2025,keeper_engine0,Jerome Ford,3
2025,keeper_engine0,Keon Coleman,3
2025,keeper_engine0,Rhamondre Stevenson,3
2025,keeper_engine0,Travis Etienne,3
2025,keeper_engine0,Tyjae Spears,3
2025,keeper_engine0,Zay Flowers,3
2025,keeper_engine0,Jayden Reed,2
2025,keeper_engine0,Joe Mixon,2
2025,keeper_engine0,Khalil Shakir,2
2025,keeper_engine0,Luther Burden,2
2025,keeper_engine0,Chris Olave,1
2025,keeper_engine0,Jakobi Meyers,1
2025,keeper_engine0,Jordan Mason,1
2025,keeper_engine0,Nick Chubb,1
2025,keeper_engine0,Ray Davis,1
2025,keeper_tiebreak,Jaydon Blue,249
2025,keeper_tiebreak,Cam Skattebo,232
2025,keeper_tiebreak,Matthew Golden,17
2025,keeper_tiebreak,Bhayshul Tuten,2
