variant,slice_type,slice_value,n_rows,base_rmse,variant_rmse,delta_variant_minus_base
feature_adp_room_strength_share,season,2018,405,3.3567385278368245,3.3779629662899406,0.021224438453116168
feature_adp_room_strength_share,season,2019,387,3.231893696301381,3.2323087140619347,0.0004150177605537486
feature_adp_room_strength_share,season,2020,420,3.21654205391773,3.2185039193970226,0.001961865479292779
feature_adp_room_strength_share,season,2021,417,3.119162868251882,3.113017796669511,-0.006145071582371209
feature_adp_room_strength_share,season,2022,426,2.912494131926024,2.8974772359861656,-0.015016895939858443
feature_adp_room_strength_share,season,2023,415,3.2511888372285926,3.24816518041505,-0.0030236568135424413
feature_adp_room_strength_share,season,2024,408,3.1651174604479353,3.1788144000734313,0.013696939625496007
feature_adp_room_strength_share,season,2025,416,2.956132799760705,2.9502412821301305,-0.005891517630574494
feature_adp_room_strength_share,history_depth,other_no_history,27,2.683229893444979,2.6992903672903363,0.016060473845357137
feature_adp_room_strength_share,history_depth,rookie,532,3.470501815737368,3.4808545314721737,0.010352715734805784
feature_adp_room_strength_share,history_depth,second_year,568,3.258843318101201,3.2529116785581875,-0.005931639543013567
feature_adp_room_strength_share,history_depth,veteran_with_history,2574,3.052062651537221,3.0536020242225055,0.0015393726852845901
feature_adp_room_strength_share,provider_depth,one,119,2.8932176885280905,2.885141574516312,-0.008076114011778657
feature_adp_room_strength_share,provider_depth,three_plus,3047,3.2706088405011813,3.272462563686211,0.001853723185029743
feature_adp_room_strength_share,provider_depth,two,535,2.3765663836214497,2.3810723940829344,0.0045060104614846885
feature_adp_room_strength_share,provider_era,2017_2019,1199,3.227010522814891,3.2370599663530317,0.010049443538140856
feature_adp_room_strength_share,provider_era,2020_2022,1263,3.0844595250220497,3.078313885466753,-0.006145639555296789
feature_adp_room_strength_share,provider_era,2023_plus,1239,3.126249113214146,3.1279036527628445,0.0016545395486984305
feature_adp_teammates_better_count,position,QB,380,3.5542832746901687,3.557109745616599,0.0028264709264305132
feature_adp_teammates_better_count,position,RB,1016,3.5341047348252035,3.5268986986795308,-0.007206036145672723
feature_adp_teammates_better_count,position,TE,802,2.316663889789086,2.3136833024059618,-0.0029805873831243446
feature_adp_teammates_better_count,position,WR,1503,3.1397589461348736,3.139788139205826,2.9193070952171496e-05
feature_adp_teammates_better_count,season,2017,407,3.0876701968213047,3.0863523267866175,-0.0013178700346871963
feature_adp_teammates_better_count,season,2018,405,3.3567385278368245,3.365057305392605,0.008318777555780699
feature_adp_teammates_better_count,season,2019,387,3.231893696301381,3.2332278326978314,0.0013341363964505248
feature_adp_teammates_better_count,season,2020,420,3.21654205391773,3.2098545152735967,-0.006687538644133184
feature_adp_teammates_better_count,season,2021,417,3.119162868251882,3.10833835745108,-0.010824510800802045
feature_adp_teammates_better_count,season,2022,426,2.912494131926024,2.9017711246651707,-0.01072300726085329
feature_adp_teammates_better_count,season,2023,415,3.2511888372285926,3.2470824676727554,-0.004106369555837208
feature_adp_teammates_better_count,season,2024,408,3.1651174604479353,3.175544648191147,0.010427187743211608
feature_adp_teammates_better_count,season,2025,416,2.956132799760705,2.9477023405262286,-0.008430459234476384
feature_adp_teammates_better_count,history_depth,other_no_history,27,2.683229893444979,2.6918010497156413,0.008571156270662073
feature_adp_teammates_better_count,history_depth,rookie,532,3.470501815737368,3.468965224008067,-0.0015365917293008735
feature_adp_teammates_better_count,history_depth,second_year,568,3.258843318101201,3.2523773292735063,-0.00646598882769478
feature_adp_teammates_better_count,history_depth,veteran_with_history,2574,3.052062651537221,3.05037504535343,-0.001687606183790713
feature_adp_teammates_better_count,provider_depth,one,119,2.8932176885280905,2.8885158858674016,-0.00470180266068887
feature_adp_teammates_better_count,provider_depth,three_plus,3047,3.2706088405011813,3.267408776870681,-0.003200063630500072
feature_adp_teammates_better_count,provider_depth,two,535,2.3765663836214497,2.381333122794629,0.0047667391731791575
feature_adp_teammates_better_count,provider_era,2017_2019,1199,3.227010522814891,3.229939121554671,0.0029285987397802415
feature_adp_teammates_better_count,provider_era,2020_2022,1263,3.0844595250220497,3.0751119732715417,-0.009347551750507943
feature_adp_teammates_better_count,provider_era,2023_plus,1239,3.126249113214146,3.12562891238443,-0.0006202008297160333
feature_adp_worst_teammate_gap,position,QB,380,3.5542832746901687,3.568404550861222,0.01412127617105341
feature_adp_worst_teammate_gap,position,RB,1016,3.5341047348252035,3.5228781049514324,-0.011226629873771099
feature_adp_worst_teammate_gap,position,TE,802,2.316663889789086,2.316201603309952,-0.00046228647913393317
feature_adp_worst_teammate_gap,position,WR,1503,3.1397589461348736,3.14023067569145,0.00047172955657659443
feature_adp_worst_teammate_gap,season,2017,407,3.0876701968213047,3.103686042419452,0.016015845598147394
feature_adp_worst_teammate_gap,season,2018,405,3.3567385278368245,3.376623393213715,0.01988486537689038
feature_adp_worst_teammate_gap,season,2019,387,3.231893696301381,3.2227942270178573,-0.009099469283523565
feature_adp_worst_teammate_gap,season,2020,420,3.21654205391773,3.215169941347635,-0.0013721125700949521
feature_adp_worst_teammate_gap,season,2021,417,3.119162868251882,3.119279064005231,0.00011619575334886889
feature_adp_worst_teammate_gap,season,2022,426,2.912494131926024,2.8969006362468313,-0.01559349567919277
feature_adp_worst_teammate_gap,season,2023,415,3.2511888372285926,3.2356801647029094,-0.01550867252568322
feature_adp_worst_teammate_gap,season,2024,408,3.1651174604479353,3.1632811624383486,-0.0018362980095867343
feature_adp_worst_teammate_gap,season,2025,416,2.956132799760705,2.9468050004376023,-0.009327799323102681
feature_adp_worst_teammate_gap,history_depth,other_no_history,27,2.683229893444979,2.702466980205013,0.019237086760033772
feature_adp_worst_teammate_gap,history_depth,rookie,532,3.470501815737368,3.4811630475907798,0.010661231853411834
feature_adp_worst_teammate_gap,history_depth,second_year,568,3.258843318101201,3.2548504924467174,-0.003992825654483667
feature_adp_worst_teammate_gap,history_depth,veteran_with_history,2574,3.052062651537221,3.047795994578891,-0.00426665695832984
feature_adp_worst_teammate_gap,provider_depth,one,119,2.8932176885280905,2.885565482525993,-0.0076522060020973726
feature_adp_worst_teammate_gap,provider_depth,three_plus,3047,3.2706088405011813,3.26765848921513,-0.002950351286051145
feature_adp_worst_teammate_gap,provider_depth,two,535,2.3765663836214497,2.386182107898776,0.009615724277326265
feature_adp_worst_teammate_gap,provider_era,2017_2019,1199,3.227010522814891,3.236282638029999,0.00927211521510829
feature_adp_worst_teammate_gap,provider_era,2020_2022,1263,3.0844595250220497,3.0790648449683062,-0.005394680053743439
feature_adp_worst_teammate_gap,provider_era,2023_plus,1239,3.126249113214146,3.117278146468004,-0.00897096674614195
feature_expert_ppg_exp_diff,position,QB,380,3.5542832746901687,3.5537669136099685,-0.000516361080200145
feature_expert_ppg_exp_diff,position,RB,1016,3.5341047348252035,3.537270019876934,0.0031652850517303044
feature_expert_ppg_exp_diff,position,TE,802,2.316663889789086,2.3152772559623016,-0.0013866338267845002
feature_expert_ppg_exp_diff,position,WR,1503,3.1397589461348736,3.137513080993035,-0.0022458651418384434
feature_expert_ppg_exp_diff,season,2017,407,3.0876701968213047,3.1033536166050686,0.015683419783763863
feature_expert_ppg_exp_diff,season,2018,405,3.3567385278368245,3.3373566041309406,-0.019381923705883874
feature_expert_ppg_exp_diff,season,2019,387,3.231893696301381,3.2224842171146344,-0.009409479186746506
