"Full Name",Position,"Catch Radius","3-Cone Drill","Bench Press","Height-adjusted Speed Score",SPARQ-x,"40-Yard Dash","Broad Jump","Burst Score","Agility Score","Vertical Jump"
"Lavelle Hawkins",WR,9.81,6.95,14,86.5,100.2,4.57,117,115.5,11.19,33.5
"Lee Doss",WR,10.00,6.95,11,80.2,93.4,4.59,122,122.2,11.26,36.0
"Lemar Durant",WR,9.80,7.35,27,101.0,118.6,4.64,119,120.7,11.95,36.0
"Leonard Hankerson",WR,10.13,6.94,14,108.5,112.5,4.43,117,119.7,11.15,36.0
"Leonte Carroo",WR,-,-,14,101.5,-,4.50,120,120.4,-,35.5
"Lestar Jean",WR,10.00,7.45,14,94.5,99.2,4.65,113,120.3,11.88,37.5
"Levern Jacobs",WR,10.19,6.85,13,86.3,112.3,4.50,135,133.8,10.92,39.0
"Levi Norwood",WR,9.99,6.78,-,84.1,-,4.64,123,120.2,10.97,34.5
"Lil'Jordan Humphrey",WR,9.98,7.09,13,85.9,93.0,4.75,119,116.5,11.38,33.5
"Linell Bonner",WR,9.78,6.97,16,73.7,92.9,4.81,115,114.5,11.30,33.5
"Louis Murphy",WR,10.25,6.87,12,105.3,113.3,4.43,117,117.2,10.89,34.5
"Lucky Whitehead",WR,10.03,6.89,20,80.4,115.6,4.44,121,121.7,11.07,36.0
"Mack Hollins",WR,-,-,-,109.3,-,4.53,-,-,-,-
"Malachi Dupre",WR,10.15,7.19,11,95.2,104.7,4.52,135,134.7,11.45,39.5
"Malcolm Lewis",WR,9.52,7.23,14,80.5,85.2,4.63,115,111.1,11.82,31.5
"Malcolm Mitchell",WR,10.05,6.94,15,99.6,107.2,4.45,129,125.7,11.28,36.0
"Malcolm Williams",WR,9.76,7.15,14,77.0,95.4,4.61,116,120.9,11.58,37.0
"Malcom Floyd",WR,10.42,6.66,-,110.7,-,4.55,-,-,10.84,38.0
"Malcome Kennedy",WR,9.75,7.10,10,85.0,89.5,4.67,119,113.1,11.36,31.5
"Malik Henry",WR,9.91,7.25,22,90.0,114.7,4.46,129,125.7,11.64,36.0
"Malik Taylor",WR,10.18,6.81,11,102.0,111.1,4.51,126,124.2,10.85,36.0
"Malik Turner",WR,-,-,17,-,-,-,-,-,-,-
"MarQuez North",WR,10.19,6.90,17,112.2,118.4,4.48,123,121.0,11.03,35.0
"Marcell Ateman",WR,10.11,7.07,13,100.0,100.3,4.62,121,118.3,11.32,34.0
"Marcus Beaurem",WR,9.93,6.85,12,91.8,100.0,4.45,113,116.0,11.18,35.0
"Marcus Green",WR,9.86,6.88,14,89.5,103.2,4.46,124,124.9,11.29,37.0
"Marcus Harris",WR,10.05,6.68,9,87.3,95.4,4.55,124,118.1,10.84,33.0
"Marcus Johnson",WR,10.00,7.26,22,105.0,119.9,4.44,135,130.4,11.65,37.0
"Marcus Kemp",WR,10.04,7.10,10,92.6,93.3,4.59,126,123.4,11.46,35.5
"Marcus Tucker",WR,9.75,7.14,13,82.2,95.6,4.60,122,119.7,11.47,34.5
"Mario Alford",WR,9.98,6.64,13,87.1,109.3,4.43,121,118.3,10.71,34.0
"Mario Manningham",WR,9.76,7.34,16,82.2,98.3,4.59,117,112.9,11.61,32.0
"Marken Michel",WR,9.76,7.17,25,82.4,117.5,4.62,125,122.9,11.46,35.5
"Markus Wheaton",WR,10.21,6.80,20,93.8,126.1,4.45,120,122.9,10.82,37.0
"Marlon Brown",WR,-,-,10,94.9,-,4.65,-,-,-,-
"Marqise Lee",WR,10.19,6.96,11,90.7,111.3,4.52,127,128.1,10.97,38.0
"Marques Colston",WR,10.23,6.96,16,115.8,108.8,4.50,123,124.4,11.40,37.0
"Marquess Wilson",WR,10.13,6.65,7,92.6,90.4,4.51,122,119.7,10.98,34.5
"Marquez Valdes-Scantling",WR,10.10,6.85,15,117.6,111.2,4.37,124,113.9,11.02,30.5
"Marquis Bundy",WR,9.93,7.12,15,103.9,99.1,4.54,118,113.4,11.51,32.0
"Marquise Goodwin",WR,10.28,6.66,13,104.1,124.2,4.27,132,134.0,10.75,40.0
"Martavis Bryant",WR,10.33,7.18,16,115.1,121.9,4.42,124,128.3,11.33,39.0
"Marvin Hall",WR,10.06,6.86,15,92.6,114.3,4.45,125,130.5,11.10,40.0
"Marvin Jones",WR,10.15,6.81,22,102.5,122.8,4.46,112,112.1,10.92,33.0
"Marvin McNutt",WR,10.19,7.15,-,104.5,-,4.54,122,123.9,11.22,37.0
"Matt Eaton",WR,10.04,6.91,10,88.4,90.3,4.71,122,118.8,11.21,34.0
"Matt Hazel",WR,10.06,7.08,15,96.6,110.1,4.50,118,121.1,11.28,36.5
"Matt Miller",WR,9.83,7.12,9,82.7,83.6,4.83,114,114.8,11.55,34.0
"Matthew Slater",WR,-,-,-,96.7,-,4.45,-,-,-,-
"Maurice Harris",WR,-,6.95,-,87.5,-,4.61,-,-,11.30,-
"Max McCaffrey",WR,10.12,7.09,9,93.1,102.1,4.51,122,123.1,11.24,36.5
"Mecole Hardman",WR,10.04,6.75,17,102.0,117.8,4.33,119,121.6,11.00,36.5
"Mekale McKay",WR,9.90,7.08,12,100.6,90.7,4.55,123,121.0,11.71,35.0
"Micah Hatfield",WR,10.27,6.50,11,89.6,109.9,4.49,121,125.1,10.54,38.0
"Micah Wright",WR,9.89,6.84,5,91.5,86.3,4.54,124,119.8,11.24,34.0
"Michael Campanaro",WR,10.16,6.77,20,93.1,128.9,4.46,122,127.3,10.78,39.0
"Michael Clark",WR,9.99,7.54,17,105.4,104.8,4.58,126,119.1,11.85,33.0
"Michael Colubiale",WR,9.85,7.18,17,100.5,103.3,4.60,119,116.5,11.56,33.5
"Michael Crabtree",WR,10.15,6.87,-,96.4,-,4.59,122,118.7,10.93,34.0
"Michael Floyd",WR,10.12,7.11,16,113.2,110.9,4.47,122,123.1,11.48,36.5
"Michael Gallup",WR,10.01,6.95,10,99.1,97.7,4.51,122,122.2,11.32,36.0
"Michael Preston",WR,10.30,6.83,13,93.0,103.0,4.65,120,119.5,10.96,35.0
"Michael Rector",WR,10.17,6.77,13,99.7,110.4,4.42,129,126.6,10.96,36.5
"Michael Thomas",WR,10.17,6.80,18,99.9,114.5,4.57,126,122.5,10.93,35.0
"Michael Walker",WR,9.90,6.96,21,90.9,109.2,4.53,130,127.1,11.45,36.5
"Mike A. Thomas",WR,10.12,6.65,16,98.4,118.5,4.40,126,131.9,10.93,40.5
"Mike A. Williams",WR,10.03,6.90,8,100.7,98.1,4.53,118,121.1,11.21,36.5
"Mike Brown",WR,9.66,6.96,17,77.9,96.3,4.74,116,109.9,11.21,30.5
"Mike Davis",WR,9.79,7.11,-,90.7,90.1,4.55,117,113.8,11.50,32.5
"Mike Evans",WR,10.33,7.08,12,115.7,108.0,4.53,123,124.2,11.34,37.0
"Mike Thomas",WR,10.06,7.06,16,90.1,105.7,4.59,126,124.2,11.32,36.0
"Mike Wallace",WR,10.23,6.90,14,111.7,118.7,4.33,129,132.5,11.17,40.0
"Mike Williams",WR,-,-,15,102.3,-,4.59,121,115.8,-,32.5
"Miles Austin",WR,10.26,7.09,21,110.2,131.0,4.47,123,130.4,11.23,40.5
"Miles Boykin",WR,10.65,6.77,12,120.0,125.6,4.42,140,144.0,10.84,43.5
"Milton Williams",WR,10.03,6.91,10,81.4,87.6,4.74,120,123.8,11.36,37.5
"Mitch Mathews",WR,10.23,6.99,12,110.2,105.4,4.54,129,125.7,11.24,36.0
"Mohamed Sanu",WR,10.10,6.88,19,88.7,110.4,4.67,126,124.2,11.10,36.0
"Montay Crockett",WR,10.11,6.82,18,95.1,116.3,4.44,131,130.1,11.07,38.0
"Mose Frazier",WR,-,-,15,84.0,-95.2,4.60,125,125.4,-,37.0
"Myles White",WR,10.16,6.90,11,94.1,108.5,4.42,121,124.3,11.05,37.5
"N'Keal Harry",WR,10.19,7.05,27,109.8,134.5,4.53,122,126.5,11.33,38.5
"Nate Burleson",WR,10.27,6.96,-,94.4,-,4.51,126,135.3,11.12,42.5
"Nate Cole",WR,9.54,7.31,11,63.8,73.4,4.98,109,111.5,11.91,33.5
"Nate Washington",WR,-,-,-,81.7,-,4.60,-,-,-,-
"Nathan Palmer",WR,10.05,6.92,13,103.7,111.2,4.39,125,125.4,11.17,37.0
"Nathan Slaughter",WR,10.16,7.18,16,93.7,124.8,4.39,138,144.7,11.36,44.5
"Nelson Agholor",WR,10.09,6.83,12,102.3,104.8,4.42,125,124.6,11.17,36.5
"Nelson Spruce",WR,9.88,7.09,12,85.2,97.8,4.69,114,116.5,11.29,35.0
"Nicholas Norris",WR,9.86,7.03,8,70.2,96.0,4.54,125,125.4,11.17,37.0
"Nick Easley",WR,10.00,6.80,8,81.6,97.9,4.69,120,121.2,10.88,36.0
"Nick Harwell",WR,10.02,6.65,9,95.7,100.5,4.45,123,120.2,10.87,34.5
"Nick Kurtz",WR,10.08,7.05,7,93.1,84.8,4.73,117,116.3,11.44,34.0
"Nick Toon",WR,-,-,18,110.1,-,4.49,130,128.8,-,37.5
"Nick Williams",WR,10.09,6.79,-,74.6,-,4.64,114,119.9,10.90,37.0
"Nigel King",WR,10.25,6.58,15,94.7,104.9,4.62,128,131.2,10.96,39.5
"Noah Brown",WR,-,7.07,19,97.1,-,4.64,-,-,11.40,-
"Noel Grigsby",WR,9.87,7.00,13,67.4,91.2,4.74,121,124.3,11.34,37.5
"Noel Thomas",WR,-,-,9,95.2,-,4.54,118,114.3,-,32.5
"Nsimba Webster",WR,9.75,6.83,11,74.3,92.1,4.60,121,114.1,11.00,31.5
"Nyqwan Murray",WR,9.70,7.20,8,79.7,85.3,4.63,113,114.3,11.60,34.0
"Odell Beckham",WR,10.33,6.69,7,100.0,114.8,4.43,122,126.5,10.63,38.5
"Olabisi Johnson",WR,10.11,6.88,14,97.3,112.3,4.51,124,126.6,11.04,38.0
"Olamide Zaccheaus",WR,9.84,7.00,12,82.4,101.8,4.54,125,122.9,11.19,35.5
"Papi White",WR,9.85,7.06,15,86.9,105.7,4.48,122,129.0,11.52,40.0
"Parris Campbell",WR,-,-,11,117.2,124.9,4.31,135,135.5,-,40.0
"Patrick Edwards",WR,9.69,7.12,5,72.6,85.6,4.62,118,116.0,11.32,33.5
"Paul McRoberts",WR,9.93,7.28,8,81.1,84.2,4.74,125,122.9,11.70,35.5
"Paul Richardson",WR,10.17,6.98,10,92.1,104.9,4.40,124,126.6,11.21,38.0
"Paul Turner",WR,9.91,7.25,18,82.7,109.2,4.60,130,131.3,11.56,39.0
"Penny Hart",WR,9.34,7.64,18,69.9,86.2,4.68,111,112.5,12.39,33.5
"Percy Harvin",WR,-,-,19,94.6,-,4.41,121,124.3,-,37.5
"Pharoh Cooper",WR,9.69,7.15,19,80.9,100.3,4.70,118,110.9,11.41,30.5
"Phil Bates",WR,10.21,6.87,19,104.5,117.2,4.53,128,132.9,11.26,40.5
"Phil Mayhue",WR,9.92,7.11,11,89.9,91.2,4.67,117,117.2,11.50,34.5
"Phillip Dorsett",WR,10.12,6.70,13,100.9,117.0,4.33,122,123.9,10.81,37.0
"Pierre Garcon",WR,10.07,6.90,20,102.8,121.2,4.48,125,124.6,11.09,36.5
"Pig Howard",WR,9.64,6.92,11,72.2,88.7,4.65,117,113.8,11.21,32.5
"Preston Parker",WR,9.93,6.92,16,84.4,105.6,4.65,117,118.0,11.08,35.0
"Preston Williams",WR,9.92,7.11,-,93.2,-,4.66,116,111.6,11.46,31.5
"Quadree Henderson",WR,9.69,6.89,12,86.3,97.2,4.50,120,115.3,11.17,32.5
"Quan Bray",WR,9.83,6.87,12,86.8,97.5,4.55,116,115.8,11.15,34.0
"Quenton Bundrage",WR,9.98,7.07,17,92.8,99.0,4.59,123,125.3,11.71,37.5
"Quincy Adeboyejo",WR,10.21,6.73,8,106.1,103.9,4.42,123,120.2,10.87,34.5
"Quincy Enunwa",WR,-,-,19,116.3,-,4.45,-,-,-,-
"Quinshad Davis",WR,9.88,7.07,17,88.7,96.2,4.74,113,110.1,11.42,31.5
"Quinton Patton",WR,10.06,6.91,8,95.6,103.2,4.53,118,115.1,10.92,33.0
"Quron Pratt",WR,10.02,6.85,14,89.7,104.0,4.55,128,122.7,11.04,34.5
"R.J. Harris",WR,10.06,7.23,18,90.4,113.2,4.57,127,127.3,11.43,37.5
"R.J. Shelton",WR,9.71,6.91,17,79.3,99.6,4.69,109,108.9,11.14,32.0
"Ramses Barden",WR,10.18,6.97,17,99.8,104.3,4.68,118,116.0,11.23,33.5
"Randall Cobb",WR,9.79,7.08,16,93.1,104.5,4.46,115,114.5,11.42,33.5
"Rannell Hall",WR,10.19,6.86,16,87.2,114.6,4.60,132,135.7,11.01,41.0
"Raphael Leonard",WR,10.18,7.02,12,97.4,103.4,4.50,132,134.0,11.42,40.0
"Rashad Greene",WR,10.07,6.88,-,84.1,-,4.53,122,123.1,11.00,36.5
"Rashad Ross",WR,9.88,7.19,12,91.3,99.1,4.41,115,117.0,11.56,35.0
"Rashard Davis",WR,9.87,6.90,9,77.2,101.6,4.52,121,120.9,10.95,35.5
"Rashard Higgins",WR,9.73,7.13,13,84.6,85.9,4.64,116,112.4,11.66,32.0
"Rashawn Scott",WR,9.88,6.88,17,89.7,100.5,4.59,116,113.3,11.21,32.5
"Rasheed Bailey",WR,9.91,6.90,14,91.2,95.5,4.62,118,116.8,11.30,34.0
"Ray-Ray McCloud",WR,9.83,6.89,13,86.5,98.4,4.53,113,115.2,11.21,34.5
"Reece Horn",WR,9.95,6.76,18,88.6,103.8,4.72,118,116.8,11.03,34.0
"Reggie Davis",WR,9.98,6.94,4,82.4,91.9,4.41,115,111.9,11.06,32.0
"Reggie Diggs",WR,10.15,7.08,12,90.9,100.1,4.69,132,131.5,11.37,38.5
"Reggie Wayne",WR,-,-,-,99.6,-,4.45,121,121.9,-,36.0
"Reggie White",WR,10.24,6.81,10,96.7,106.9,4.57,120,122.9,10.88,37.0
"Ricardo Lockette",WR,10.18,7.15,22,117.3,128.9,4.37,127,123.9,11.34,35.5
"Ricardo Louis",WR,10.17,7.07,18,113.2,118.3,4.43,132,130.6,11.39,38.0
"Richard Mullaney",WR,9.65,7.16,12,77.3,81.6,4.81,111,106.5,11.55,30.0
"Richie James",WR,9.95,6.87,6,86.8,97.7,4.48,122,121.4,11.03,35.5
"Ricky Collins",WR,9.85,7.43,-,89.7,-,4.58,119,120.7,11.82,36.0
"Ricky Jeune",WR,10.03,6.96,15,95.6,101.3,4.61,119,120.7,11.35,36.0
"Rico Gafford",WR,-,-,10,106.1,104.2,4.27,122,123.1,-,36.5
"Rico Richardson",WR,10.17,6.77,12,96.1,108.5,4.43,121,120.9,10.89,35.5
"Riley Cooper",WR,10.14,6.73,-,108.3,-,4.53,114,113.1,10.88,33.0
"Riley McCarron",WR,10.16,6.59,-,89.8,-,4.46,124,130.9,10.75,40.5
"Riley Ridley",WR,9.79,7.22,13,90.5,94.2,4.58,124,113.9,11.50,30.5
"Rishard Matthews",WR,10.05,6.88,20,90.9,114.9,4.62,123,122.7,11.07,36.0
"River Cracraft",WR,-,-,15,-,-,-,-,-,-,-
"Robby Anderson",WR,10.09,7.07,8,103.2,101.3,4.41,128,126.1,11.34,36.5
"Robert Davis",WR,10.41,6.82,10,115.8,111.6,4.44,136,137.7,11.10,41.0
"Robert Foster",WR,10.00,6.90,-,105.1,-,4.41,116,110.7,11.10,31.0
"Robert Herron",WR,9.89,6.84,18,90.6,111.3,4.48,125,122.9,11.11,35.5
"Robert Meachem",WR,10.19,6.97,-,117.4,-,4.39,121,124.3,11.28,37.5
"Robert Wheelwright",WR,10.23,6.68,15,88.9,109.0,4.65,128,128.6,10.82,38.0
"Robert Woods",WR,9.77,7.15,14,95.8,96.8,4.51,117,115.5,11.62,33.5
"Rod Streater",WR,10.25,7.06,18,99.3,120.3,4.51,133,130.3,11.13,37.5
"Roddy White",WR,10.30,7.12,18,101.4,128.4,4.50,126,132.7,11.13,41.0
"Rodney Adams",WR,9.85,6.98,8,97.3,91.2,4.44,125,112.7,11.26,29.5
"Rodney Smith",WR,10.28,7.03,-,110.2,-,4.51,120,118.7,11.10,34.5
"Roger Lewis",WR,9.69,7.58,8,90.9,87.0,4.57,116,115.0,12.03,33.5
"Romell Guerrier",WR,9.90,6.94,15,82.0,99.5,4.51,122,126.5,11.45,38.5
"Ron'Quavion Tarver",WR,9.85,7.31,16,92.8,91.4,4.74,122,118.0,11.91,33.5
"Ross Apo",WR,10.19,6.99,12,95.5,100.7,4.61,134,129.1,11.26,36.5
"Rudy Rudolph",WR,9.71,7.06,-,78.6,-,4.56,104,103.0,11.52,30.0
"Rueben Randle",WR,9.93,6.99,15,99.7,97.8,4.55,121,113.2,11.35,31.0
"Russell Gage",WR,10.15,7.03,15,85.6,107.5,4.55,122,127.3,11.28,39.0
"Russell Shepard",WR,10.04,7.09,8,94.3,96.8,4.51,122,126.5,11.46,38.5
"Ryan Broyles",WR,-,-,21,82.7,-,4.57,117,113.8,-,32.5
"Ryan Davis",WR,9.80,7.09,12,75.6,94.6,4.68,124,121.5,11.32,35.0
"Ryan Grant",WR,10.09,6.68,8,82.4,96.1,4.64,119,119.9,10.79,35.5
"Ryan Spadola",WR,10.08,6.72,15,101.3,113.0,4.48,119,116.5,10.79,33.5
"Ryan Switzer",WR,9.76,6.77,11,81.5,103.4,4.51,116,112.4,10.77,32.0
"Ryan Whalen",WR,10.18,6.67,18,88.7,116.6,4.62,123,127.0,10.76,38.5
"Saalim Hakim",WR,-,-,-,104.0,-,4.33,-,-,-,-
"Saeed Blacknall",WR,10.13,6.77,24,110.5,126.0,4.42,127,118.8,10.96,32.5
"Sam Mentkowski",WR,10.22,6.76,3,98.6,103.0,4.46,120,120.4,10.76,35.5
"Sammie Coates",WR,10.40,6.98,23,110.1,139.0,4.43,131,135.2,11.04,41.0
"Sammy Watkins",WR,9.99,6.95,16,109.6,109.3,4.43,126,120.8,11.29,34.0
"Santana Moss",WR,-,-,-,111.2,-,4.31,127,134.9,-,42.0
"Santonio Holmes",WR,10.14,6.82,-,99.6,-,4.40,126,127.6,11.08,38.0
"Scott Miller",WR,9.88,6.97,15,84.6,112.7,4.44,123,119.3,10.99,34.0
"Sean Modster",WR,9.88,6.77,15,79.1,101.6,4.60,110,113.7,10.96,34.5
"Seantavius Jones",WR,10.29,6.96,14,97.1,105.2,4.58,125,128.0,11.28,38.5
"Seth Roberts",WR,10.05,6.77,9,100.4,93.9,4.46,117,116.3,11.18,34.0
"Seyi Ajirotutu",WR,10.02,7.22,14,96.8,99.8,4.60,115,118.7,11.61,36.0
"Shane Wynn",WR,9.82,6.89,13,80.0,106.3,4.34,120,121.2,11.14,36.0
"Shaq Evans",WR,10.00,7.07,13,103.0,106.3,4.51,122,119.7,11.28,34.5
"Shaq Hill",WR,-,-,21,86.6,-,4.53,124,122.4,-,35.5
"Shawn Bane",WR,9.96,6.97,9,79.3,100.2,4.48,129,130.0,11.19,38.5
"Shawn Poindexter",WR,10.11,7.03,11,89.3,92.3,4.73,125,122.9,11.36,35.5
"Shay Fields",WR,9.92,6.97,13,86.7,106.0,4.51,123,121.9,11.11,35.5
"Shelton Gibson",WR,9.91,6.83,8,90.6,94.4,4.50,118,113.4,11.03,32.0
"Shun Brown",WR,-,7.06,-,66.6,-,4.77,114,-,11.36,-
"Sidney Rice",WR,10.22,7.09,14,100.3,107.8,4.51,119,126.7,11.43,39.5
"Simmie Cobbs",WR,9.91,6.70,11,97.5,90.5,4.64,113,107.5,11.02,30.0
"Skye Dawson",WR,9.81,6.90,-,77.8,-,4.44,118,119.4,11.16,35.5
"Solomon Patton",WR,9.77,7.02,16,86.6,110.3,4.43,120,116.1,11.15,33.0
"Speedy Noil",WR,-,-,18,94.4,-,4.50,133,140.5,-,43.5
"Spencer Schnell",WR,9.77,6.71,13,69.3,92.5,4.69,121,122.6,11.05,36.5
"Stacy Coley",WR,9.89,7.15,10,98.1,95.6,4.45,122,118.8,11.55,34.0
"Stanley Morgan",WR,10.22,6.78,14,94.6,112.8,4.53,125,128.0,10.91,38.5
"Stedman Bailey",WR,10.03,6.81,11,88.7,104.3,4.52,117,117.2,10.90,34.5
"Stefon Diggs",WR,9.94,7.03,11,97.2,100.0,4.46,115,117.0,11.35,35.0
"Stephen Hill",WR,10.34,6.88,14,123.9,112.7,4.36,133,133.7,11.36,39.5
"Stephen Louis",WR,9.89,7.05,10,79.5,87.4,4.80,129,124.9,11.42,35.5
"Sterling Shepard",WR,10.04,7.00,20,92.4,118.9,4.48,123,131.2,11.35,41.0
"Steve Ishmael",WR,9.94,6.84,16,92.7,97.7,4.64,120,115.3,11.22,32.5
"Steve Johnson",WR,9.95,7.07,-,93.1,-,4.58,121,115.8,11.33,32.5
"Steve Smith",WR,10.07,6.68,-,92.5,-,4.41,120,124.6,10.87,38.0
"Steven Dunbar",WR,9.93,7.03,9,76.4,82.8,4.83,120,121.2,11.48,36.0
"Steven Mitchell",WR,9.75,6.75,13,83.8,92.2,4.56,121,115.8,11.15,32.5
"Steven Sims",WR,9.51,7.20,11,77.0,84.7,4.61,115,111.1,11.63,31.5
"T.J. Graham",WR,10.05,6.77,8,92.6,99.3,4.41,120,117.0,10.95,33.5
"T.J. Jones",WR,9.91,6.82,13,92.1,100.0,4.48,119,115.6,11.09,33.0
"T.J. Moe",WR,10.07,6.53,26,77.1,128.8,4.74,120,121.2,10.49,36.0
"T.J. Rahming",WR,9.45,6.88,-,62.8,-,4.69,114,111.4,11.51,32.0
"T.Y. Hilton",WR,9.89,7.03,7,93.1,96.2,4.39,119,119.9,11.39,35.5
"Tajae Sharpe",WR,-,-,11,91.8,-,4.55,114,114.0,-,33.5
"Tandon Doss",WR,9.95,6.91,14,88.2,99.0,4.67,116,115.0,11.13,33.5
"Tanner Gentry",WR,9.89,7.29,19,90.5,107.2,4.63,123,126.1,11.72,38.0
"Tanner McEvoy",WR,10.06,7.00,17,104.1,105.2,4.62,117,115.5,11.29,33.5
"Tavares Martin",WR,-,-,-,69.7,-,4.80,-,-,-,31.5
"Tavarres King",WR,10.08,6.91,11,93.4,100.1,4.47,123,123.6,11.24,36.5
"Taylor Gabriel",WR,10.02,6.84,17,79.3,114.4,4.45,125,130.5,11.05,40.0
"Taylor Price",WR,10.08,6.82,16,110.6,114.0,4.41,114,119.9,11.16,37.0
"Taywan Taylor",WR,10.05,6.57,13,96.3,104.1,4.50,132,123.0,10.78,33.5
"Ted Ginn",WR,-,-,-,90.9,-,4.43,-,-,-,34.5
"Tello Luckett",WR,9.64,7.51,17,89.0,96.9,4.65,118,116.8,12.01,34.0
"Teo Redding",WR,10.22,6.85,10,87.5,101.7,4.51,132,131.5,11.07,38.5
"Terrance Williams",WR,9.91,7.01,11,101.0,96.4,4.52,119,114.8,11.33,32.5
"Terrelle Pryor",WR,9.99,7.20,-,128.3,-,4.41,124,114.7,11.50,31.0
"Terren Encalade",WR,9.72,7.26,9,72.9,86.9,4.72,121,123.4,11.63,37.0
"Terrence Toliver",WR,10.24,6.48,-,97.0,-,4.59,122,115.4,10.51,32.0
"Terry Godwin",WR,9.96,6.96,-,83.5,-,4.55,117,120.6,11.14,36.5
"Terry McLaurin",WR,10.16,7.01,18,114.6,126.2,4.35,125,126.3,11.16,37.5
"Terry Wright",WR,9.84,6.77,9,83.5,90.3,4.49,128,121.8,11.16,34.0
"Tevaun Smith",WR,10.17,6.68,13,102.2,109.5,4.46,122,125.6,10.95,38.0
"Tevin Jones",WR,10.18,6.88,18,104.5,117.0,4.53,125,124.6,11.06,36.5
"Tevin Reese",WR,10.25,6.63,13,79.0,109.6,4.46,132,135.7,10.81,41.0
"Thomas Ives",WR,-,7.06,6,-,-,-,125,126.3,11.28,37.5
"Thomas Owens",WR,9.76,7.14,14,73.9,88.2,4.83,116,115.0,11.51,33.5
"Thomas Sperbeck",WR,9.85,6.71,10,78.5,95.8,4.64,113,110.9,10.76,32.0
"Tim Benford",WR,9.81,7.30,15,94.0,101.0,4.51,121,116.6,11.65,33.0
"Tim Patrick",WR,10.23,6.99,22,103.8,117.8,4.52,128,127.8,11.37,37.5
"Tim White",WR,9.89,7.11,14,77.6,97.5,4.56,130,130.5,11.55,38.5
"Tiquan Underwood",WR,10.45,6.62,7,92.5,109.3,4.41,129,135.1,10.73,41.5
"Titus Davis",WR,9.80,7.14,12,94.8,97.6,4.51,119,114.8,11.42,32.5
"Tom Kennedy",WR,10.03,6.66,22,84.4,122.4,4.60,124,124.9,10.74,37.0
"Tommy Streeter",WR,10.17,7.08,17,123.8,111.6,4.40,125,118.6,11.44,33.0
"Tommylee Lewis",WR,9.62,7.13,11,73.0,95.3,4.53,120,117.8,11.35,34.0
"Toney Clemons",WR,10.09,6.93,11,108.6,103.6,4.45,128,125.2,11.26,36.0
"Tony Pierson",WR,9.94,6.89,9,84.5,95.2,4.48,134,129.9,11.24,37.0
"Tony Stevens",WR,10.05,7.15,12,103.9,99.2,4.54,126,121.7,11.49,34.5
"Tony Washington",WR,9.88,6.98,21,87.3,112.0,4.55,125,128.0,11.43,38.5
"Tori Gurley",WR,10.17,7.05,15,114.7,108.8,4.53,118,116.0,11.30,33.5
"Torrence Allen",WR,10.06,7.14,15,91.2,103.0,4.46,129,132.5,11.70,40.0
"Torrey Smith",WR,10.37,6.72,19,105.0,128.4,4.43,126,132.7,10.85,41.0
"Travin Dural",WR,9.66,7.29,-,92.6,-,4.57,116,109.9,11.84,30.5
"Travis Benjamin",WR,10.11,6.96,14,92.9,114.5,4.36,119,124.1,11.13,38.0
"Travis Fulgham",WR,10.20,6.84,15,99.1,108.7,4.58,126,125.1,11.06,36.5
"Travis Labhart",WR,9.79,6.71,9,68.6,87.1,4.72,120,120.4,10.99,35.5
"Travis Rudolph",WR,9.74,6.93,12,79.7,84.4,4.65,114,110.6,11.39,31.5
"Tre McBride",WR,10.21,6.96,16,109.5,123.7,4.41,122,125.6,11.04,38.0
"Tre'Quan Smith",WR,10.12,6.97,12,104.8,100.0,4.49,130,128.8,11.47,37.5
"Trent Bostick",WR,10.03,7.12,-,87.5,-,4.62,118,126.2,11.46,39.5
"Trent Sherfield",WR,9.94,6.90,19,97.7,112.4,4.50,125,117.8,11.10,32.5
"Trent Taylor",WR,9.78,6.74,13,73.4,102.1,4.63,117,114.6,10.75,33.0
"Trevion Thompson",WR,10.09,6.82,-,91.6,-,4.57,122,122.2,11.14,36.0
"Trevon Brown",WR,9.64,7.40,10,80.1,79.8,4.78,117,114.6,11.95,33.0
"Trevor Davis",WR,10.26,6.60,11,98.5,108.2,4.42,124,127.5,10.82,38.5
"Trevor Harman",WR,9.94,6.77,19,88.6,103.8,4.67,117,111.2,10.98,31.0
"Trey Brock",WR,-,-,10,83.7,-,4.81,118,115.1,-,33.0
"Trey Griffey",WR,9.75,7.32,17,91.4,95.2,4.64,118,114.3,11.82,32.5
"Trey Quinn",WR,9.89,6.91,17,92.1,108.5,4.55,116,115.0,11.10,33.5
"Trindon Holliday",WR,9.94,6.54,10,79.8,102.7,4.34,116,129.4,11.02,42.0
"Trinity Benson",WR,10.19,6.87,15,87.1,111.2,4.49,124,130.9,11.12,40.5
"Troy Pelletier",WR,9.83,7.09,14,90.6,90.0,4.71,112,109.6,11.53,31.5
"Tyler Boyd",WR,9.95,6.90,11,89.5,93.1,4.58,119,117.3,11.25,34.0
"Tyler Lockett",WR,10.00,6.89,-,93.1,-,4.40,121,120.9,10.96,35.5
"Tyler Rutenbeck",WR,10.30,6.62,-,92.0,-,4.50,123,126.1,10.70,38.0
"Tyler Slavin",WR,10.01,7.01,13,91.6,99.0,4.67,117,116.3,11.24,34.0
"Tyre Brady",WR,9.88,7.24,12,81.0,89.4,4.81,117,112.9,11.49,32.0
"Tyreek Hill",WR,10.31,6.53,13,100.0,122.5,4.34,129,133.4,10.59,40.5
