"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Hand Size",Age,"20-Yard Shuttle","Athleticism Score",SPARQ-x,"3-Cone Drill"
"Gus Johnson",RB,"29 5/8",70,"215 lbs",30.8,"9 1/8",26.0,4.13,102.9,126.7,7.09
"Henry Josey",RB,"30 1/4",68,"194 lbs",29.5,"9 1/2",27.9,4.13,100.9,120.8,7.07
"I'Tavius Mathers",RB,"31    ",71,"203 lbs",28.3,"9    ",25.7,4.30,97.3,111.7,7.17
"Isaiah Crowell",RB,"31 3/4",71,"224 lbs",31.2,"9 1/4",26.6,4.56,102.9,115.5,7.28
"Isaiah Pead",RB,"31    ",70,"197 lbs",28.3,"8 5/8",29.7,4.32,96.8,108.4,6.95
"Isaiah Saunders",RB,"30    ",69,"217 lbs",32.0,"8 7/8",24.2,4.66,-,71.9,-
"Ito Smith",RB,"28 7/8",69,"200 lbs",29.5,"9 3/8",23.9,4.56,100.3,111.5,7.22
"Izzy Matthews",RB,"29 5/8",72,"212 lbs",28.7,"9 5/8",22.1,4.29,-,-,7.09
"J.D. McKissic",RB,"29    ",70,"187 lbs",26.8,"9 5/8",26.0,4.44,94.5,99.6,7.00
"Jackie Battle",RB,"32 5/8",74,"240 lbs",30.8,"9 5/8",35.9,4.11,107.5,132.6,6.54
"Jacques Patrick",RB,"32 1/2",74,"226 lbs",29.0,"9 7/8",22.6,4.52,92.9,90.8,7.42
"Jacquizz Rodgers",RB,"30 3/8",66,"196 lbs",31.6,"8 3/4",29.5,4.26,98.6,95.2,7.31
"Jahad Thomas",RB,"30 1/8",70,"190 lbs",27.3,"9    ",23.8,4.52,90.8,83.3,7.26
"Jahwan Edwards",RB,"31 5/8",69,"220 lbs",32.5,"8 7/8",27.0,4.50,99.1,93.8,7.63
"Jalen Parmele",RB,"32 1/4",71,"223 lbs",31.1,"8 7/8",33.6,4.29,103.4,115.6,6.96
"Jalen Rhodes",RB,"29 1/4",69,"190 lbs",28.1,"8 7/8",25.2,4.41,93.8,89.3,7.35
"Jalen Richard",RB,"29 1/8",68,"207 lbs",31.5,"8 7/8",25.8,4.95,97.6,82.6,7.36
"Jalen Simmons",RB,"29 5/8",68,"220 lbs",33.4,"8 1/8",27.4,4.46,103.3,108.2,7.43
"Jalin Moore",RB,"32 3/8",70,"212 lbs",30.4,"9 1/4",23.7,4.39,-,-,-
"Jalston Fowler",RB,"32 3/4",71,"254 lbs",35.4,"10 1/2",29.1,4.40,103.2,107.2,7.56
"Jamaal Charles",RB,"31 5/8",71,"199 lbs",27.8,"9 1/8",32.6,4.22,96.8,111.5,6.80
"Jamaal Williams",RB,"31 1/4",72,"212 lbs",28.7,"10    ",24.4,4.53,95.3,95.5,7.25
"Jamal Morrow",RB,"29 3/8",68,"195 lbs",29.6,"8 7/8",24.6,-,-,-,-
"Jamauri Bogan",RB,"28 1/4",67,"190 lbs",29.8,"8 3/8",23.4,4.51,95.5,87.2,7.02
"James Butler",RB,"29 5/8",68,"209 lbs",31.8,"8 3/4",24.5,4.33,102.2,108.9,7.02
"James Conner",RB,"31 1/4",73,"233 lbs",30.7,"9 7/8",24.3,4.31,97.1,105.0,7.41
"James Develin",RB,-,75,"255 lbs",31.9,-,31.1,4.55,98.0,130.4,7.25
"James Flanders",RB,"29 1/2",69,"198 lbs",29.2,"8    ",25.1,4.28,92.7,86.8,7.18
"James Starks",RB,"33 5/8",74,"218 lbs",28.0,"9 1/2",33.5,4.23,97.2,111.6,6.89
"James Summers",RB,"30 7/8",73,"218 lbs",28.8,"9 3/8",25.2,-,-,-,-
"James White",RB,"29 1/4",69,"204 lbs",30.1,"8 1/4",27.5,4.20,99.9,116.1,7.05
"James Wilder Jr.",RB,"32    ",75,"232 lbs",29.0,"9 3/4",27.3,4.24,97.1,107.6,6.92
"James Williams",RB,"30 3/8",69,"197 lbs",29.1,"9 1/4",23.2,4.25,98.1,105.0,7.01
"Jamize Olawale",RB,-,73,"238 lbs",31.4,-,30.3,-,-,-,-
"Jarryd Hayne",RB,-,74,"220 lbs",28.2,-,31.5,-,-,-,-
"Jarveon Williams",RB,"30 1/8",69,"205 lbs",30.3,"9 1/2",24.6,4.35,98.6,100.5,6.85
"Jarvion Franklin",RB,"31 1/4",72,"239 lbs",32.4,"9 1/4",23.7,4.31,100.4,104.4,6.93
"Javorius Allen",RB,"31 3/4",72,"221 lbs",30.0,"9 3/8",28.0,4.28,99.1,102.8,6.96
"Jay Ajayi",RB,"32    ",72,"221 lbs",30.0,"10    ",26.2,4.10,102.0,123.5,7.10
"Jay Prosch",RB,"30 1/8",73,"255 lbs",33.6,"10    ",27.0,4.40,103.4,120.1,7.33
"Jaylen Samuels",RB,"31 3/8",72,"225 lbs",30.5,"9 1/4",23.1,4.28,101.3,112.1,6.93
"Jeff Wilson",RB,"31 1/2",72,"210 lbs",28.5,"9 1/4",23.7,4.29,94.8,102.4,7.20
"Jeremy Cox",RB,"31    ",72,"223 lbs",30.2,"9 1/2",22.1,4.19,105.9,135.8,6.90
"Jeremy Hill",RB,"32 5/8",73,"233 lbs",30.7,"10 3/8",26.8,4.59,95.8,96.8,7.64
"Jeremy Langford",RB,"31 1/2",72,"208 lbs",28.2,"8 3/4",27.7,4.32,97.8,114.1,7.22
"Jeremy McNichols",RB,"31 1/2",69,"214 lbs",31.6,"10    ",23.6,4.28,-,-,6.93
"Jeremy Stewart",RB,-,73,"218 lbs",28.8,-,30.5,4.22,99.1,119.9,6.99
"Jerick McKinnon",RB,"30 1/4",69,"209 lbs",30.9,"8 5/8",27.3,4.12,110.7,155.7,6.83
"Jerome Smith",RB,"30 7/8",71,"220 lbs",30.7,"9 3/4",28.3,4.60,95.7,87.5,7.53
"Jewel Hampton",RB,"31    ",69,"210 lbs",31.0,"9 5/8",29.6,4.30,102.1,119.4,6.98
