candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
component_rank_w150,production,development_2017_2022,zero_brier_row,1080,6,-1.669281863930261e-05,-0.00011479399189409997,0.00012649644254155608,0.647
component_rank_w150,production,development_2017_2022,extended_absence_brier_row,1080,6,0.00014080772223303342,-0.00020007499191989172,0.00046100538303861125,0.2055
component_rank_w150,production,recent_2020_2025,ppg_crps,1080,6,0.0010068379331610343,-0.0006656925288109683,0.0029316552254247817,0.137
component_rank_w150,production,recent_2020_2025,contribution_crps,1080,6,-0.006219749506002562,-0.02540285785101306,0.01213130832228939,0.7165
component_rank_w150,production,recent_2020_2025,played_crps,1080,6,-0.002368383704967617,-0.0048087090332177345,0.0008117379385883236,0.9415
component_rank_w150,production,recent_2020_2025,plus3_brier_row,1080,6,-0.00011167511242430883,-0.001005779307223268,0.0008526871417672754,0.622
component_rank_w150,production,recent_2020_2025,plus5_brier_row,1080,6,-0.00010712254484095177,-0.00036105386702438795,0.00014381713868408163,0.7895
component_rank_w150,production,recent_2020_2025,impact_brier_row,1080,6,-1.6201161175602788e-05,-0.0004129891316325554,0.0004087175277185187,0.525
component_rank_w150,production,recent_2020_2025,zero_brier_row,1080,6,-1.1191518648517798e-05,-0.00017707493806237495,0.00015768802644620377,0.586
component_rank_w150,production,recent_2020_2025,extended_absence_brier_row,1080,6,1.806463581896532e-05,-0.0002757215832757314,0.00039585998408178967,0.4675
component_rank_w150,production,temporal_2023_2025,ppg_crps,540,3,-0.0009258876037982617,-0.0014462777537728485,-0.00031501969548884955,1.0
component_rank_w150,production,temporal_2023_2025,contribution_crps,540,3,-0.024246010214401384,-0.04709572702594483,-0.005931805377576252,1.0
component_rank_w150,production,temporal_2023_2025,played_crps,540,3,-0.0037526792282061576,-0.0061912865615131405,-0.002371767953812946,1.0
component_rank_w150,production,temporal_2023_2025,plus3_brier_row,540,3,-0.0010362204225663767,-0.001357800927525268,-0.0006682663351305598,1.0
component_rank_w150,production,temporal_2023_2025,plus5_brier_row,540,3,-0.00037102560668888406,-0.0006450913130728104,-0.00020407753450343266,1.0
component_rank_w150,production,temporal_2023_2025,impact_brier_row,540,3,-0.00021255335317299016,-0.0006205156115371077,0.00021869011851847418,0.858
component_rank_w150,production,temporal_2023_2025,zero_brier_row,540,3,-5.51765219496779e-05,-0.00023923187320047697,0.00025311723184636564,0.734
