year,policy,player,bench_rosters,predicted_best_rosters,realized_hit_rosters
2023,best1_lex0,Khalil Herbert,4,0,0
2023,best1_lex0,Kj Osborn,1,0,0
2023,best1_lex0,Kyle Pitts,9,0,0
2023,best1_lex0,Kyren Williams,5,0,5
2023,best1_lex0,Malik Davis,2,0,0
2023,best1_lex0,Marquez Valdes Scantling,2,0,0
2023,best1_lex0,Marquise Brown,10,2,0
2023,best1_lex0,Marvin Mims,1,0,0
2023,best1_lex0,Michael Carter,5,0,0
2023,best1_lex0,Michael Pittman,14,0,0
2023,best1_lex0,Michael Thomas,8,0,0
2023,best1_lex0,Mike Evans,1,0,1
2023,best1_lex0,Mike Williams,2,0,0
2023,best1_lex0,Miles Sanders,1,0,0
2023,best1_lex0,Mohamed Ibrahim,1,0,0
2023,best1_lex0,Nico Collins,4,0,4
2023,best1_lex0,Pat Freiermuth,30,0,0
2023,best1_lex0,Quentin Johnston,7,0,0
2023,best1_lex0,Raheem Mostert,12,0,0
2023,best1_lex0,Rashaad Penny,37,3,0
2023,best1_lex0,Rashid Shaheed,2,0,2
2023,best1_lex0,Rashod Bateman,16,0,16
2023,best1_lex0,Richie James,1,0,0
2023,best1_lex0,Robert Woods,1,0,0
2023,best1_lex0,Romeo Doubs,8,0,0
2023,best1_lex0,Rondale Moore,8,0,0
2023,best1_lex0,Samaje Perine,5,0,0
2023,best1_lex0,Sean Tucker,4,0,0
2023,best1_lex0,Tank Bigsby,7,1,0
2023,best1_lex0,Terry Mclaurin,5,0,5
2023,best1_lex0,Tj Hockenson,1,0,0
2023,best1_lex0,Treylon Burks,18,1,0
2023,best1_lex0,Tyjae Spears,122,8,0
2023,best1_lex0,Tyler Allgeier,26,0,0
2023,best1_lex0,Tyler Higbee,2,0,0
2023,best1_lex0,Tyler Lockett,4,0,0
2023,best1_lex0,Zach Charbonnet,61,27,60
2023,best1_lex0,Zach Evans,1,0,0
2023,best1_lex0,Zay Flowers,73,22,73
