period,method,metric,n,candidate_minus_baseline
development_2017_2022,support_recency_hl8,played_crps,1080,-0.002000385989190875
development_2017_2022,support_recency_hl8,plus3_brier_row,1080,-0.00020163074218234014
development_2017_2022,support_recency_hl8,plus5_brier_row,1080,-0.0002310917599605074
development_2017_2022,support_recency_hl8,impact_brier_row,1080,-0.0001837808478865253
development_2017_2022,support_recency_hl8,zero_brier_row,1080,0.00011641108348163799
development_2017_2022,support_recency_hl8,extended_absence_brier_row,1080,-0.00010648293933302746
development_2017_2022,support_recency_hl8,ppg_80_covered,1080,-0.003703703703703704
development_2017_2022,support_recency_hl8,contribution_80_covered,1080,-0.010185185185185186
development_2017_2022,support_recency_hl8,played_80_covered,1080,-0.002777777777777778
development_2017_2022,support_recency_hl8,weighted_season_gap,1080,-0.8955557671490009
development_2017_2022,support_recency_hl8,weight_last3_seasons,1080,0.10005693192391268
development_2017_2022,support_recency_hl8,weight_10plus_seasons,1080,-0.06254384342675746
development_2017_2022,support_recency_hl8,effective_sample_size,1080,-3.9353523741937884
development_2017_2022,all_context_hl8,ppg_crps,1080,7.56309727344806e-05
development_2017_2022,all_context_hl8,contribution_crps,1080,-0.00453775868466524
development_2017_2022,all_context_hl8,played_crps,1080,-0.005494025242551599
development_2017_2022,all_context_hl8,plus3_brier_row,1080,-0.0003017734997470869
development_2017_2022,all_context_hl8,plus5_brier_row,1080,-0.00015849881769862867
development_2017_2022,all_context_hl8,impact_brier_row,1080,-0.0003622563735842186
development_2017_2022,all_context_hl8,zero_brier_row,1080,6.55680298766246e-05
development_2017_2022,all_context_hl8,extended_absence_brier_row,1080,-0.0003047691128351357
development_2017_2022,all_context_hl8,ppg_80_covered,1080,0.0
development_2017_2022,all_context_hl8,contribution_80_covered,1080,-0.006481481481481481
development_2017_2022,all_context_hl8,played_80_covered,1080,-0.004629629629629629
development_2017_2022,all_context_hl8,weighted_season_gap,1080,-0.9066697201765127
development_2017_2022,all_context_hl8,weight_last3_seasons,1080,0.10010744408347101
development_2017_2022,all_context_hl8,weight_10plus_seasons,1080,-0.06405766395718775
development_2017_2022,all_context_hl8,effective_sample_size,1080,-3.915694242729029
development_2017_2022,recency_hl4,ppg_crps,1080,-0.0017743906538722086
development_2017_2022,recency_hl4,contribution_crps,1080,0.01661039831255999
development_2017_2022,recency_hl4,played_crps,1080,0.0011447757142803356
development_2017_2022,recency_hl4,plus3_brier_row,1080,-0.0005541996309790978
development_2017_2022,recency_hl4,plus5_brier_row,1080,-0.0005439868035747423
development_2017_2022,recency_hl4,impact_brier_row,1080,-0.0009107923016909466
development_2017_2022,recency_hl4,zero_brier_row,1080,5.809436665846264e-05
development_2017_2022,recency_hl4,extended_absence_brier_row,1080,0.00038395467451976615
development_2017_2022,recency_hl4,ppg_80_covered,1080,-0.001851851851851852
development_2017_2022,recency_hl4,contribution_80_covered,1080,-0.012962962962962963
development_2017_2022,recency_hl4,played_80_covered,1080,-0.000925925925925926
development_2017_2022,recency_hl4,weighted_season_gap,1080,-1.6571303885804542
development_2017_2022,recency_hl4,weight_last3_seasons,1080,0.1956846028686714
development_2017_2022,recency_hl4,weight_10plus_seasons,1080,-0.10778401268942106
development_2017_2022,recency_hl4,effective_sample_size,1080,-11.42059575132116
development_2017_2022,recency_hl12,ppg_crps,1080,-0.0013709544163698073
development_2017_2022,recency_hl12,contribution_crps,1080,-0.0050404191780689
development_2017_2022,recency_hl12,played_crps,1080,-0.0012529038405467196
development_2017_2022,recency_hl12,plus3_brier_row,1080,-0.0005000433360514072
development_2017_2022,recency_hl12,plus5_brier_row,1080,-0.000218711570380885
development_2017_2022,recency_hl12,impact_brier_row,1080,-0.00021709805088276598
development_2017_2022,recency_hl12,zero_brier_row,1080,2.6401229981586946e-05
development_2017_2022,recency_hl12,extended_absence_brier_row,1080,-1.757401177842079e-05
development_2017_2022,recency_hl12,ppg_80_covered,1080,-0.000925925925925926
development_2017_2022,recency_hl12,contribution_80_covered,1080,-0.011111111111111112
development_2017_2022,recency_hl12,played_80_covered,1080,-0.000925925925925926
development_2017_2022,recency_hl12,weighted_season_gap,1080,-0.6066438815898912
development_2017_2022,recency_hl12,weight_last3_seasons,1080,0.06607407658864344
development_2017_2022,recency_hl12,weight_10plus_seasons,1080,-0.04376754845681173
development_2017_2022,recency_hl12,effective_sample_size,1080,-2.0288515675880316
recent_2020_2025,draft_only,ppg_crps,1080,0.0005382844909878627
recent_2020_2025,draft_only,contribution_crps,1080,-0.011480930617992904
recent_2020_2025,draft_only,played_crps,1080,-0.0025374922178262576
recent_2020_2025,draft_only,plus3_brier_row,1080,-0.0006270024540814607
recent_2020_2025,draft_only,plus5_brier_row,1080,0.00020643155724682768
recent_2020_2025,draft_only,impact_brier_row,1080,-0.0003298841331684544
recent_2020_2025,draft_only,zero_brier_row,1080,0.0001668861259474719
recent_2020_2025,draft_only,extended_absence_brier_row,1080,-0.00021723051958260004
recent_2020_2025,draft_only,ppg_80_covered,1080,-0.001851851851851852
recent_2020_2025,draft_only,contribution_80_covered,1080,0.0
recent_2020_2025,draft_only,played_80_covered,1080,-0.001851851851851852
recent_2020_2025,draft_only,weighted_season_gap,1080,-0.03090566078582561
recent_2020_2025,draft_only,weight_last3_seasons,1080,0.0020933771870285268
recent_2020_2025,draft_only,weight_10plus_seasons,1080,-0.0025294158191402766
recent_2020_2025,draft_only,effective_sample_size,1080,-0.16516499882159028
recent_2020_2025,support_only,ppg_crps,1080,1.8432878693358522e-05
recent_2020_2025,support_only,contribution_crps,1080,-0.005233457717234571
recent_2020_2025,support_only,played_crps,1080,-0.0002880904591658392
recent_2020_2025,support_only,plus3_brier_row,1080,9.955937677132895e-05
recent_2020_2025,support_only,plus5_brier_row,1080,-4.872556773510253e-05
recent_2020_2025,support_only,impact_brier_row,1080,-0.0002566560503736195
recent_2020_2025,support_only,zero_brier_row,1080,-2.891846838707736e-05
recent_2020_2025,support_only,extended_absence_brier_row,1080,0.00022145910305372812
recent_2020_2025,support_only,ppg_80_covered,1080,0.002777777777777778
recent_2020_2025,support_only,contribution_80_covered,1080,-0.000925925925925926
recent_2020_2025,support_only,played_80_covered,1080,0.0
recent_2020_2025,support_only,weighted_season_gap,1080,-0.0026685188616855306
recent_2020_2025,support_only,weight_last3_seasons,1080,0.0002856733727570771
recent_2020_2025,support_only,weight_10plus_seasons,1080,-0.00021367177071622656
recent_2020_2025,support_only,effective_sample_size,1080,-0.0414905796852198
recent_2020_2025,recency_hl8,ppg_crps,1080,-0.0010083497002200937
recent_2020_2025,recency_hl8,contribution_crps,1080,-0.017618245343681296
recent_2020_2025,recency_hl8,played_crps,1080,-0.005364648417824715
recent_2020_2025,recency_hl8,plus3_brier_row,1080,-0.00028058500738051024
recent_2020_2025,recency_hl8,plus5_brier_row,1080,-0.00013162017349130267
recent_2020_2025,recency_hl8,impact_brier_row,1080,-0.0006734236391009602
recent_2020_2025,recency_hl8,zero_brier_row,1080,-0.00016966249486799468
recent_2020_2025,recency_hl8,extended_absence_brier_row,1080,-0.0003013422799599909
recent_2020_2025,recency_hl8,ppg_80_covered,1080,-0.000925925925925926
recent_2020_2025,recency_hl8,contribution_80_covered,1080,-0.006481481481481481
recent_2020_2025,recency_hl8,played_80_covered,1080,-0.000925925925925926
recent_2020_2025,recency_hl8,weighted_season_gap,1080,-1.3729291344527408
recent_2020_2025,recency_hl8,weight_last3_seasons,1080,0.11066847762233807
recent_2020_2025,recency_hl8,weight_10plus_seasons,1080,-0.11795151839844153
recent_2020_2025,recency_hl8,effective_sample_size,1080,-6.377635909884673
recent_2020_2025,draft_support,ppg_crps,1080,-0.00010408933639302373
recent_2020_2025,draft_support,contribution_crps,1080,-0.0021454645530797224
recent_2020_2025,draft_support,played_crps,1080,-0.0011933823192438815
recent_2020_2025,draft_support,plus3_brier_row,1080,0.0001787564100921842
recent_2020_2025,draft_support,plus5_brier_row,1080,2.963354539997246e-06
recent_2020_2025,draft_support,impact_brier_row,1080,-0.0001983698545661745
recent_2020_2025,draft_support,zero_brier_row,1080,0.00030077310929502296
recent_2020_2025,draft_support,extended_absence_brier_row,1080,0.00016676668689834067
recent_2020_2025,draft_support,ppg_80_covered,1080,0.0
recent_2020_2025,draft_support,contribution_80_covered,1080,-0.005555555555555556
recent_2020_2025,draft_support,played_80_covered,1080,0.0
recent_2020_2025,draft_support,weighted_season_gap,1080,-0.035037010414777525
recent_2020_2025,draft_support,weight_last3_seasons,1080,0.0025539879150027803
recent_2020_2025,draft_support,weight_10plus_seasons,1080,-0.0028545678641295957
recent_2020_2025,draft_support,effective_sample_size,1080,-0.13557766436831262
recent_2020_2025,draft_recency_hl8,ppg_crps,1080,-0.00016698151272045766
recent_2020_2025,draft_recency_hl8,contribution_crps,1080,-0.024940785327106207
recent_2020_2025,draft_recency_hl8,played_crps,1080,-0.007646462612586285
recent_2020_2025,draft_recency_hl8,plus3_brier_row,1080,0.0001353625712655365
recent_2020_2025,draft_recency_hl8,plus5_brier_row,1080,-0.00011142164514865741
recent_2020_2025,draft_recency_hl8,impact_brier_row,1080,-0.0004596226520502331
recent_2020_2025,draft_recency_hl8,zero_brier_row,1080,2.160421416374831e-05
recent_2020_2025,draft_recency_hl8,extended_absence_brier_row,1080,-0.0006359983054419323
recent_2020_2025,draft_recency_hl8,ppg_80_covered,1080,0.001851851851851852
recent_2020_2025,draft_recency_hl8,contribution_80_covered,1080,-0.007407407407407408
recent_2020_2025,draft_recency_hl8,played_80_covered,1080,0.0
recent_2020_2025,draft_recency_hl8,weighted_season_gap,1080,-1.3980083218992392
recent_2020_2025,draft_recency_hl8,weight_last3_seasons,1080,0.11295039357516784
recent_2020_2025,draft_recency_hl8,weight_10plus_seasons,1080,-0.11977351639357728
recent_2020_2025,draft_recency_hl8,effective_sample_size,1080,-6.532529639005711
recent_2020_2025,support_recency_hl8,ppg_crps,1080,-0.0010939038936370851
recent_2020_2025,support_recency_hl8,contribution_crps,1080,-0.023937540865768724
recent_2020_2025,support_recency_hl8,played_crps,1080,-0.005941617016348739
recent_2020_2025,support_recency_hl8,plus3_brier_row,1080,6.531696733893132e-05
recent_2020_2025,support_recency_hl8,plus5_brier_row,1080,-0.0002681783045866403
recent_2020_2025,support_recency_hl8,impact_brier_row,1080,-0.0004717384896181813
recent_2020_2025,support_recency_hl8,zero_brier_row,1080,-0.0001396147989213225
recent_2020_2025,support_recency_hl8,extended_absence_brier_row,1080,-9.457228199157883e-05
recent_2020_2025,support_recency_hl8,ppg_80_covered,1080,-0.005555555555555556
recent_2020_2025,support_recency_hl8,contribution_80_covered,1080,-0.007407407407407408
recent_2020_2025,support_recency_hl8,played_80_covered,1080,-0.002777777777777778
recent_2020_2025,support_recency_hl8,weighted_season_gap,1080,-1.3757126191022364
recent_2020_2025,support_recency_hl8,weight_last3_seasons,1080,0.11102303226805516
recent_2020_2025,support_recency_hl8,weight_10plus_seasons,1080,-0.11820146755044324
recent_2020_2025,support_recency_hl8,effective_sample_size,1080,-6.341941945739183
recent_2020_2025,all_context_hl8,ppg_crps,1080,-0.001085473354802782
recent_2020_2025,all_context_hl8,contribution_crps,1080,-0.012045336463909264
recent_2020_2025,all_context_hl8,played_crps,1080,-0.005713120668957421
recent_2020_2025,all_context_hl8,plus3_brier_row,1080,0.00012895254986507537
recent_2020_2025,all_context_hl8,plus5_brier_row,1080,-0.00024294539518891973
recent_2020_2025,all_context_hl8,impact_brier_row,1080,-0.0004527295536659746
recent_2020_2025,all_context_hl8,zero_brier_row,1080,7.856616449133828e-05
recent_2020_2025,all_context_hl8,extended_absence_brier_row,1080,-0.00022449479502603561
recent_2020_2025,all_context_hl8,ppg_80_covered,1080,-0.003703703703703704
recent_2020_2025,all_context_hl8,contribution_80_covered,1080,-0.010185185185185186
recent_2020_2025,all_context_hl8,played_80_covered,1080,-0.002777777777777778
recent_2020_2025,all_context_hl8,weighted_season_gap,1080,-1.4029050450581282
recent_2020_2025,all_context_hl8,weight_last3_seasons,1080,0.11355142041024753
recent_2020_2025,all_context_hl8,weight_10plus_seasons,1080,-0.12014385833654723
recent_2020_2025,all_context_hl8,effective_sample_size,1080,-6.419194753345721
recent_2020_2025,recency_hl4,ppg_crps,1080,0.0010584860711279373
recent_2020_2025,recency_hl4,contribution_crps,1080,0.0015869410699403943
