league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
dk,usage_air_value_disp_w100,core_broad,development_2017_2022,936,0.0006018385788317815,0.00024845839794118696,0.00015467225296394993,-3.7570785333951306e-06,0.0002066804296501218,-0.0001875932803421243,0.0010683760683760646
dk,usage_air_value_disp_w100,core_broad,temporal_2023_2025,468,-0.002869529494236911,-0.0012079925286632154,-0.0009214100857924956,0.0009390214592888135,9.577989620947192e-05,0.0005092556014558575,-0.004273504273504258
dk,usage_air_value_disp_w100,core_main,development_2017_2022,720,0.0010882746025089318,0.00043537127175619084,0.00014993208543745418,2.346125459040671e-05,0.0009609847210516609,-0.00020648065323305986,0.0
dk,usage_air_value_disp_w100,core_main,temporal_2023_2025,360,-0.0033460659680488725,-0.001368916195249148,-0.0010434386280590013,-0.00045234112492076317,0.003588510024549192,0.0008036063083831507,-0.002777777777777879
dk,usage_air_value_disp_w100,core_main_qb1,development_2017_2022,718,0.0010913060080870451,0.00043726863508242175,0.00015014930650947278,2.3538472070816496e-05,0.0009636615587148151,-0.00020705580825595982,0.0
dk,usage_air_value_disp_w100,core_main_qb1,temporal_2023_2025,358,-0.0033647590740155664,-0.0013898330476551646,-0.001045954221347234,-0.0004564215386604342,0.0036085575665857975,0.0008080957291003998,-0.0027932960893854997
dk,usage_air_value_disp_w100,core_strict,development_2017_2022,504,0.001539691854810954,0.0005834924539318553,0.0005872372463977538,0.00010660205803980638,0.0006670850802400763,-0.00022493271914483803,0.001984126984126977
dk,usage_air_value_disp_w100,core_strict,temporal_2023_2025,252,-0.0025772053486003976,-0.0010785566795503687,-0.0012700821699173082,-0.000439666511640624,-0.0040394887799949965,0.0010227863679894006,-0.003968253968254065
dk,usage_air_value_disp_w100,depth_main,development_2017_2022,1039,-0.0002794206050471537,-0.000145559900369574,-0.00013468860444876274,-0.00014397965263879264,-0.00947236864350881,-0.001284307076539648,0.0038498556304139564
dk,usage_air_value_disp_w100,depth_main,temporal_2023_2025,528,-0.0007116315961539499,-0.00035260787567448215,-0.00011470230544741167,0.000989295153790648,0.00894075186360141,0.0010950713964081316,-0.0018939393939394478
beta,usage_air_value_disp_w150,core_broad,development_2017_2022,936,0.0003410033398913992,0.00017814966594875692,0.0002510362745358208,0.0006820379105521024,-0.0008663585193582346,-0.0003209082095046306,0.0010683760683761756
beta,usage_air_value_disp_w150,core_broad,temporal_2023_2025,468,0.0007567317307961563,0.0003812449340669932,0.0009978976142566154,-0.0007850835467057005,-0.0023304453950884416,-0.0015684321597024958,0.0
beta,usage_air_value_disp_w150,core_main,development_2017_2022,720,7.567283122789092e-05,3.915504919627111e-05,6.307536544603032e-05,0.000686643605085413,0.00024160660074937224,-0.00047810037091387814,0.004166666666666652
beta,usage_air_value_disp_w150,core_main,temporal_2023_2025,360,0.0006552568119961855,0.0003254720383172316,0.0008408895826870211,-0.0014452434363906308,0.004910870035780432,0.0016704351886744628,-0.002777777777777768
beta,usage_air_value_disp_w150,core_main_qb1,development_2017_2022,718,7.588361905908059e-05,3.927830835070978e-05,6.322590142371354e-05,0.0006888838255574292,0.00024227959963726842,-0.0004794321268216939,0.004178272980501441
beta,usage_air_value_disp_w150,core_main_qb1,temporal_2023_2025,358,0.0006589174645776907,0.00033148647402669873,0.0008436555066455576,-0.0014580649750343122,0.004938305063913306,0.0016797672288346582,-0.0027932960893854997
beta,usage_air_value_disp_w150,core_strict,development_2017_2022,504,0.00020164440765202407,0.00010469760108278159,0.0003974427261042024,0.0009349470627011414,-0.0008272585581580172,-0.0002831125106019655,0.0
beta,usage_air_value_disp_w150,core_strict,temporal_2023_2025,252,0.0017393276402772884,0.0009315389965454113,0.0007622599203906955,-0.0027468733938946777,-0.0032765710722188514,0.0018064134874066357,0.003968253968253954
beta,usage_air_value_disp_w150,depth_main,development_2017_2022,1039,0.0004975278167067554,0.00030099636536018437,0.0003824289158704808,0.000348637604526969,-0.01172573666647056,-0.0013076034071355935,-0.002887391722810384
beta,usage_air_value_disp_w150,depth_main,temporal_2023_2025,528,0.00043445528033059233,0.0002361706820714904,-6.0016724834910384e-05,-0.0006910143796632351,0.009416389667732818,0.0014659124667755763,0.0018939393939393367
dk,usage_air_value_disp_w150,core_broad,development_2017_2022,936,0.0004760539760475524,0.0001965304524875755,8.212057143541784e-05,-0.0003364482814374181,-0.0005789828483341308,-0.0002506255977137162,0.002136752136752129
dk,usage_air_value_disp_w150,core_broad,temporal_2023_2025,468,-0.004132758228089006,-0.001739776877125454,-0.0008996114468053928,0.0022836381677087125,0.0010484979518015835,0.0008059588286982444,-0.004273504273504258
dk,usage_air_value_disp_w150,core_main,development_2017_2022,720,0.001223268548936396,0.0004893764704441139,0.00018819953301019154,1.4524556635198138e-05,0.0011554419599407034,-0.0003413346290664643,0.004166666666666652
