variant,method,slice_type,slice_value,n_rows,n_seasons,rmse
rank_level,random_forest,position,QB,306,8,4.007121902168709
rank_level,random_forest,position,RB,1011,9,3.2969365209144823
rank_level,random_forest,position,TE,802,9,2.0566741755708113
rank_level,random_forest,position,WR,1503,9,2.7144368836044626
rank_level,random_forest,history_depth,other_no_history,23,7,2.2075093146656495
rank_level,random_forest,history_depth,rookie,518,9,3.228708757240941
rank_level,random_forest,history_depth,second_year,558,9,2.938954834069147
rank_level,random_forest,history_depth,veteran_with_history,2523,9,2.81816815869239
rank_level,random_forest_full_columns,pooled,all,3622,9,2.906408244897138
rank_level,random_forest_full_columns,recent,2023_2025,1226,3,2.919402906124791
rank_level,random_forest_full_columns,season,2017,402,1,2.8821640455399526
rank_level,random_forest_full_columns,season,2018,365,1,3.0046575294563422
rank_level,random_forest_full_columns,season,2019,385,1,2.9267636545411877
rank_level,random_forest_full_columns,season,2020,409,1,3.1111949834458055
rank_level,random_forest_full_columns,season,2021,413,1,2.8117250964708225
rank_level,random_forest_full_columns,season,2022,422,1,2.661920462261406
rank_level,random_forest_full_columns,season,2023,404,1,2.9742647516018277
rank_level,random_forest_full_columns,season,2024,406,1,3.0075387854192694
rank_level,random_forest_full_columns,season,2025,416,1,2.7747222905865425
rank_level,random_forest_full_columns,position,QB,306,8,4.078383287494322
rank_level,random_forest_full_columns,position,RB,1011,9,3.3157900746832487
rank_level,random_forest_full_columns,position,TE,802,9,2.038708229314926
rank_level,random_forest_full_columns,position,WR,1503,9,2.7123393737799404
rank_level,random_forest_full_columns,history_depth,other_no_history,23,7,2.162524153864685
rank_level,random_forest_full_columns,history_depth,rookie,518,9,3.2229700580208984
rank_level,random_forest_full_columns,history_depth,second_year,558,9,2.941437051353232
rank_level,random_forest_full_columns,history_depth,veteran_with_history,2523,9,2.8351204793401896
