year,player,player_key,pos,target_feature_match,pool_size,min_donor_season,max_donor_season,zero_active_share,mean_distance,max_donor_is_causal
2022,Ryan Tannehill,ryantannehill,QB,True,80,2008,2021,0.025,1.3681803673557251,True
2022,Samaje Perine,samajeperine,RB,True,80,2008,2021,0.0,0.989882909727806,True
2022,Sam Darnold,samdarnold,QB,True,80,2008,2021,0.2875,1.3803687498537773,True
2022,Sam Howell,samhowell,QB,False,80,2008,2021,0.2875,4.1476626182109,True
2022,Sammy Watkins,sammywatkins,WR,True,80,2009,2021,0.0,0.9113239896372815,True
2022,Saquon Barkley,saquonbarkley,RB,True,80,2008,2021,0.0,0.807399896725282,True
2022,Skyy Moore,skyymoore,WR,True,80,2008,2021,0.0,0.9563817792141938,True
2022,Snoop Conner,snoopconner,RB,True,80,2008,2021,0.0,0.5183569712362777,True
2022,Sony Michel,sonymichel,RB,True,80,2008,2021,0.0,0.9770450596646402,True
2022,Stefon Diggs,stefondiggs,WR,True,80,2008,2021,0.0,0.5624008515350859,True
2022,Sterling Shepard,sterlingshepard,WR,False,80,2009,2021,0.0,1.065245597536378,True
2022,Taysom Hill,taysomhill,TE,True,80,2008,2021,0.0,0.7889018862704104,True
2022,Tee Higgins,teehiggins,WR,True,80,2008,2021,0.0,0.40256063478003384,True
2022,Terrace Marshall,terracemarshall,WR,True,80,2008,2021,0.0,0.4126224838468174,True
2022,Tim Patrick,timpatrick,WR,False,80,2008,2021,0.0,0.9546951443723781,True
2022,Tj Hockenson,tjhockenson,TE,True,80,2008,2021,0.0,0.6530528506468384,True
2022,Tom Brady,tombrady,QB,True,80,2008,2021,0.0,1.004265360685816,True
2022,Tommy Tremble,tommytremble,TE,True,80,2008,2021,0.0,0.4977423682332482,True
2022,Tony Pollard,tonypollard,RB,True,80,2008,2021,0.0,0.8877983245655248,True
2022,Travis Etienne,travisetienne,RB,True,80,2008,2021,0.0,0.8694543107416323,True
2022,Travis Kelce,traviskelce,TE,True,80,2008,2021,0.0,1.2803289423335502,True
2022,Trequan Smith,trequansmith,WR,False,80,2008,2021,0.0,1.3540203382270701,True
2022,Trevor Lawrence,trevorlawrence,QB,True,80,2008,2021,0.0,0.9123648703900511,True
2022,Treylon Burks,treylonburks,WR,True,80,2008,2021,0.0,0.6392374819384157,True
2022,Trey Mcbride,treymcbride,TE,True,80,2008,2021,0.0,0.7654430487028367,True
2022,Trey Sermon,treysermon,RB,False,80,2008,2021,0.0,1.3407166409446536,True
2022,Tua Tagovailoa,tuatagovailoa,QB,True,80,2008,2021,0.0,1.0498589302380048,True
2022,Tyler Allgeier,tylerallgeier,RB,True,80,2008,2021,0.0,0.749418275685385,True
2022,Tyler Badie,tylerbadie,RB,False,80,2008,2021,0.0,1.8949031659915154,True
2022,Tyler Boyd,tylerboyd,WR,True,80,2008,2021,0.0,0.6524181730334437,True
2022,Tyler Conklin,tylerconklin,TE,True,80,2008,2021,0.0,0.7706025642392984,True
2022,Tyler Higbee,tylerhigbee,TE,True,80,2008,2021,0.0,0.9016958588886077,True
2022,Tyler Lockett,tylerlockett,WR,True,80,2008,2021,0.0,0.7356407858806815,True
2022,Tyquan Thornton,tyquanthornton,WR,False,80,2008,2021,0.0,1.5892692728517255,True
2022,Tyreek Hill,tyreekhill,WR,True,80,2008,2021,0.0,0.5194646738164853,True
2022,Tyrion Davis Price,tyriondavisprice,RB,True,80,2008,2021,0.0,0.6099357426966151,True
2022,Van Jefferson,vanjefferson,WR,True,80,2008,2021,0.0,0.5325703019193685,True
2022,Velus Jones,velusjones,WR,True,80,2008,2021,0.0,0.6212126732281261,True
2022,Wandale Robinson,wandalerobinson,WR,True,80,2008,2021,0.0,0.6395552041181356,True
2022,Zach Ertz,zachertz,TE,True,80,2008,2021,0.0,0.9881539119803682,True
2022,Zach Wilson,zachwilson,QB,True,80,2008,2021,0.0,0.8622193780792726,True
2022,Zack Moss,zackmoss,RB,True,80,2008,2021,0.0,1.0353971226487946,True
2022,Zamir White,zamirwhite,RB,True,80,2008,2021,0.0,0.7280567502350614,True
2022,Zay Jones,zayjones,WR,True,80,2008,2021,0.0,0.6265738685788038,True
2023,Aaron Jones,aaronjones,RB,True,80,2008,2022,0.0,1.0126584155905476,True
2023,Aaron Rodgers,aaronrodgers,QB,True,80,2008,2022,0.0,0.9396695426223317,True
2023,Adam Thielen,adamthielen,WR,True,80,2008,2022,0.0,0.6975717638001544,True
2023,Adam Trautman,adamtrautman,TE,True,80,2008,2022,0.0,0.5606917315469981,True
2023,Aidan Oconnell,aidanoconnell,QB,False,80,2008,2022,0.225,4.029564798002869,True
2023,Aj Brown,ajbrown,WR,True,80,2008,2022,0.0,0.46115703323866714,True
2023,Aj Dillon,ajdillon,RB,True,80,2008,2022,0.0,0.8671784607249855,True
2023,Alec Pierce,alecpierce,WR,True,80,2008,2022,0.0,0.48614208939170583,True
2023,Alexander Mattison,alexandermattison,RB,True,80,2008,2022,0.0,0.9984886694774225,True
2023,Allen Lazard,allenlazard,WR,True,80,2008,2022,0.0,0.5223483088938605,True
2023,Allen Robinson,allenrobinson,WR,True,80,2008,2022,0.0,0.9848395042921861,True
