year,trial,order_regime,price_rule,policy_mode,complete_5,clean_policy_path_5,actual_points_5,failure_penalized_points_5,actual_ppg_5,final_forecast_ev_5,paid_spend_5,unused_personal_budget_5,events_seen_5,forced_buys_5,nominal_relaxation_events_5,top_n_relaxation_events_5,generic_repair_buys_5,synthetic_contract_fill_buys_5,synthetic_contract_fill_events_seen_5,complete_10,clean_policy_path_10,actual_points_10,failure_penalized_points_10,actual_ppg_10,final_forecast_ev_10,paid_spend_10,unused_personal_budget_10,events_seen_10,forced_buys_10,nominal_relaxation_events_10,top_n_relaxation_events_10,generic_repair_buys_10,synthetic_contract_fill_buys_10,synthetic_contract_fill_events_seen_10,paired_complete,paired_clean,actual_points_diff_5_minus_10,failure_penalized_points_diff_5_minus_10,actual_ppg_diff_5_minus_10,final_forecast_ev_diff_5_minus_10,paid_spend_diff_5_minus_10,unused_personal_budget_diff_5_minus_10,events_seen_diff_5_minus_10,forced_buys_diff_5_minus_10,nominal_relaxation_events_diff_5_minus_10,top_n_relaxation_events_diff_5_minus_10,generic_repair_buys_diff_5_minus_10,synthetic_contract_fill_buys_diff_5_minus_10,synthetic_contract_fill_events_seen_diff_5_minus_10,points_win_5
2022,2,uniform,clearing,strict,True,True,1294.8599853515625,1294.8599853515625,80.92874908447266,1585.883056640625,291.0,7.0,95,0,0,0,0,0,0,True,True,1358.360107421875,1358.360107421875,84.89750671386719,1557.727783203125,288.0,10.0,120,0,0,0,0,0,0,True,True,-63.5001220703125,-63.5001220703125,-3.9687576293945312,28.1552734375,3.0,-3.0,-25,0,0,0,0,0,0,False
2022,2,uniform,plus_one,operational,True,True,1345.06005859375,1345.06005859375,84.06625366210938,1562.7955322265625,297.0,1.0,131,0,0,0,0,0,0,True,True,1345.06005859375,1345.06005859375,84.06625366210938,1562.7955322265625,297.0,1.0,131,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False
2022,2,uniform,plus_one,strict,True,True,1345.06005859375,1345.06005859375,84.06625366210938,1562.7955322265625,297.0,1.0,131,0,0,0,0,0,0,True,True,1345.06005859375,1345.06005859375,84.06625366210938,1562.7955322265625,297.0,1.0,131,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False
2022,3,position_run,clearing,operational,True,True,1437.159912109375,1437.159912109375,89.82249450683594,1577.622314453125,297.0,1.0,97,0,0,0,0,0,0,True,True,1471.47998046875,1471.47998046875,91.96749877929688,1580.12548828125,293.0,5.0,91,0,0,0,0,0,0,True,True,-34.320068359375,-34.320068359375,-2.1450042724609375,-2.503173828125,4.0,-4.0,6,0,0,0,0,0,0,False
2022,3,position_run,clearing,strict,True,True,1437.159912109375,1437.159912109375,89.82249450683594,1577.622314453125,297.0,1.0,97,0,0,0,0,0,0,True,True,1471.47998046875,1471.47998046875,91.96749877929688,1580.12548828125,293.0,5.0,91,0,0,0,0,0,0,True,True,-34.320068359375,-34.320068359375,-2.1450042724609375,-2.503173828125,4.0,-4.0,6,0,0,0,0,0,0,False
2022,3,position_run,plus_one,operational,True,True,1409.9599609375,1409.9599609375,88.12249755859375,1574.519287109375,296.0,2.0,105,0,0,0,0,0,0,True,True,1408.760009765625,1408.760009765625,88.04750061035156,1564.019287109375,297.0,1.0,100,0,0,0,0,0,0,True,True,1.199951171875,1.199951171875,0.0749969482421875,10.5,-1.0,1.0,5,0,0,0,0,0,0,True
2022,3,position_run,plus_one,strict,True,True,1409.9599609375,1409.9599609375,88.12249755859375,1574.519287109375,296.0,2.0,105,0,0,0,0,0,0,True,True,1408.760009765625,1408.760009765625,88.04750061035156,1564.019287109375,297.0,1.0,100,0,0,0,0,0,0,True,True,1.199951171875,1.199951171875,0.0749969482421875,10.5,-1.0,1.0,5,0,0,0,0,0,0,True
2022,3,star_late,clearing,operational,True,True,1341.0,1341.0,83.8125,1611.2611083984375,286.0,12.0,117,0,0,0,0,0,0,True,True,1416.3599853515625,1416.3599853515625,88.52249908447266,1601.41943359375,285.0,13.0,134,0,0,0,0,0,0,True,True,-75.3599853515625,-75.3599853515625,-4.709999084472656,9.8416748046875,1.0,-1.0,-17,0,0,0,0,0,0,False
2022,3,star_late,clearing,strict,True,True,1341.0,1341.0,83.8125,1611.2611083984375,286.0,12.0,117,0,0,0,0,0,0,True,True,1416.3599853515625,1416.3599853515625,88.52249908447266,1601.41943359375,285.0,13.0,134,0,0,0,0,0,0,True,True,-75.3599853515625,-75.3599853515625,-4.709999084472656,9.8416748046875,1.0,-1.0,-17,0,0,0,0,0,0,False
2022,3,star_late,plus_one,operational,True,True,1492.2000732421875,1492.2000732421875,93.26250457763672,1577.772216796875,294.0,4.0,117,0,0,0,0,0,0,True,True,1433.9599609375,1433.9599609375,89.62249755859375,1598.9361572265625,285.0,13.0,134,0,0,0,0,0,0,True,True,58.2401123046875,58.2401123046875,3.6400070190429688,-21.1639404296875,9.0,-9.0,-17,0,0,0,0,0,0,True
2022,3,star_late,plus_one,strict,True,True,1492.2000732421875,1492.2000732421875,93.26250457763672,1577.772216796875,294.0,4.0,117,0,0,0,0,0,0,True,True,1433.9599609375,1433.9599609375,89.62249755859375,1598.9361572265625,285.0,13.0,134,0,0,0,0,0,0,True,True,58.2401123046875,58.2401123046875,3.6400070190429688,-21.1639404296875,9.0,-9.0,-17,0,0,0,0,0,0,True
2022,3,tier_early,clearing,operational,True,True,1451.760009765625,1451.760009765625,90.73500061035156,1557.956298828125,298.0,0.0,98,0,0,0,0,0,0,True,True,1478.760009765625,1478.760009765625,92.42250061035156,1562.157958984375,292.0,6.0,90,0,0,0,0,0,0,True,True,-27.0,-27.0,-1.6875,-4.20166015625,6.0,-6.0,8,0,0,0,0,0,0,False
2022,3,tier_early,clearing,strict,True,True,1451.760009765625,1451.760009765625,90.73500061035156,1557.956298828125,298.0,0.0,98,0,0,0,0,0,0,True,True,1478.760009765625,1478.760009765625,92.42250061035156,1562.157958984375,292.0,6.0,90,0,0,0,0,0,0,True,True,-27.0,-27.0,-1.6875,-4.20166015625,6.0,-6.0,8,0,0,0,0,0,0,False
2022,3,tier_early,plus_one,operational,False,False,,0.0,,,293.0,5.0,104,0,0,0,0,0,0,True,True,1444.5599365234375,1444.5599365234375,90.28499603271484,1566.947998046875,294.0,4.0,97,0,0,0,0,0,0,False,False,,-1444.5599365234375,,,-1.0,1.0,7,0,0,0,0,0,0,False
2022,3,tier_early,plus_one,strict,False,False,,0.0,,,293.0,5.0,104,0,0,0,0,0,0,True,True,1444.5599365234375,1444.5599365234375,90.28499603271484,1566.947998046875,294.0,4.0,97,0,0,0,0,0,0,False,False,,-1444.5599365234375,,,-1.0,1.0,7,0,0,0,0,0,0,False
