"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"452","Mason Rudolph","PIT","qb","9","17","44.4","0","74.4565","104.9565","683.6607","3.7014","2.7513","6.0599","5.7353","36.7432","0.1957","0","0","0","0","0.8311","0.4182","0.2805","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"453","Joe Milton III","DAL","qb","14","17","41.6","0","60.817","86.8298","588.3512","3.455","2.2992","6.4102","7.3443","50.144","0.253","0","0","0","0","0.8999","0.4509","0.2481","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"454","Joe Flacco","CIN","qb","6","17","41","0","67.8854","98.4426","659.1556","3.9439","2.4588","5.2502","1.6941","7.4748","0.0695","0","0","0","0","0.6666","0.3403","0.2581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"455","Jameis Winston","NYG","qb","8","17","41","0","58.7536","87.2075","635.954","3.6542","2.8367","6.3928","4.5541","28.3379","0.1588","0","0","0","0","0.8524","0.4311","0.2193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"456","Mac Jones","SF","qb","8","17","38.1","0","61.5001","85.9069","579.2094","3.3649","2.1407","5.3806","4.3789","26.0168","0.1512","0","0","0","0","0.7259","0.3664","0.2449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"457","Ty Simpson","LA","qb","11","17","36.2","0","55.4757","82.0584","539.1821","2.9844","2.0687","6.7809","5.1954","35.6691","0.1959","0","0","0","0","0.9101","0.4597","0.2515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"458","Marcus Mariota","WAS","qb","7","17","33.7","0","45.8486","64.9554","470.4031","2.8481","1.6992","5.2155","5.8911","39.9708","0.2018","0","0","0","0","0.7306","0.3662","0.1811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"459","Anthony Richardson","IND","qb","13","17","32.8","0","47.7872","73.5849","480.8689","2.4375","2.0288","5.1799","6.3572","43.2521","0.2341","0","0","0","0","0.7337","0.3671","0.2202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"460","Tyrod Taylor","GB","qb","11","17","32.7","0","44.9806","65.8116","428.5296","2.3875","1.5987","6.3016","8.7065","58.6353","0.2949","0","0","0","0","0.9087","0.4532","0.2109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"461","Joshua Dobbs","DET","qb","6","17","30.4","0","48.6401","68.5486","444.8706","2.3075","1.8196","5.1789","6.068","39.2295","0.2078","0","0","0","0","0.7287","0.365","0.2185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
