method,slice_type,slice_value,metric,n_rows,value
causal_router_min_100,position,QB,spearman,380,0.5906794764222103
projection_prediction,position,RB,rmse,1011,3.545478497976795
projection_prediction,position,RB,mae,1011,2.796609389157398
projection_prediction,position,RB,bias,1011,0.07964421523600004
projection_prediction,position,RB,spearman,1011,0.7338488345547817
full_prediction,position,RB,rmse,1011,3.4986526405664624
full_prediction,position,RB,mae,1011,2.7616927844947594
full_prediction,position,RB,bias,1011,0.09393737648696297
full_prediction,position,RB,spearman,1011,0.7442227975974158
no_prior_hybrid,position,RB,rmse,1011,3.5093459267041096
no_prior_hybrid,position,RB,mae,1011,2.763433041379577
no_prior_hybrid,position,RB,bias,1011,0.02267806756506243
no_prior_hybrid,position,RB,spearman,1011,0.7422986816338826
limited_history_hybrid,position,RB,rmse,1011,3.5143276320427317
limited_history_hybrid,position,RB,mae,1011,2.763838314735602
limited_history_hybrid,position,RB,bias,1011,0.013198202264363927
limited_history_hybrid,position,RB,spearman,1011,0.7423131261758215
causal_router_min_25,position,RB,rmse,1011,3.4986526405664624
causal_router_min_25,position,RB,mae,1011,2.7616927844947594
causal_router_min_25,position,RB,bias,1011,0.09393737648696297
causal_router_min_25,position,RB,spearman,1011,0.7442227975974158
causal_router_min_50,position,RB,rmse,1011,3.4986526405664624
causal_router_min_50,position,RB,mae,1011,2.7616927844947594
causal_router_min_50,position,RB,bias,1011,0.09393737648696297
causal_router_min_50,position,RB,spearman,1011,0.7442227975974158
causal_router_min_100,position,RB,rmse,1011,3.4986526405664624
causal_router_min_100,position,RB,mae,1011,2.7616927844947594
causal_router_min_100,position,RB,bias,1011,0.09393737648696297
causal_router_min_100,position,RB,spearman,1011,0.7442227975974158
projection_prediction,position,TE,rmse,802,2.3043345450863617
projection_prediction,position,TE,mae,802,1.7915469787813083
projection_prediction,position,TE,bias,802,0.11027941416088738
projection_prediction,position,TE,spearman,802,0.6865933322552593
full_prediction,position,TE,rmse,802,2.3057444218614425
full_prediction,position,TE,mae,802,1.8117203900443999
full_prediction,position,TE,bias,802,0.3151045567489799
full_prediction,position,TE,spearman,802,0.6966253790023739
no_prior_hybrid,position,TE,rmse,802,2.3011145593532216
no_prior_hybrid,position,TE,mae,802,1.80097432937978
no_prior_hybrid,position,TE,bias,802,0.21409578307514943
no_prior_hybrid,position,TE,spearman,802,0.6868356060930003
limited_history_hybrid,position,TE,rmse,802,2.2925541599640495
limited_history_hybrid,position,TE,mae,802,1.7943104456783487
limited_history_hybrid,position,TE,bias,802,0.17559260728232517
limited_history_hybrid,position,TE,spearman,802,0.6844870216120694
causal_router_min_25,position,TE,rmse,802,2.2957550917743568
causal_router_min_25,position,TE,mae,802,1.7932766805665912
causal_router_min_25,position,TE,bias,802,0.2138403090155027
causal_router_min_25,position,TE,spearman,802,0.6887494418564678
causal_router_min_50,position,TE,rmse,802,2.2957550917743568
causal_router_min_50,position,TE,mae,802,1.7932766805665912
causal_router_min_50,position,TE,bias,802,0.2138403090155027
causal_router_min_50,position,TE,spearman,802,0.6887494418564678
causal_router_min_100,position,TE,rmse,802,2.3012090909994125
causal_router_min_100,position,TE,mae,802,1.8014583588212878
causal_router_min_100,position,TE,bias,802,0.25948770243251923
causal_router_min_100,position,TE,spearman,802,0.6924100492934462
projection_prediction,position,WR,rmse,1503,3.12220110912653
projection_prediction,position,WR,mae,1503,2.4718448693649475
projection_prediction,position,WR,bias,1503,0.31928209066376634
projection_prediction,position,WR,spearman,1503,0.7590509897132515
full_prediction,position,WR,rmse,1503,3.1249349547372334
full_prediction,position,WR,mae,1503,2.482603458571517
full_prediction,position,WR,bias,1503,0.3298712149226416
full_prediction,position,WR,spearman,1503,0.7534841909225405
no_prior_hybrid,position,WR,rmse,1503,3.1076999272237193
no_prior_hybrid,position,WR,mae,1503,2.45966690644465
no_prior_hybrid,position,WR,bias,1503,0.25550786384089563
no_prior_hybrid,position,WR,spearman,1503,0.7578558513250925
limited_history_hybrid,position,WR,rmse,1503,3.1009387974274594
limited_history_hybrid,position,WR,mae,1503,2.449384258803886
limited_history_hybrid,position,WR,bias,1503,0.23385956570970554
limited_history_hybrid,position,WR,spearman,1503,0.7585317745884923
causal_router_min_25,position,WR,rmse,1503,3.1130836702150946
causal_router_min_25,position,WR,mae,1503,2.461053918210821
causal_router_min_25,position,WR,bias,1503,0.31114156646078067
causal_router_min_25,position,WR,spearman,1503,0.7562083435703633
